SOURCELONG:Player's Handbook	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	SCHOOL:	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	SAVEINFO:	SPELLRES:	DESC:See text	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Linked Perception			TYPE:Divine	CLASSES:Druid=2|Ranger=1		SCHOOL:Divination			COMPS:V, DF	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft-radius emanation centered on you		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Longstrider (Mass)	OUTPUTNAME:Longstrider, Mass		TYPE:Divine	CLASSES:Druid=5|Ranger=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:60 ft.	TARGETAREA:60-ft-radius emanation centered on you		DURATION:1 hour/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Luminous Assassin			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One summoned assassin		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Luminous Assassin (Greater)			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One summoned assassin		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Luminous Assassin (Lesser)			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One summoned assassin		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Magic Convalescence			TYPE:Divine	CLASSES:Bard=5|Cleric=5|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft-radius emanation centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Mana Flux			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius emanation centered on a point in space		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Mark of Doom			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Mark of Judgement			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/3  level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Master's Touch			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Melf's Unicorn Arrow			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or up to five creatures, no two of wich can be more than 15-ft apart		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2		COST:25						
Meteoric Strike			TYPE:Divine	CLASSES:Cleric=5|Druid=4|Paladin=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 swift action	RANGE:0 ft.	TARGETAREA:Your melee weapon		DURATION:1 round or until discharged	SAVEINFO:See text	SPELLRES:See Text	DESC:See text	SOURCEPAGE:PHB2								
Mirror Image (Greater)	OUTPUTNAME:Mirror Image, Greater		TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Mystic Aegis			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Abjuration			COMPS:V, DF	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Mystic Surge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Universal			COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Overwhelm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Phantom Battle			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Plague			TYPE:Arcane.Divine	CLASSES:Cleric=7|Druid=7|Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature/level, no two of which can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Prismatic Mist			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius spread		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Pulse of Hate			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft-radius emanation centered on you		DURATION:1 round/level	SAVEINFO:Will half	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Radiance			TYPE:Arcane.Divine	CLASSES:Cleric=5|Druid=5|Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:60-ft-radius emanation centered on you		DURATION:1 round/level; See text	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Ray of the Python			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute	SAVEINFO:Reflex negate; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Regroup			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One willing creature/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Renewed Vigor			TYPE:Divine	CLASSES:Bard=5|Cleric=4|Druid=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft-radius emanation centered on you		DURATION:Instantaneous; See text	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Righteous Burst			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft-radius emanation centered on you		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:See text	SOURCEPAGE:PHB2		COST:15						
Rouse			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius burst		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Scattering Trap			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 5-ft square/2 level		DURATION:1 round/level	SAVEINFO:Reflex negate	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Seeking Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:Instantaneous; See text	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Share Talents			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Two willing creatures touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Slashing Dispel			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration|Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or 20-ft-radius burst		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Sonic Shield			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Stand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One willing prone creature		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Stay the Hand			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 immediate action	RANGE:Medium	TARGETAREA:One humanoid		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Stifle Spell			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature casting a spell		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Stretch Weapon			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:0 ft.	TARGETAREA:Melee weapon wielded		DURATION:One attack	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Summon Golem			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned golem		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Sure Strike			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Thunder Field			TYPE:Arcane.Divine	CLASSES:Bard=4|Druid=6|Sorcerer,Wizard=6		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Toxic Weapon			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Piercing or Slashing weapon touched		DURATION:1 hour or until discharged	SAVEINFO:Fort negates; See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Trollshape			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Vertigo			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Will disbelief	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Vertigo Field			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Pattern		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread		DURATION:1 round/level	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Visions of the Future			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Divination			COMPS:V, S	CASTTIME:10 minutes	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Whelm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Whelm (Mass)	OUTPUTNAME:Whelm, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature/level		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Whelming Blast			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cone shaped burst		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Wrack Earth			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Evocation		DESCRIPTOR:Earth	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft line		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
