SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																																														
																																																
# BASICS																																																
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page							
Shadow Striker	TYPE:Tactical.Fighter	VISIBLE:YES										PRESKILL:2,Hide=12,Move Silently=12												DESC:See Text																	SOURCEPAGE:PHB2							
#																																																
Skill Focus.MOD	TYPE:DragonShaman																																															
Animal Affinity.MOD	TYPE:Knight																																															
Diehard.MOD	TYPE:Knight																																															
Endurance.MOD	TYPE:Knight																																															
Great Fortitude.MOD	TYPE:Knight																																															
Iron Will.MOD	TYPE:Knight																																															
Quick Draw.MOD	TYPE:Knight																																															
Ride By Attack.MOD	TYPE:Knight																																															
Spirited Charge.MOD	TYPE:Knight																																															
Trample.MOD	TYPE:Knight																																															
Weapon Focus.MOD	TYPE:Knight																																															
#
Melee Weapon Mastery.MOD	BENEFIT:When you select this feat, choose bludgeoning, piercing, or slashing. You must have Weapon Focus and Weapon Specialization with a melee weapon that deals this type of damage. When using any melee weapon that has the damage type you selected, you gain a +2 bonus on attack rolls and a +2 bonus on damage rolls.&nl;Special: You can select this feat more than once. Each time, you can select a new damage type. A fighter can choose Melee Weapon Mastery as one of his fighter bonus feats.
