SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																								
#MM2 aggiornato alla 3.5																																																																										
																																																																										
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells										
Cloaked Ape			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,30,Fly,40	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6			MONCSKILL:Climb|Listen|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Fast Healing	ABILITY:Special Ability|AUTOMATIC|Scent					DR:5/Silver		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2	BONUS:VAR|FastHealing|3	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2								
Clockwork Horror (Electrum)	OUTPUTNAME:[NAME] Horror			SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-6			MONCSKILL:Climb									LEGS:4	HANDS:0				NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d8	NATURALATTACKS:Pressure Dart,Weapon.Natural.Finesseable.Ranged.Slashing,*1,2d4							SR:17			MONSTERCLASS:Construct:4	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:4	SOURCEPAGE:MM2											
Clockwork Horror (Gold)	OUTPUTNAME:[NAME] Horror			SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:LE			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|4		BONUS:STAT|INT|-2	BONUS:STAT|WIS|6				MONCSKILL:Climb									LEGS:4	HANDS:0				NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d10		ABILITY:Special Ability|AUTOMATIC|Lightning Bolt|Gold Clockwork Horror						SR:18			MONSTERCLASS:Construct:8	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:5	SOURCEPAGE:MM2											
Clockwork Horror (Platinum)	OUTPUTNAME:[NAME] Horror			SIZE:S	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:LE			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|6		BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|4			MONCSKILL:Climb|Hide|Move Silently									LEGS:4	HANDS:0				NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d12		ABILITY:Special Ability|AUTOMATIC|Lightning Bolt|Platinum Clockwork Horror						SR:20			MONSTERCLASS:Construct:12	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:7	SOURCEPAGE:MM2											
Clockwork Horror (Adamantine)	OUTPUTNAME:[NAME] Horror			SIZE:S	MOVE:Walk,50	FACE:5	REACH:5			PREALIGN:LE			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|8		BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10			MONCSKILL:Balance|Climb|Jump|Hide|Move Silently									LEGS:4	HANDS:0				NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d12								SR:22			MONSTERCLASS:Construct:16	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:9	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Disintegrate|Implosion|Mage's Disjunction										
Cloud Ray			STARTFEATS:1	SIZE:C	MOVE:Fly,40	FACE:100	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|16|TYPE=Racial				BONUS:STAT|STR|30	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-8					MONCSKILL:Hide|Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,3d10|Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Levitate	ABILITY:Special Ability|AUTOMATIC|Protection from Arrows	ABILITY:Special Ability|AUTOMATIC|Telekinesis	ABILITY:Special Ability|AUTOMATIC|Cloud Ray Feats					MONSTERCLASS:Magical Beast:30	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:60		CR:16	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2								
Corollax			STARTFEATS:1	SIZE:T	MOVE:Walk,10,Fly,60	FACE:2.5	REACH:0	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d3		ABILITY:Special Ability|AUTOMATIC|Color Spray						SR:12	DR:5/Cold Iron		MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:6,9		CR:1/2	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Training ~ Corollax|Flight Maneuverability	BONUS:VAR|Maneuverability|4								
Corpse Gatherer			STARTFEATS:1	SIZE:G	MOVE:Walk,40,Burrow,10	FACE:20	REACH:20						BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|-4			BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Climb|Jump|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,1,2d12		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Ingest Corpses	ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Desanctifying Aura	ABILITY:Special Ability|AUTOMATIC|Soul Binding	ABILITY:Special Ability|AUTOMATIC|Zombie Spawn	SR:30	DR:15/Magic and Bludgeoning		MONSTERCLASS:Undead:30	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:30,60		CR:19	SOURCEPAGE:MM2											
Crimson Death			STARTFEATS:1	SIZE:M	MOVE:Fly,30	FACE:5	REACH:5			PREALIGN:NE				BONUS:COMBAT|AC|2|TYPE=Deflection.REPLACE						BONUS:STAT|DEX|10		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Hide|Knowledge (Nature)|Knowledge (Religion)|Listen|Search|Spot					VFEAT:Improved Initiative|Lightning Reflexes|Spring Attack				LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Piercing,*2,0		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Crimson Death	ABILITY:Special Ability|AUTOMATIC|Seize	ABILITY:Special Ability|AUTOMATIC|Lift	ABILITY:Special Ability|AUTOMATIC|Crimson Death Skill						MONSTERCLASS:Undead:13	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:26		CR:11	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5								
Darktentacles			STARTFEATS:1	SIZE:L	MOVE:Walk,5,Swim,20	FACE:10	REACH:15	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:CE	AUTO:LANG|Common|Aquan		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Hide|Listen|Move Silently|Spot									LEGS:0	HANDS:12				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*12,1d4		ABILITY:Special Ability|AUTOMATIC|Constrict	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Enhanced Multiweapon Fighting	ABILITY:Special Ability|AUTOMATIC|Tentacle Regeneration	ABILITY:Special Ability|AUTOMATIC|Weapon Use|PRESIZEGTEQ:L					MONSTERCLASS:Aberration:9	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:18,27		CR:7	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=5|CASTERLEVEL=10|Hold Monster	SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Charm Monster	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Wall of Force								
Deathbringer			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10				AUTO:LANG|Abyssal|Infernal		BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Intimidate|Jump|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Flail	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Negative Burst	ABILITY:Special Ability|AUTOMATIC|Trample								MONSTERCLASS:Undead:30	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:50,70,90		CR:17	SOURCEPAGE:MM2		BONUS:VAR|GreaterDispellingLVL|20									
Demon (Abyssal Maw)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6		BONUS:STAT|CON|2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Intimidate|Jump|Listen|Spot|Swim									LEGS:4	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Rend Fallen									MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:4,6	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2											
Demon (Abyssal Skulker)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Jump|Listen|Move Silently|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d2											MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:4,6	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2											
Demon (Abyssal Ravager)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid	ABILITY:Special Ability|AUTOMATIC|Resistance to Cold					MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:6,9	LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM2		BONUS:VAR|AcidResistanceBonus|10	BONUS:VAR|ColdResistanceBonus|10								
Demon (Jovoc)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Search|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Aura of Retribution	ABILITY:Special Ability|AUTOMATIC|Fast Healing	ABILITY:Special Ability|AUTOMATIC|Summon Tanar'ri ~ Jovoc				SR:13	DR:5/Good or Cold Iron		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM2		BONUS:VAR|FastHealing|5									
Demon (Palrethee)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2				MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Knowledge (Arcana)|Listen|Sense Motive|Search|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Demonic Burn	ABILITY:Special Ability|AUTOMATIC|Fiery Shield	ABILITY:Special Ability|AUTOMATIC|Summon Tanar'ri ~ Palrethee				SR:18	DR:10/Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil|Fire	TYPE:Outsider					HITDICEADVANCEMENT:12	LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Detect Good|Detect Magic|See Invisibility	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Fear									
Demon (Zovvut)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d12		ABILITY:Special Ability|AUTOMATIC|Draining Gaze	ABILITY:Special Ability|AUTOMATIC|Create Spawn					SR:20	DR:10/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:16		CR:9	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Clairaudience/Clairvoyance|Darkness|Desecrate|Detect Good|Detect Thoughts|Doom|Suggestion|Teleport (Greater)	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3								
Demon (Jarilith)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Hide,Move Silently|4|TYPE=Racial				BONUS:STAT|STR|24	BONUS:STAT|DEX|18	BONUS:STAT|CON|16	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Concentration|Hide|Jump|Listen|Move Silently|Search|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Frightful Presence	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Pounce	ABILITY:Special Ability|AUTOMATIC|Rake	ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Jarilith	ABILITY:Special Ability|AUTOMATIC|Scent		DR:15/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:23,30		CR:9	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Clairaudience/Clairvoyance|Darkness|Detect Good|Detect Thoughts|Doom	BONUS:VAR|FrightfulPresRange|30	ABILITY:Special Ability|AUTOMATIC|Summon Tanar'ri ~ Jarilith	ABILITY:Special Ability|AUTOMATIC|Jarilith Skill							
Demon (Kelvezu)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|8|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|20	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Sleight of Hand|Spellcraft|Spot			AUTO:WEAPONPROF|Dagger|Scimitar						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Kelvezu Sneak Attack	ABILITY:Special Ability|AUTOMATIC|Enhanced Detection	ABILITY:Special Ability|AUTOMATIC|Summon Tanar'ri ~ Kelvezu	ABILITY:Special Ability|AUTOMATIC|Evasion		SR:26	DR:15/Good and Cold Iron		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:24		CR:18	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Deeper Darkness|Desecrate|Detect Good|Detect Law|Dispel Magic (Greater)|Invisibility (Greater)|Read Magic|Suggestion|Teleport (Greater)|Tongues|Unhallow	ABILITY:SPECIAL Ability|AUTOMATIC|Uncanny Dodge ~ Base	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|1	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4					
Desmodu		FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	MOVE:Walk,20,Climb,30	FACE:10	REACH:10	VISION:Darkvision (60')|Blindsense (120')			AUTO:LANG|Undercommon|Terran|Desmodu		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|4|TYPE=Racial	BONUS:SKILL|Balance,Jump|2|TYPE=Racial|!PREARMORTYPE:1,TYPE.Heavy,TYPE.Medium			BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4				MONCSKILL:Balance|Climb|Handle Animal|Jump|Listen|Move Silently|Ride|Spot|Tumble|Use Rope			AUTO:WEAPONPROF|Notbora|Longbow|Lance	AUTO:ARMORPROF|ARMORTYPE=Light	VFEAT:Two Weapon Fighting				LEGS:2	HANDS:2	BONUS:COMBAT|TOHIT.GRAPPLE|2|TYPE=Racial			NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Screech ~ Desmodu	ABILITY:Special Ability|AUTOMATIC|Sonic Abilities	ABILITY:Special Ability|AUTOMATIC|Wounding	ABILITY:Special Ability|AUTOMATIC|Gallop	ABILITY:Special Ability|AUTOMATIC|Speak With Bats	ABILITY:Special Ability|AUTOMATIC|Scent				MONSTERCLASS:Monstrous Humanoid:12	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:2	CR:9	SOURCEPAGE:MM2		BONUS:VAR|ScreechPerDay|1	ABILITY:SPECIAL Ability|AUTOMATIC|Wild Empathy	BONUS:VAR|WildEmpathy|HD	DEFINE:DesmoduLanguage|1						
Desmodu (Hunting Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,20,Climb,60	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|8|TYPE=Racial	BONUS:SKILL|Hide|4|TYPE=Racial			BONUS:STAT|STR|4	BONUS:STAT|DEX|14	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Trip	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal:4	RACETYPE:Animal	RACESUBTYPE:Desmodu's Bat	TYPE:Animal					HITDICEADVANCEMENT:4,12		CR:3	SOURCEPAGE:MM2											
Desmodu (Guard Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Climb,60	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|8|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|12	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Move Silently|Spot					VFEAT:Dodge				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Wounding									MONSTERCLASS:Animal:4	RACETYPE:Animal	RACESUBTYPE:Desmodu's Bat	TYPE:Animal					HITDICEADVANCEMENT:4,12		CR:3	SOURCEPAGE:MM2											
Desmodu (War Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,40	FACE:10	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|4|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6											MONSTERCLASS:Animal:10	RACETYPE:Animal	RACESUBTYPE:Desmodu's Bat	TYPE:Animal					HITDICEADVANCEMENT:16,30		CR:5	SOURCEPAGE:MM2											
Devil (Advespa)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,40	FACE:10	REACH:10			PREALIGN:LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2					MONCSKILL:Balance|Hide|Jump|Listen|Move Silently|Search|Spot|Tumble									LEGS:2	HANDS:4				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Regeneration	ABILITY:Special Ability|AUTOMATIC|Summon Baatezu ~ Advespa			SR:15	DR:5/Silver or Good		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Disguise Self|Command|Produce Flame|Pyrotechnics	BONUS:VAR|RegenerationRate|2	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4							
