SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
Goblin (Snow)	OUTPUTNAME:Goblin, Snow	FAVCLASS:Fighter	STARTFEATS:1	SIZE:S	MOVE:Walk,30,Climb,20	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Goblin	LANGBONUS:Draconic,Giant,Orc			BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Move Silently|4|TYPE=Racial				BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Intimidate|Listen|Move Silently|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|TYPE.Martial|Morningstar|Javelin						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Booming Voice				ABILITY:Special Ability|AUTOMATIC|Goblin Snow Skills						RACETYPE:Humanoid	RACESUBTYPE:Goblinoid	TYPE:Humanoid						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:Fro							
#Golem (Iron)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|22|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10												LEGS:2					NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d10		ABILITY:Special Ability|AUTOMATIC|Breath Weapon|Immunity To Magic							DR:15/Adamantine		MONSTERCLASS:Construct (Mindless):18	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:24,54		CR:13	SOURCEPAGE:Fro							
Golem (Ice)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14					BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Ice Shards|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Icewalking|Immunity To Magic						DR:10/Bludgeoning		MONSTERCLASS:Construct (Mindless):12	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless	TEMPLATE:Cold			HITDICEADVANCEMENT:24,36		CR:9	SOURCEPAGE:Fro							
Ice Toad			STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5	VISION:Darkvision (60')|Low-Light					BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Jump|Listen|Spot			AUTO:WEAPONPROF|Ice Toad Tongue	AUTO:EQUIP|Ice Toad Tongue					LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Sphere of Cold|Swallow Whole				ABILITY:Special Ability|AUTOMATIC|Ice Toad Skills					MONSTERCLASS:Magical Beast:5	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Cold			HITDICEADVANCEMENT:12,15		CR:3	SOURCEPAGE:Fro							
Icegaunt			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10				BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Hide|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Constitution Drain ~ Icegaunt|Create Spawn|Frost Touch							DR:10/Magic		MONSTERCLASS:Icegaunt:10	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Cold			HITDICEADVANCEMENT:20		CR:6	SOURCEPAGE:Fro							
Malasynep		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:H	MOVE:Walk,10,Burrow,40,Swim,40	FACE:15	REACH:10	VISION:Darkvision (60')			LANGAUTO:Aquan		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Intimidate|TYPE.Knowledge|Listen|Spot|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Amphibious|Heat Sense			ABILITY:Special Ability|AUTOMATIC|Malasynep Skills					MONSTERCLASS:Aberration:8	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration|Aquatic	TEMPLATE:Cold			HITDICEADVANCEMENT:18,24		CR:7	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Energy Emanation,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Energy Flash,15+CHA					
Marzanna			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Giant		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Dreadful Eyes|Rend						SR:15			MONSTERCLASS:Monstrous Humanoid:8	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid	TEMPLATE:Cold					CR:6	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Dancing Lights|Ghost Sound,10+CHA|Obscuring Snow|Pass without Trace|Ray of Frost	BONUS:VAR|DreadfulEyePerDay|3	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Alter Self|Bestow Curse,14+CHA|Numbing Sphere,12+CHA|Wall of Ice,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Ice Storm	SPELLS:Innate|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=8|Control Weather|Nightmare,15+CHA		
#Orc (Shaman)	vedi orc + 3 livelli adepto.																																																																					
#Ooze (Black Pudding)	OUTPUTNAME:[NAME]			SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|6	BONUS:STAT|DEX|-8	BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Climb									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Acid|Constrict|Acid|Improved Grab|Blind|Split									MONSTERCLASS:Ooze:10	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:15,30		CR:7	SOURCEPAGE:MonstersO-R.rtf							
Ooze (White Pudding)	OUTPUTNAME:[NAME]			SIZE:L	MOVE:Walk,20,Swim,20	FACE:10	REACH:5	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|4	BONUS:STAT|DEX|-8	BONUS:STAT|CON|10		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Hide|Swim									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Acid|Constrict|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Split|Resistance To Cold			ABILITY:Special Ability|AUTOMATIC|White Pudding Skills					MONSTERCLASS:Ooze:9	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze|Mindless				HITDICEADVANCEMENT:14,27		CR:6	SOURCEPAGE:Fro		BONUS:VAR|ColdResistanceBonus|10					
Raven (Giant)	OUTPUTNAME:Giant Raven		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Fly,70	FACE:10	REACH:5	VISION:Darkvision (60')|Low-Light		PREALIGN:TN	LANGAUTO:Common,Giant		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2				MONCSKILL:Bluff|Listen|Sense Motive|Spot|Survival									LEGS:2	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4			ABILITY:Special Ability|AUTOMATIC|Evasion			ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Raven	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:9	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:Fro		BONUS:VAR|Maneuverability|2	BONUS:VAR|EvasionUsable|1				
Eidolon (Rimefire)	OUTPUTNAME:Eidolon, Rimefire		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,120	FACE:5	REACH:5	VISION:Tremorsense (60')|Low-Light		PREALIGN:CG	LANGAUTO:Common,Auran,Aquan,Sylvan		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (Nature)|Knowledge (Religion)|Listen|Sense Motive|Spot|Survival				AUTO:EQUIP|Rimefire Bolt					LEGS:8	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Cold,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Frost Touch (Su)|Rimefire Bolt	ABILITY:Special Ability|AUTOMATIC|Iceberg Dependent|Ice Glide (Ex)|Rimefire Bond (Eidolon)				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability		DR:10/Cold Iron		MONSTERCLASS:Fey:12	RACETYPE:Fey	RACESUBTYPE:Cold	TYPE:Fey	TEMPLATE:Fey	TEMPLATE:Cold			HITDICEADVANCEMENT:36		CR:9	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Blur|Clairaudience/Clairvoyance|Detect Evil|Detect Magic|Ice Shape|Ice Slick|Obscuring Snow|See Invisibility	BONUS:VAR|RimefireBolt|3	DEFINE:RimefireDie|6	BONUS:VAR|Maneuverability|5	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Chill Metal,12+CHA|Cone of Cold,15+CHA|Ice Storm|Wall of Ice|Winter's Embrace,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Entomb,16+CHA|Polar Ray	
Rusalka			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,30	FACE:5	REACH:5	VISION:Low-Light			LANGAUTO:Aquan,Common,Sylvan		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|8		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Diplomacy|Escape Artist|Hide|Listen|Move Silently|Perform (Sing)|Spot|Swim|Use Rope			AUTO:WEAPONPROF|Dagger						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Beguiling Song	ABILITY:Special Ability|AUTOMATIC|Water Breathing (Sp)|Water Symbiosis			ABILITY:Special Ability|AUTOMATIC|Rusalka Skills					MONSTERCLASS:Fey:2	RACETYPE:Fey	RACESUBTYPE:Aquatic	TYPE:Fey	TEMPLATE:Fey	TEMPLATE:Aquatic			HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:Fro		BONUS:VAR|WaterBreathingPerDay|4	BONUS:VAR|WaterBreathingLVL|12				
Shivad			STARTFEATS:1	SIZE:G	MOVE:Walk,40,Burrow,40,Climb,40	FACE:20	REACH:15	VISION:Darkvision (60')			LANGAUTO:Common	LANGBONUS:ALL	BONUS:COMBAT|AC|26|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Hide|Intimidate|Knowledge (Geography)|Listen|Spot									LEGS:6	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*6,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*3,2d8		ABILITY:Special Ability|AUTOMATIC|Ability Drain|Cold Aura ~ Shivad|Crush	ABILITY:Special Ability|AUTOMATIC|Absorb Cold|Glacier Bond					SR:34	DR:15/Epic		MONSTERCLASS:Aberration:24	RACETYPE:Aberration	RACESUBTYPE:Cold	TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Cold			HITDICEADVANCEMENT:48,72		CR:21	SOURCEPAGE:Fro		BONUS:VAR|CrushDice|4	BONUS:VAR|CrushDamageDie|6	BONUS:VAR|CrushBonusDamage|STR	BONUS:VAR|CrushDC|STR-CON		
Snowcloak			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,40	FACE:10	REACH:5	VISION:Darkvision (60')			LANGAUTO:Auran,Common		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|6		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d4|Wing Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Poison,*2,1d2		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Disease|Poison|Regeneration			ABILITY:Special Ability|AUTOMATIC|Snowcloak Skills					MONSTERCLASS:Aberration:4	RACETYPE:Aberration	RACESUBTYPE:Cold	TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Cold			HITDICEADVANCEMENT:9,12		CR:4	SOURCEPAGE:Fro		BONUS:VAR|RegenerationRate|2					
Monstrous Spider (Snow/Small)	OUTPUTNAME:Snow Spider, [NAME]			SIZE:S	MOVE:Walk,30,Climb,30	FACE:5	REACH:5	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:TN					BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(DEX,STR)-STR	BONUS:STAT|STR|-4	BONUS:STAT|DEX|8				BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Jump|Spot					AUTO:FEAT|Weapon Finesse|Spring Attack				LEGS:8	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Leap|Poison				ABILITY:Special Ability|AUTOMATIC|Snow Spider Skills					MONSTERCLASS:Vermin:1	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless						CR:1/2	SOURCEPAGE:Fro							
Monstrous Spider (Snow/Medium)	OUTPUTNAME:Snow Spider, [NAME]			SIZE:M	MOVE:Walk,40,Climb,40	FACE:5	REACH:5	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(DEX,STR)-STR		BONUS:STAT|DEX|8	BONUS:STAT|CON|2			BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Jump|Spot					AUTO:FEAT|Weapon Finesse|Spring Attack				LEGS:8	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Leap|Poison				ABILITY:Special Ability|AUTOMATIC|Snow Spider Skills					MONSTERCLASS:Vermin:2	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless		TEMPLATE:Hunting		HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:Fro							
Monstrous Spider (Snow/Large)	OUTPUTNAME:Snow Spider, [NAME]			SIZE:L	MOVE:Walk,40,Climb,40	FACE:10	REACH:5	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(DEX,STR)-STR	BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|4			BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Jump|Spot					AUTO:FEAT|Weapon Finesse|Spring Attack				LEGS:8	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Leap|Poison				ABILITY:Special Ability|AUTOMATIC|Snow Spider Skills					MONSTERCLASS:Vermin:4	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless		TEMPLATE:Hunting		HITDICEADVANCEMENT:9,12		CR:2	SOURCEPAGE:Fro							
Tlalusk			STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:15	VISION:Darkvision (60')|Low-Light			LANGAUTO:Giant		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20		BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot									LEGS:6	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Bellow|Trample	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ Tlalusk		SR:20			MONSTERCLASS:Magical Beast:16	RACETYPE:Magical Beast	RACESUBTYPE:Cold	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Cold			HITDICEADVANCEMENT:32,48		CR:11	SOURCEPAGE:Fro		BONUS:VAR|FastHealing|5					
Urskan			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Swim,40	FACE:10	REACH:5	VISION:Darkvision (60')|Low-Light			LANGAUTO:Common,Urskan		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Craft (Armorsmithing)|Hide|Intimidate|Listen|Spot|Survival|Swim		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy	AUTO:WEAPONPROF|Steelclaw|TYPE=Simple						LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Powerful Charge|Rend	ABILITY:Special Ability|AUTOMATIC|Scent|Surefooted			ABILITY:Special Ability|AUTOMATIC|Urskan Skills					MONSTERCLASS:Magical Beast:5	RACETYPE:Magical Beast	RACESUBTYPE:Cold	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Cold				LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:Fro							
Vodyanoi			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,60	FACE:5	REACH:5	VISION:Low-Light			LANGAUTO:Common,Sylvan		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4				MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Spot|Survival|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Control Water (Sp)|Fish Cloud (Sp)|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Amphibious					SR:16			MONSTERCLASS:Fey:5	RACETYPE:Fey	RACESUBTYPE:Aquatic	TYPE:Fey	TEMPLATE:Fey|Aquatic				HITDICEADVANCEMENT:10	LEVELADJUSTMENT:5	CR:3	SOURCEPAGE:Fro		BONUS:VAR|ControlWaterPerDay|3	BONUS:VAR|ControlWaterLVL|10				
Winterspawn			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				LANGAUTO:Common		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|10		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Appraise|Craft (Iceworking)|Diplomacy|Hide|Intimidate|Listen|Ride|Sense Motive|Spot		AUTO:ARMORPROF|ARMORTYPE=Light|Scale Mail	AUTO:WEAPONPROF|Longsword|Javelin	AUTO:EQUIP|Winterspawn Longsword|Winterspawn Javelin|Winterspawn Scale Mail					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Basic Turning|Winterspawn Turning|Rebuke Undead|Frost Glance	ABILITY:Special Ability|AUTOMATIC|Fire Shield (Sp/at will)|Ice Arms								MONSTERCLASS:Undead:12	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:24		CR:9	SOURCEPAGE:Fro		BONUS:VAR|FireShieldLVL|12					
Yeti			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,20	FACE:10	REACH:10				LANGAUTO:Giant		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2				MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Snowsight			ABILITY:Special Ability|AUTOMATIC|Yeti Skills					MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid	TEMPLATE:Cold			HITDICEADVANCEMENT:9,12	LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:Fro							
Yeti (Abominable)	OUTPUTNAME:[NAME] Yeti		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Climb,20	FACE:15	REACH:15				LANGAUTO:Giant		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Snowsight			ABILITY:Special Ability|AUTOMATIC|Yeti Skills					MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid	TEMPLATE:Cold				LEVELADJUSTMENT:5	CR:7	SOURCEPAGE:Fro							
