SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	Domains granting the spell	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	Components	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Ice Shape			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=5		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Ice touched, up to 10 cu ft + 1 cu ft/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Sculpts ice into any shape.	SOURCEPAGE:Fro								
Ice Shield			TYPE:Arcane.Divine	CLASSES:Druid=5|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, M, Coldfire	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains damage reduction 15/-.	SOURCEPAGE:Fro		COST:250						
Ice Ship			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Creates ship of ice.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates ice runner or ice galleon.	SOURCEPAGE:Fro		COST:200						
Ice Skate			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:While on ice, your speed increases by 60-ft.	SOURCEPAGE:Fro								
Ice Slick			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 20-ft square.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Creates a 20-ft square of slippery ice.	SOURCEPAGE:Fro								
Ice to Flesh			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One frozen creature or a cylinder of ice from 1-ft to 3-ft in diameter and up to 10-ft long.		DURATION:Instantaneous	SAVEINFO:Fortitude negates (object)	SPELLRES:Yes	DESC:Restores frozen creature.	SOURCEPAGE:Fro								
Ice Web			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Webs of coldfire in a 20-ft radius spread.		DURATION:10 minutes/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Creates webs of coldfire that entangle and deal 1d6 frostburn damage/round.	SOURCEPAGE:Fro		COST:100						
Iceberg			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:60-ft radius.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Block of ice falls from sky, dealing 20d6 damage and burying subjects.	SOURCEPAGE:Fro								
Icicle			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 10-ft square section of ceiling or doorframe.		DURATION:Until discharged	SAVEINFO:See text	SPELLRES:Yes	DESC:Magical trap hangs from ceiling, dealing 4d6 damage when triggered.	SOURCEPAGE:Fro								
Ivory Flesh			TYPE:Divine	CLASSES:Bard=1|Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Flesh turns white, granting +5 circumstance bonus on Hide checks in snow and ice.	SOURCEPAGE:Fro								
Leomund's Tiny Igloo			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:5 ft	TARGETAREA:5-ft radius sphere, with 1-in thick wall/level centered on your location.		DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Creates igloo that lasts for 2 hours/level.	SOURCEPAGE:Fro								
Mantle of Icy Soul			TYPE:Divine	CLASSES:Cleric=6|Druid=5		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Gives subject the cold subtype.	SOURCEPAGE:Fro								
Meld into Ice			TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You and your gear merge with ice.	SOURCEPAGE:Fro								
Mindfrost			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 5d6 cold damage, 1d4 Int damage.	SOURCEPAGE:Fro								
Move Snow and Ice			TYPE:Arcane.Divine	CLASSES:Druid=6|Sorcerer,Wizard=6		SCHOOL:Transmutation		DESCRIPTOR:Cold|Ice	COMPS:V, S, M	CASTTIME:See text	RANGE:Long	TARGETAREA:Snow or ice in an anrea up to 750-ft square and up to 10-ft deep.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Digs trenches and builds hills in ice and snow.	SOURCEPAGE:Fro								
Numbing Sphere			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft diameter sphere		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Creates rolling ball of intense cold that deals 1d6 cold damage plus 1d4 Dex damage, last 1 round/level.	SOURCEPAGE:Fro								
#Obedient Avalanche	vedi CD																									
Obscuring Snow			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Air|Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cloud spreads in 30-ft radius from you, 30-ft high.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Obscures sight in a 30-ft radius around the caster.	SOURCEPAGE:Fro								
Pass through Ice			TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:See text (harmless)	SPELLRES:Yes	DESC:Subject can pass through ice or snow like water.	SOURCEPAGE:Fro								
Rise Ice Forest			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF, Frostfell	CASTTIME:1 full round	RANGE:Long	TARGETAREA:20-ft square of snow/level.		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Conjures trees of ice.	SOURCEPAGE:Fro								
Shivering Touch			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Touch deals 3d6 Dex damage.	SOURCEPAGE:Fro								
Shivering Touch (Lesser)	OUTPUTNAME:Shivering Touch, Lesser		TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Touch deals 1d6 Dex damage.	SOURCEPAGE:Fro								
Snow Walk			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Increase your speed and walk effortlessly on top of snow without leaving tracks or scent.	SOURCEPAGE:Fro								
Snow Wave			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 full round	RANGE:30 ft.	TARGETAREA:Cone-shaped burst		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Knocks creatures prone and deals 4d6 crushing damage and 1d6 cold damage.	SOURCEPAGE:Fro								
Snowdrift			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Snow toucehed, up to 10 cu ft + 1 cu ft/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Forms existing snow into another shape.	SOURCEPAGE:Fro								
Snowsight			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Normal vision in winter weather conditions.	SOURCEPAGE:Fro								
Snowsong			TYPE:Divine	CLASSES:Bard=6		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft radius centered on you		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Musical snowfall aids allies in within 30-ft and hinders enemy spellcasters.	SOURCEPAGE:Fro								
Summon Giants			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F/DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summos outsider giants to fight for you.	SOURCEPAGE:Fro								
Suppress Flame			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:10-ft cube/level		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Reduces damage and illumination from fire.	SOURCEPAGE:Fro		COST:500						
Thaw			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation		DESCRIPTOR:Earth|Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft cube/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Transforms one 10-ft cube/level of everfrost, slush, snow and ice.	SOURCEPAGE:Fro								
Thin Air			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft radius emanation.		DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:No	DESC:Creatures suffer from altitude sickness.	SOURCEPAGE:Fro								
Wall of Coldfire			TYPE:Arcane.Divine	CLASSES:Druid=5|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Opaque sheet or a ring of coldfire with a radius of up to 5 ft per 2 levels; either form 20 ft high.		DURATION:Concentration + 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Deals 2d4 of cold damage out to 10-ft and 1d4 out to 20-ft. Passing through wall deals 2d6 frostburn damage +1/level.	SOURCEPAGE:Fro		COST:150						
Waves of Cold			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped burst		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Fire creatures become shaken and cold creatures lose immunity to cold.	SOURCEPAGE:Fro		COST:100						
Whiteout			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Cloud centered on target spreads 120-ft and is 20-ft high.		DURATION:1 hour/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Snow and wind obscure sight; creatures affected may become lost.	SOURCEPAGE:Fro								
Winter's Embrace			TYPE:Divine	CLASSES:Cleric=4|Druid=3		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 1d8 damage/round; can cause fatigue.	SOURCEPAGE:Fro								
Zone of Glacial Cold			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Conjuration		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius.		DURATION:1 round/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Deals 1d6 cold damage to all creatures in area.	SOURCEPAGE:Fro								
# Spell Name Epic																										
Coldfire Blast			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:300-ft	TARGETAREA:40-ft radius hemisphere burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:See text. Spellcraft DC 93.	SOURCEPAGE:Fro	PREFEAT:1,Epic Spellcasting	COST:500						
Ice Age			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 minute	RANGE:0-ft	TARGETAREA:20-mile radius emanation.		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:See text. Spellcraft DC 323.	SOURCEPAGE:Fro	PREFEAT:1,Epic Spellcasting		XPCOST:10000					
# Spell Name Powers																										
Energy Emanation			TYPE:Psionic	CLASSES:Psion,Wilder=2|Psychic Warrior=2		SCHOOL:Psychokinesis		DESCRIPTOR:See text	COMPS:Vi	CASTTIME:1 standard action	RANGE:5-ft	TARGETAREA:5-ft radius emanation, centered on you.		DURATION:1 round/level	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 1d6 points of chosen energy damage to creatures surrounding you.	SOURCEPAGE:Fro								
Energy Flash			TYPE:Psionic	CLASSES:Psion,Wilder=4		SCHOOL:Psychokinesis		DESCRIPTOR:See text	COMPS:Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Touched creature, or up to 1 cu ft of water/level.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Touch deals 7d6 of chosen energy damage to fie.	SOURCEPAGE:Fro								
Energy Nullification Field			TYPE:Psionic	CLASSES:Kineticist=5		SCHOOL:Psychokinesis		DESCRIPTOR:See text	COMPS:Vi, Au	CASTTIME:1 standard action	RANGE:10 ft	TARGETAREA:10-ft radius emanation, centered on you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Suppresses psionic powers with chosen energy descriptor.	SOURCEPAGE:Fro								
Mind over Energy			TYPE:Psionic	CLASSES:Psion,Wilder=6|Psychic Warrior=6		SCHOOL:Psychometabolism			COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain brief immunity to chosen energy type.	SOURCEPAGE:Fro								
Slow Breathing			TYPE:Psionic	CLASSES:Psion,Wilder=1|Psychic Warrior=1		SCHOOL:Psychometabolism			COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Gain a +4 competence bonus on saving throws against altitude sickness.	SOURCEPAGE:Fro								
