SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
Crypt Thing			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CE	AUTO:LANG|Common		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|6			BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Sense Motive|Spot|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Scatter Defilers	ABILITY:Special Ability|AUTOMATIC|Turn Resistance								MONSTERCLASS:Undead:6	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:12,18		CR:3	SOURCEPAGE:FFo		DEFINE:TurnResistBonus|4											
Dark One (Dark Creeper)	OUTPUTNAME:Dark One, [NAME]	FAVCLASS:Rogue	STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5						BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2		BONUS:STAT|WIS|4				MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot|Tumble		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Dagger		AUTO:FEAT|Armor Proficiency (Light)				LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Evasion								MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Dark One	TYPE:Humanoid						LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:FFo		DEFINE:SnealAttack|2											
Dark One (Dark Stalker)	OUTPUTNAME:Dark One, [NAME]	FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5						BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot|Tumble		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Sword (Short)|Javelin		AUTO:FEAT|Armor Proficiency (Light)				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Fog Cloud (Sp)|Poison Use									MONSTERCLASS:Humanoid:3	RACETYPE:Humanoid	RACESUBTYPE:Dark One	TYPE:Humanoid						LEVELADJUSTMENT:5	CR:4	SOURCEPAGE:FFo		DEFINE:FogCloudPerDay|2	DEFINE:FogCloudLVL|5	DEFINE:SnealAttack|3									
Darkweaver			STARTFEATS:1	SIZE:M	MOVE:Walk,20,Climb,20	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Abyssal|Common|Infernal		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Climb|Concentration|Hide|Listen|Move Silently|Search|Spot			AUTO:WEAPONPROF|Darkweaver Tentacle	AUTO:EQUIP|Darkweaver Tentacle|Darkweaver Tentacle|Darkweaver Tentacle|Darkweaver Tentacle					LEGS:8	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Shadow Strands|Strength Damage ~ Darkweaver	ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Resistance To Cold|Fast Healing|Shadow Jump|Shadowstuff Armor|Vulnerability To Sunlight|Tentacle Regeneration			ABILITY:Special Ability|AUTOMATIC|Darkweaver Skills		SR:16	DR:5/Magic		MONSTERCLASS:Aberration:9	RACETYPE:Aberration	RACESUBTYPE:Extraplanar	TYPE:Aberration					HITDICEADVANCEMENT:15,27		CR:10	SOURCEPAGE:FFo		DEFINE:ColdResistanceBonus|10	DEFINE:FastHealing|3	DEFINE:ShadowJump|320									
Death Dog			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|4|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Disease|Trip	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Magical Beast:2	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:3,6		CR:2	SOURCEPAGE:FFo													
Demodand (Farastu)	OUTPUTNAME:Demodand, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5				AUTO:LANG|Abyssal		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6			MONCSKILL:Climb|Concentration|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Adhesive Slime|Improved Grab|Rage|Farastu Rage|Summon Demodand ~ Farastu	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Resistance To Cold|Resistance To Fire|Scent					SR:23	DR:10/Good		MONSTERCLASS:Outsider:11	RACETYPE:Outsider	RACESUBTYPE:Demodand|Extraplanar|Evil	TYPE:Outsider					HITDICEADVANCEMENT:11,22,33		CR:11	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Detect Magic|Clairaudience/Clairvoyance|Fear,14+CHA|Invisibility|Tongues	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Fog Cloud|Ray of Enfeeblement,11+CHA	SPELLS:Innate|TIMES=2|CASTERLEVEL=11|Dispel Magic								
Demodand (Kelubar)	OUTPUTNAME:Demodand, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5				AUTO:LANG|Abyssal|Common		BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Diplomacy,Sense Motive|4|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Acid,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Acid,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Acidic Slime|Sneak Attack|Stench|Summon Demodand ~ Kelubar	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Evasion|Immunity To Fire|Uncanny Dodge ~ Base				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:25	DR:15/Good		MONSTERCLASS:Outsider:13	RACETYPE:Outsider	RACESUBTYPE:Demodand|Extraplanar|Evil	TYPE:Outsider					HITDICEADVANCEMENT:13,22,39		CR:13	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Detect Magic|Clairaudience/Clairvoyance|Fear,14+CHA|Invisibility|Acid Arrow|Spider Climb|Tongues	DEFINE:Maneuverability|3	DEFINE:AcidicSlimeDice|1	DEFINE:AcidicSlimeDamageDie|6	DEFINE:SnealAttack|4	BONUS:VAR|UncannyDodgeLevel|2	BONUS:VAR|UncannyDodgeFlankingLevel|3|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Fog Cloud|Ray of Enfeeblement,11+CHA	SPELLS:Innate|TIMES=2|CASTERLEVEL=11|Acid Fog|Dispel Magic				
Demodand (Shator)	OUTPUTNAME:Demodand, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,70	FACE:10	REACH:10	VISION:Darkvision (120')			AUTO:LANG|Abyssal|Common|Infernal		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Guisarme	AUTO:EQUIP|Guisarme					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Paralyzing Slime|Summon Demodand ~ Shator	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Immunity To Poison|Immunity To Mind-Affecting|Scent|See Invisibility				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:30	DR:15/Good		MONSTERCLASS:Shator:15	RACETYPE:Outsider	RACESUBTYPE:Demodand|Extraplanar|Evil	TYPE:Outsider					HITDICEADVANCEMENT:22,30,45		CR:16	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Detect Magic|Clairaudience/Clairvoyance|Fear,14+CHA|Invisibility|Spider Climb|Tongues	DEFINE:Maneuverability|1	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Cloudkill,15+CHA|Fog Cloud|Ray of Enfeeblement,11+CHA|Stinking Cloud,13+CHA	SPELLS:Innate|TIMES=2|CASTERLEVEL=11|Dispel Magic	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Charm Monster (Mass),18+CHA								
Tanar'ri (Alkilith)	OUTPUTNAME:Tanar'ri [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Listen|Move Silently|Sense Motive|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Acid|Cloudkill Form	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Amorphous|Command Ooze (Sp)|Summon Tanar'ri ~ Alkilith|Immunity To Gas			ABILITY:Special Ability|AUTOMATIC|Alkilith Traits			DR:15/Good		MONSTERCLASS:Outsider:11	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:11,22,33,44,*		CR:14	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Contagion,14+CHA|Desecrate|Detect Magic|Dispel Magic|Enervation|Hold Monster,15+CHA|Magic Circle against Good|Stinking Cloud,13+CHA|Teleport (Greater),17+CHA|Wall of Ice,14+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Cone of Cold,15+CHA|Unholy Blight,14+CHA											
Blood Fiend			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,80	FACE:10	REACH:10			PREALIGN:CE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10			MONCSKILL:Concentration|Diplomacy|Hide|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:4				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*4,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Blood Fiend|Domination|Energy Drain ~ Blood Fiend	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Alternate Form|Resistance To Cold|Create Spawn|Immunity To Electricity|Fast Healing|Resistance To Fire|Gaseous Form (Su)|Turn Resistance				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:24	DR:15/Good		MONSTERCLASS:Undead:12	RACETYPE:Undead	RACESUBTYPE:Extraplanar	TYPE:Undead					HITDICEADVANCEMENT:18,36		CR:14	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Detect Good|Detect Magic|Teleport (Greater),17+CHA	DEFINE:Maneuverability|5	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:FastHealing|5	DEFINE:FireResistanceBonus|20	DEFINE:TurnResistBonus|6	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Chaos Hammer,14+CHA|Darkness|Unholy Blight,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Blasphemy,17+CHA|Desecrate				
Tanar'ri (Klurichir)	OUTPUTNAME:Tanar'ri [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Fly,90	FACE:15	REACH:15			PREALIGN:CE	AUTO:LANG|Abyssal|Common|Celestial|Draconic|Ignan|Undercommon		BONUS:COMBAT|AC|24|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate,Sense Motive|8|TYPE=Racial	BONUS:SKILL|Move Silently|4|TYPE=Racial			BONUS:STAT|STR|18	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival			AUTO:WEAPONPROF|Battleaxe	AUTO:EQUIP|Battleaxe					LEGS:2	HANDS:4				NATURALATTACKS:Pincer,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Spine,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Fear Aura|Improved Grab|Poison|Rend|Summon Tanar'ri ~ Klurichir|Vorpal Pincers	ABILITY:Special Ability|AUTOMATIC|See Invisibility				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:36	DR:20/Good and Cold Iron		MONSTERCLASS:Klurichir:20	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:30,60		CR:25	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blasphemy,17+CHA|Deeper Darkness|Desecrate|Detect Good|Detect Law|Dispel Good|Fear,14+CHA|Dispel Magic (Greater)|Magic Circle against Good|Charm Monster (Mass),18+CHA|Suggestion (Mass),16+CHA|Pyrotechnics,12+CHA|Read Magic|Symbol of Death,18+CHA|Symbol of Fear,16+CHA|Symbol of Insanity,18+CHA|Symbol of Pain,15+CHA|Symbol of Persuasion,16+CHA|Symbol of Sleep,15+CHA|Symbol of Stunning,17+CHA|Symbol of Weakness,17+CHA|Telekinesis|Teleport (Greater),17+CHA|Tongues,13+CHA|Unhallow,15+CHA|Unholy Blight,14+CHA|Wall of Fire	DEFINE:Maneuverability|1	DEFINE:FearAuraRadius|30	DEFINE:FearAuraDC|13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Destruction,17+CHA|Enervation|Fire Storm,17+CHA|Implosion,19+CHA|Slay Living,15+CHA								
Tanar'ri (Maurezhi)	OUTPUTNAME:Tanar'ri [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:CE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump|8|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Paralysis,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Consume|Paralysis (Ex)|Pounce	ABILITY:Special Ability|AUTOMATIC|Assume Shape|Summon Creatures (Sp)|Deathwatch (Sp always active)			ABILITY:Special Ability|AUTOMATIC|Maurezhi Skills		SR:19	DR:10/Good		MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Chaotic|Evil	TYPE:Outsider	TEMPLATE:Maurezhi				HITDICEADVANCEMENT:20		CR:9	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Animate Dead|Blur,12+CHA|Cause Fear,11+CHA|Chill Touch,11+CHA|Death Knell,12+CHA|Hold Person,13+CHA|Invisibility,13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Fear,14+CHA											
Tanar'ri (Myrmyxicus)	OUTPUTNAME:Tanar'ri [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Fly,40,Swim,60	FACE:15	REACH:15			PREALIGN:CE			BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|4	BONUS:STAT|CON|14	BONUS:STAT|INT|12	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spellcraft|Spot|Survival|Swim			AUTO:WEAPONPROF|Scythe	AUTO:EQUIP|Scythe|Scythe|Scythe|Scythe					LEGS:0	HANDS:10				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Tail,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8|Tentacle,Weapon.Natural.Melee.Reach.Finesseable.Bludgeoning,*6,1d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Unholy Black Vapor|Charisma Drain ~ Myrmyxicus|Constrict|Improved Grab|Summon Tanar'ri ~ Myrmyxicus	ABILITY:Special Ability|AUTOMATIC|Infuse Scythe|Unholy Ichor			ABILITY:Special Ability|AUTOMATIC|Myrmyxicus Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:30	DR:15/Good and Cold Iron		MONSTERCLASS:Outsider:18	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Aquatic|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:25,48,54		CR:21	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Cause Fear,11+CHA|Charm Person,11+CHA|Charm Monster,14+CHA|Freedom of Movement,14+CHA|Telekinesis|Teleport (Greater),17+CHA|True Seeing,15+CHA	DEFINE:BreathWeaponCone|40	DEFINE:BreathWeaponDice|10	DEFINE:BreathWeaponDamageDie|6	DEFINE:Maneuverability|1	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Control Weather,17+CHA|Dispel Magic (Greater),15+CHA|Unholy Aura,18+CHA|Unholy Blight,14+CHA							
Demon (Skulvyn)	OUTPUTNAME:Demon [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,10,Swim,50	FACE:10	REACH:10			PREALIGN:CE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|-2				MONCSKILL:Hide|Listen|Move Silently|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,1d6|Tail Lash,Weapon.Natural.Melee.Finesseable.Bludgeoning.Wounding,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Slow Aura|Wounding	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Skulkvyns Skill		SR:12	DR:5/Good		MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Aquatic|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:12		CR:4	SOURCEPAGE:FFo													
Demon (Wastrilith)	OUTPUTNAME:Demon [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30,Swim,80	FACE:15	REACH:15			PREALIGN:CE	AUTO:LANG|Abyssal|Aquan|Common		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate|8|TYPE=Racial				BONUS:STAT|STR|18	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Spellcraft|Spot|Survival|Swim|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,2d4		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Boiling Water	ABILITY:Special Ability|AUTOMATIC|Break Summoning|Immunity To Cold|Vulnerability To Fire|Immunity To Water|Water Mastery			ABILITY:Special Ability|AUTOMATIC|Wastriliths Skills		SR:20			MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Extraplanar|Aquatic|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:21,45		CR:17	SOURCEPAGE:FFo		DEFINE:BreathWeaponCone|60	DEFINE:BreathWeaponDice|3	DEFINE:BreathWeaponDamageDie|10	DEFINE:BreathWeaponDice|8								
Deva (Monadic)	OUTPUTNAME:Deva, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			PREALIGN:LG,NG,CG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Balance|Concentration|Diplomacy|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spellcraft|Spot			AUTO:WEAPONPROF|Mace (Heavy)	AUTO:EQUIP|Mace (Heavy)					LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Deliverance From Death|Elemental Ease|Uncanny Dodge ~ Base|Change Shape				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:22	DR:10/Evil		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Deva|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:20,30		CR:12	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Charm Monster,13+CHA|Consecrate|Continual Flame|Create Food and Water|Death Ward,14+CHA|Detect Evil|Discern Lies,13+CHA|Hold Monster,14+CHA|Mirror Image|Prayer|Protection from Arrows,12+CHA	DEFINE:Maneuverability|4	BONUS:VAR|UncannyDodgeLevel|2	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Atonement|Cure Serious Wounds,13+CHA|Daylight|Dispel Magic|Divination|Ethereal Jaunt|Hallow,15+CHA|Holy Aura,18+CHA|Holy Smite,14+CHA|Neutralize Poison,13+CHA|Plane Shift,15+CHA|Remove Curse,13+CHA|Remove Disease,13+CHA|Remove Fear,11+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Commune,15+CHA|Dispel Evil,14+CHA|Raise Dead,15+CHA							
