SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Nether Trail			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:a trail 20-ft long/level		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Creates a trail compelling evil orders to follow	SOURCEPAGE:BoVD									
No Light			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=0|Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft radius spread		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Prevents normal light from illuminating.	SOURCEPAGE:BoVD									
Pestilence (BoVD)			TYPE:Divine	CLASSES:Cleric=8|Druid=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject gains a disease as do all who touch him.Disease: any disease	SOURCEPAGE:BoVD									
#Phantasmal Thief	vedi Drac	#		TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one object		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creates an unseen force that steals from others.	SOURCEPAGE:BoVD								
Pox			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:up to one living creature/level, no two of which can be more than 10-ft apart.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:One creature/level take 1d4 CON drain.	SOURCEPAGE:BoVD									
Preserve Organ			TYPE:Arcane.Divine	CLASSES:Cleric=0|Druid=0|Sorcerer,Wizard=0		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:one organ		DURATION:24 hours	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Protects one detached organ from decay for 24 hours.	SOURCEPAGE:BoVD									
Psychic Poison			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:50-ft radius spread, or one single object or creature that can fit that area		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Poisons those casting Divination or Mind-Affecting spells at object, creature or area.	SOURCEPAGE:BoVD									
Reality Blind			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Concentration (see text)	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject can take no actions and afterward does not heal naturally.	SOURCEPAGE:BoVD									
Resonating Resistance			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, Fiend	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Foes must check spell resistance twice against caster.	SOURCEPAGE:BoVD									
Sacrificial Skill			TYPE:Arcane.Divine	CLASSES:Assassin=2|Cleric=1|Sorcerer,Wizard=1		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +5 bonus on Knowledge (Religion) checks made during sacrifice.	SOURCEPAGE:BoVD									
Sadism			TYPE:Arcane.Divine	CLASSES:Assassin=3|Blackguard=3|Cleric=3|Sorcerer,Wizard=2		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:For every 10 hp damage caster deals, he gains +1 on attacks, saves and checks.	SOURCEPAGE:BoVD									
Sap Strength			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject becomes exhausted.	SOURCEPAGE:BoVD									
Shriveling			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Subject takes 1d4 damage/level. Disease: Soul Rot	SOURCEPAGE:BoVD									
Slash Tongue			TYPE:Arcane.Divine	CLASSES:Cleric=0|Sorcerer,Wizard=0		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature with a tongue		DURATION:1 round	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes -1 penalty on attacks, saves and check for 1 round.	SOURCEPAGE:BoVD									
Slow Consumption			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Location	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:one living creature		DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Caster absorb health and sustenance from helpless subject.Location: an area under the effect of a Desecrate or Unhallw spell.	SOURCEPAGE:BoVD									
Snare Astral Traveler			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one astral creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Capture one astral creature and holds it motionless.	SOURCEPAGE:BoVD									
Song of Festering Death			TYPE:Divine	CLASSES:Bard=2		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:Concentration	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 2d6 damage per round while caster concentrate.	SOURCEPAGE:BoVD									
Sorrow			TYPE:Divine	CLASSES:Bard=1|Cleric=1		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -3 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD									
Soul's Shackles			TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, F, Location	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:None (see text)	SPELLRES:Yes	DESC:Imprisons soul of dead creture in talisman, from wich the caster can question it. Location: an area under the effect of a Desecrate or Unhallw spell.	SOURCEPAGE:BoVD									
Soul's Treasure Lost			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fortitude negates (object)	SPELLRES:Yes	DESC:Disintegrates subject's most valuable object.	SOURCEPAGE:BoVD		COST:500							
Spider Hand			TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:caster's land		DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's hand becomes a small monstrous spider.	SOURCEPAGE:BoVD									
Spider Legs			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster grows long spider legs that have a speed of 30-ft and move on vertical surfaces.	SOURCEPAGE:BoVD									
Spread of Savagery			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Long	TARGETAREA:10-ft/level radius spread		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creatures within 10-ft/level become hostile and savage.	SOURCEPAGE:BoVD									
Steal Life			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Location	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living humanoid		DURATION:Concentration	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Caster drains 1 ability score point/round and becomes younger. Location: an area under the effect of a Desecrate or Unhallw spell.	SOURCEPAGE:BoVD									
Stop Heart			TYPE:Arcane.Divine	CLASSES:Assassin=4|Cleric=4|Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living humanoid or animal		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject drops to -8 hp immediately. Drug: Baccaran	SOURCEPAGE:BoVD									
Stunning Screech			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Evocation		DESCRIPTOR:Evil|Sonic	COMPS:V, S, M, Drug	CASTTIME:1 standard action	RANGE:30-ft	TARGETAREA:all creature within range		DURATION:1 round	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:All within 30-ft are stunned for 1 round. Drug: Mushroom powder	SOURCEPAGE:BoVD									
Stupor			TYPE:Arcane.Divine	CLASSES:Assassin=1|Cleric=1|Sorcerer,Wizard=1		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:one helpless creature		DURATION:1 hour/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:One helpless subject is put in a state that allows him to be moved but take no other action.	SOURCEPAGE:BoVD									
Suspend Disease			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=1|Sorcerer,Wizard=1		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:24 hours	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Keeps disease from harming creature for 24 hours.	SOURCEPAGE:BoVD									
Thousand Needles			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one living creature		DURATION:1 minute/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject takes 2d6 damage and -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD									
Tongue of Baalzebul			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M, Drug	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 bonus on Bluff , Diplomacy and Gather Information. Drug: Mushroom powder	SOURCEPAGE:BoVD									
Tongue Serpents			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster spits ount one Tiny viper/4 levels.	SOURCEPAGE:BoVD									
Tongue Tendrils			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster spits out tendrils that grapple.	SOURCEPAGE:BoVD									
Unheavened			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains +4 save bonus against power of good outsiders. Drug: Vodare.	SOURCEPAGE:BoVD									
Unliving Weapon			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:one undead creature		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Undead subject explodes for 1d6 damage/2 levels when struck or at specific time.	SOURCEPAGE:BoVD									
Unnerving Gaze			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Illusion	SUBSCHOOL:Phantasm		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -1 penalty on attacks for 1d3 rounds.	SOURCEPAGE:BoVD									
Utterdark			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Close	TARGETAREA:100-ft radius spread, centered on caster		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:100-ft/level radius of darkness that evil creature 	SOURCEPAGE:BoVD									
Vile Lance			TYPE:Arcane.Divine	CLASSES:Blackguard=4|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one shortspear		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Creates +2 shortspear that deals vile damage.	SOURCEPAGE:BoVD									
Wall of Chains			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a wall whose area is up to 5-ft square/level (see text)		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creates barrier of woven chains that has 20 hp/4 caster levels.	SOURCEPAGE:BoVD									
Wall of Deadly Chains			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a wall whose area is up to 5-ft square/level (see text)		DURATION:1 minute/level	SAVEINFO:Reflex half	SPELLRES:No	DESC:Creates barrier of woven chains that has 20 hp/4 caster levels and deals 3d6 damage to all within 5-ft.	SOURCEPAGE:BoVD									
Wall of Eyes			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a wall whose area is up to 5-ft square/level (see text)		DURATION:Instantaneous	SAVEINFO:Will negates (see text)	SPELLRES:No	DESC:Creates barrier that caster can see through and that paralyzes and consumes those that touch it.	SOURCEPAGE:BoVD									
Wall of Ooze			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a wall whose area is up to 5-ft square/level (see text)		DURATION:Concentration + 1 round/level	SAVEINFO:Fortitude partial (see text)	SPELLRES:No	DESC:Creates barrier that has 50 hp/4 levels that paralyzes and deals 2d6 damage to all that touch it.	SOURCEPAGE:BoVD									
#Wave of Grief	vedi CD	#			TYPE:Divine	CLASSES:Bard=2|Cleric=2		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:cone		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:All within cone take -3 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD							
Wave of Pain			TYPE:Divine	CLASSES:Bard=6		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:cone		DURATION:1 round/2 level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Stuns all within cone for 1 round/2 levels.	SOURCEPAGE:BoVD									
Were Doom	OUTPUTNAME:Were-doom		TYPE:Divine	CLASSES:Cleric=9|Druid=9		SCHOOL:Evocation		DESCRIPTOR:Chaotic|Evil	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Long	TARGETAREA:50-ft/level radius		DURATION:24 hours	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:1d4 creatures are infected with Lycanthropy.	SOURCEPAGE:BoVD									
Spores of the Vrock			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:5-ft radius, centered on caster.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:All within 5-ft take 1d8 damage and 1d2 damage each round thereafter for 10 round.	SOURCEPAGE:BoVD									
Wither Limb			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature with limbs		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Caster reduces subject's speed to 5-ft or make it impossible for subject to use objects or cast somatic spells.	SOURCEPAGE:BoVD									
#Wrack			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Blinds subject and render it helpless for 1 round/level, then -2 on attacks, saves and checks for 1d10 minutes.	SOURCEPAGE:BoVD									
Wretched Blight			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread		DURATION:Instantaneous	SAVEINFO:Fortitude partial (see text)	SPELLRES:Yes	DESC:Deals 1d8 damage/level, in 20-ft radius and stuns foes for 1d4 rounds.	SOURCEPAGE:BoVD									
Whirlwind of Teeth			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft/level radius cylinder, 10-ft/level high.		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Creates moving 5-ft/level cylinder that deals 1d8 damage/2 levels each round.	SOURCEPAGE:BoVD									
																											
Absorb Mind			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 25%% chance of knowing information in a brain eaten. Corrupt:2d6 WIS damage.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=2|MAX=6|TITLE=Choose WIS damage.	TEMPDESC:Corrupt: 1d3 points of WIS damage.
Absorb Strength			TYPE:Arcane.Divine	CLASSES:Corrupt=4		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 1/4 of creature's STR and CON when he eats it. Corrupt:2d6 WIS damage.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=2|MAX=6|TITLE=Choose WIS damage.	TEMPDESC:Corrupt: 1d3 points of WIS damage.
Apocalypse from the Sky			TYPE:Arcane.Divine	CLASSES:Corrupt=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M, Corrupt	CASTTIME:1 day	RANGE:Personal	TARGETAREA:10-mile radius/level, centered on caster		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:All in a 10-mile radius/level take 10d6 damage. Corrupt:3d6 CON damage, 4d6 WIS drain. Preparing the spell deals 1d3 WIS damage + 1d3 WIS damage/day.	SOURCEPAGE:BoVD							BONUS:STAT|CON|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=3|MAX=18|TITLE=Choose CON damage.	TEMPDESC:Corrupt: 3d6 points of CON damage.
Befoul (Vile)	OUTPUTNAME:Befoul		TYPE:Arcane.Divine	CLASSES:Corrupt=8		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Water in a volume of 100-ft/level by 100-ft/level by 10-ft/level		DURATION:Permanent (see text)	SAVEINFO:None (see text)	SPELLRES:No	DESC:Large amount of water becomes poisonous.	SOURCEPAGE:BoVD									
Claws of the Bebilith			TYPE:Arcane.Divine	CLASSES:Corrupt=5		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains cLawfuls based on her size. Corrupt:1d6 DEX damage.	SOURCEPAGE:BoVD							BONUS:STAT|DEX|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose DEX damage.	TEMPDESC:Corrupt: 1d6 points of DEX damage.
Consume Likeness			TYPE:Arcane.Divine	CLASSES:Corrupt=6		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Caster steals the appearance of a dead person, adding +10 on Disguise checks. Corrupt:2d6 WIS drain.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|PREAPPLY:PC	CHOOSE:NUMBER|MIN=2|MAX=12|TITLE=Choose WIS drain.	TEMPDESC:Corrupt: 1d6 points of WIS drain
Death by Thorns			TYPE:Arcane.Divine	CLASSES:Corrupt=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Death|Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to three creatures, no two of which can be more than 15-ft apart.		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Up to three creatures die in 1d4 rounds or are incapacitated, taking 4d6 damage. Corrupt:1d6 WIS drain.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose WIS drain.	TEMPDESC:Corrupt: 1d6 points of WIS drain.
Devil's Tongue			TYPE:Arcane.Divine	CLASSES:Corrupt=2		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Tongue grapples with reach 15-ft. Corrupt:1d6 WIS damage.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose WIS damage.	TEMPDESC:Corrupt: 1d6 points of WIS damage.
Evil Weather			TYPE:Arcane.Divine	CLASSES:Corrupt=8		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M, XP, Corrupt	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:1-mile/level radius, centered on caster		DURATION:3d6 minutes	SAVEINFO:None	SPELLRES:No	DESC:Caster conjures one type of evil weather. Corrupt:3d6 CON damage.	SOURCEPAGE:BoVD							BONUS:STAT|CON|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose CON damage.	TEMPDESC:Corrupt: 1d6 points of CON damage.
Fangs of the Vampire King (Corrupt)	OUTPUTNAME:Fangs of the Vampire King		TYPE:Arcane.Divine	CLASSES:Corrupt=2		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains bite attack with +10 bonus that deals 1d6 damage and 1 CON damage. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
Forbidden Speech			TYPE:Arcane.Divine	CLASSES:Corrupt=5		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, Corrupt	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:one living creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject cannot speek about a certain topic. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
