SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net													
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE			
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Smite|Pious Templar Smite Evil			BONUS:VAR|PiousTemplarSmiteEvilLVL|CL								
3	CAST:0,1,0		ADD:FEAT|Weapon Specialization	ABILITY:Special Ability|AUTOMATIC|Pious Templar DR			BONUS:VAR|PiousTemplarDRLVL|CL								
4	CAST:0,1,1						BONUS:ABILITYPOOL|Fighter Feat|1								
5	CAST:0,1,1,0														
6	CAST:0,1,1,1														
7	CAST:0,2,1,1,0														
8	CAST:0,2,1,1,1						BONUS:ABILITYPOOL|Fighter Feat|1								
9	CAST:0,2,2,1,1														
10	CAST:0,2,2,2,1														
#															
CLASS:Radiant Servant of Pelor	HD:6	TYPE:Prestige	ABB:Rsp	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Radiant Servant of Pelor	PREALIGN:NG	PRESKILL:1,Heal=5	PRESKILL:1,Knowledge (Religion)=9	PREFEAT:1,Extra Turning	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PREDOMAIN:1,Sun	PREDEITY:1,Pelor							
CLASS:Radiant Servant of Pelor	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|Knowledge (Arcana)|Knowledge (Religion)|TYPE.Profession|Sense Motive|Spellcraft													
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Radiant Servant of Pelor
#															
1				ABILITY:Special Ability|AUTOMATIC|Radiant Servant Turn Undead			BONUS:VAR|RspTurnUndeadLVL|CL								
#															
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Radiance|Extra Greater Turning											
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Divine Health|Empower Healing|Radiant Servant Empower Healing			BONUS:VAR|RadiantServantEmpowerHealingLVL|CL								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Aura of Warding											
4	ADD:SPELLCASTER|ANY														
5	ADD:SPELLCASTER|ANY					ADDDOMAINS:Glory.Purification	BONUS:DOMAIN|NUMBER|1								
6	ADD:SPELLCASTER|ANY														
7	ADD:SPELLCASTER|ANY														
8	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Positive Energy Burst|Radiant Servant Positive Energy Burst		BONUS:VAR|RspPositiveBurstLVL|CL									
9	ADD:SPELLCASTER|ANY														
10	ADD:SPELLCASTER|ANY														
#															
CLASS:Rainbow Servant	HD:4	TYPE:Prestige	ABB:Rai	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE						
CLASS:Rainbow Servant	PREALIGN:LG,LN,NG,TN	PRESKILL:1,Knowledge (Arcana)=4	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=3	PRETEXT:Must find the hidden jungle temple of the Couatls										
CLASS:Rainbow Servant	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Knowledge (Arcana)|Knowledge (The Planes)|TYPE.Profession|Sense Motive|Spellcraft													
1				ABILITY:Special Ability|AUTOMATIC|Detect Evil		DOMAIN:Good	BONUS:DOMAIN|NUMBER|1	BONUS:VAR|DetectEvilLVL|CL							
2	ADD:SPELLCASTER|Arcane														
3	ADD:SPELLCASTER|Arcane														
4				ABILITY:Special Ability|AUTOMATIC|Couatl Wings|Rainbow Servant Couatl Wings		DOMAIN:Air	BONUS:DOMAIN|NUMBER|1	BONUS:VAR|RainbowServantCouatlWingsLVL|CL							
5	ADD:SPELLCASTER|Arcane														
6	ADD:SPELLCASTER|Arcane														
7				ABILITY:Special Ability|AUTOMATIC|Detect Chaos		DOMAIN:Law	BONUS:DOMAIN|NUMBER|1	BONUS:VAR|DetectChaosLVL|CL							
8	ADD:SPELLCASTER|Arcane														
9	ADD:SPELLCASTER|Arcane														
###TODO level 10 SPELLLIST:1|Cleric
10				ABILITY:Special Ability|AUTOMATIC|Detect Thoughts (Sp/atwill)				BONUS:VAR|DetectThoughtsLVL|CL							
#															
CLASS:Sacred Exorcist	HD:8	TYPE:Prestige	ABB:Exo	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Sacred Exorcist	PREALIGN:LG,NG,CG	PRESKILL:1,Knowledge (The Planes)=10	PRESKILL:1,Knowledge (Religion)=7	PRESPELL:1,Dismissal,Dispel Evil	PRETEXT:Adopting this prestige class requires the sanction of a church or order that ordains sacred exorcists. Only characters judged by their church to be exemplary in faith and devotion, strong of will and upright in morality, are made sacred exorcists.										
CLASS:Sacred Exorcist	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|TYPE.Profession|Spellcraft													
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Sacred Exorcist
#															
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Exorcism|Basic Turning|Sacred Exorcist Turning			BONUS:VAR|TurnLevelBase|CL|TYPE=Level.REPLACE	BONUS:VAR|TurnDamagePlusBase|CL|TYPE=Level.REPLACE							
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Resist Possession|Detect Evil			BONUS:VAR|DetectEvilLVL|CL								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Basic Chosen Foe|Sacred Exorcist Chosen Foe			BONUS:VAR|SacredExorcistChosenFoeLVL|CL								
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Dispel Evil			BONUS:VAR|SacredExorcistDispelEvilLVL|CL								
5	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Consecrated Presence											
6	ADD:SPELLCASTER|ANY														
7	ADD:SPELLCASTER|ANY														
8	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Holy Aura|Sacred Exorcist Holy Aura											
9	ADD:SPELLCASTER|ANY														
10	ADD:SPELLCASTER|ANY														
#															
###TODO CONTIGUOUS:Monk															
CLASS:Sacred Fist	HD:8	TYPE:Prestige	ABB:Saf	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE						
CLASS:Sacred Fist	PREATT:4	PRESKILL:1,Knowledge (Religion)=8	PREFEAT:4,Combat Casting,Combat Reflexes,Improved Unarmed Strike,Stunning Fist	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1										
CLASS:Sacred Fist	STARTSKILLPTS:4	CSKILL:Balance|Concentration|Escape Artist|Heal|Jump|TYPE.Profession|Spellcraft|Tumble													
#															
#			AUTO:FEAT|Flurry of Blows				BONUS:VAR|MonkLVL|CL	BONUS:VAR|FlurryLVL,StunningFistMonkLVL|MonkLVL		DEFINE:MonkLVL|0					
#															
1	ADD:SPELLCASTER|Divine	UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6	AUTO:FEAT|Improved Unarmed Strike	ABILITY:Special Ability|AUTOMATIC|Sacred Fist AC	ABILITY:Special Ability|AUTOMATIC|Sacred Fist Unarmed Damage|PRECLASS:1,Monk=1		BONUS:VAR|SacredFistACLVL|CL	BONUS:VAR|SacredFistUnarmedLVL|CL		UMULT:2					
2	ADD:SPELLCASTER|Divine	UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6													
3	ADD:SPELLCASTER|Divine	UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6		ABILITY:Special Ability|AUTOMATIC|Sacred Fist Movement			BONUS:VAR|SacredFistMoveLVL|CL								
4		UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6		ABILITY:Special Ability|AUTOMATIC|Sacred Flames|Sacred Fist Sacred Flames			BONUS:VAR|SacredFistFlameLVL|CL								
5	ADD:SPELLCASTER|Divine	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6													
6	ADD:SPELLCASTER|Divine	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6		VISION:Blindsense (10')											
7	ADD:SPELLCASTER|Divine	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6													
8		UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8													
9	ADD:SPELLCASTER|Divine	UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8													
10	ADD:SPELLCASTER|Divine	UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8		ABILITY:Special Ability|AUTOMATIC|Inner Armor											
#															
CLASS:Seeker of the Misty Isle	HD:8	TYPE:Prestige	ABB:See	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Seeker of the Misty Isle	PREMULT:1,[PRERACE:1,Elf%,Half-Elf],[PRERACE:1,RACESUBTYPE=Elf]	PRESKILL:1,Knowledge (Religion)=4	PRESKILL:1,Survival=8	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=2	PRETEXT:Must be inducted into the order by another member									
CLASS:Seeker of the Misty Isle	STARTSKILLPTS:6	CSKILL:Balance|Climb|Concentration|TYPE.Craft|Diplomacy|Hide|Jump|Knowledge (Geography)|Knowledge (Religion)|Listen|Move Silently|Ride|Speak Language|Spellcraft|Spot|Survival						DEFINE:FindThePathTimes|0	DEFINE:DiscernLocationTimes|0						
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Seeker of the Misty Isle
#															
1	ADD:SPELLCASTER|Divine					DOMAIN:Travel	BONUS:DOMAIN|NUMBER|1								
2	ADD:SPELLCASTER|Divine														
3	ADD:SPELLCASTER|Divine														
4	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Swiftfooted											
5				ABILITY:Special Ability|AUTOMATIC|Corellon's Perception|Surefooted											
6	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Find the Path (Sp)			BONUS:VAR|FindThePathPerDay|1	BONUS:VAR|FindThePathLVL|CL							
7	ADD:SPELLCASTER|Divine					DOMAIN:Magic	BONUS:DOMAIN|NUMBER|1								
8	ADD:SPELLCASTER|Divine														
9	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Arcane Sight (Sp)|Seeker Arcane Sight			BONUS:VAR|SeekerArcaneSightLVL|CL								
10				ABILITY:Special Ability|AUTOMATIC|Discern Location|Seeker Discern Location			BONUS:VAR|SeekerDiscernLocationLVL|CL								
#															
CLASS:Shining Blade of Heironeous	HD:10	TYPE:Prestige	ABB:Sbh	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE						
CLASS:Shining Blade of Heironeous	PREALIGN:LG	PREATT:7	PRECHECKBASE:1,Will=3	PRESKILL:1,Knowledge (Religion)=7	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PREDEITY:1,Heironeous								
CLASS:Shining Blade of Heironeous	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|Knowledge (Religion)|TYPE.Profession|Spellcraft						DEFINE:ShockBladeTimes|0	DEFINE:ShockBladeDuration|0						
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Shining Blade of Heironeous
#															
1				ABILITY:Special Ability|AUTOMATIC|Shock Blade|Shining Blade Shock Blade			BONUS:VAR|ShiningShockBladeLVL|CL								
2	ADD:SPELLCASTER|Divine														
3															
4	ADD:SPELLCASTER|Divine														
5				ABILITY:Special Ability|AUTOMATIC|Holy Blade											
6	ADD:SPELLCASTER|Divine														
7															
8	ADD:SPELLCASTER|Divine														
9				ABILITY:Special Ability|AUTOMATIC|Brilliant Blade											
10	ADD:SPELLCASTER|Divine														
#															
CLASS:Stormlord	HD:8	TYPE:Prestige	ABB:Sto	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Stormlord	PRECHECKBASE:1,Fortitude=4	PREFEAT:2,Endurance,Great Fortitude	PREFEAT:1,Weapon Focus(TYPE=Spear),Weapon Focus(TYPE=Javelin)	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=3	PREDEITY:1,Talos	PRETEXT:The character must have been hit by a bolt of lightning, whether a natural bolt or one created by magic, and survived.								
CLASS:Stormlord	STARTSKILLPTS:2	CSKILL:Concentration|Disguise|Gather Information|Intimidate|Knowledge (Nature)|Knowledge (Religion)|Survival|Swim						DEFINE:EnhancedJavelinBonus|0	DEFINE:StormElementalFuryTimes|0						
1	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Enhanced Javelin|Stormlord Enhanced Javelin|Resistance To Electricity			BONUS:VAR|StormlordEnhancedJavelinLVL|CL	BONUS:VAR|ElectricityResistanceBonus|5							
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Shock Weapon											
3	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Storm Walk											
4	ADD:SPELLCASTER|Divine							BONUS:VAR|ElectricityResistanceBonus|10							
5	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Thundering Weapon											
6	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Storm Ride											
7	ADD:SPELLCASTER|Divine							BONUS:VAR|ElectricityResistanceBonus|15							
8	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Shocking Burst Weapon											
9	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity											
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Storm of Elemental Fury|Stormlord Storm of Elemental Fury											
#															
CLASS:Temple Raider of Olidammara	HD:6	TYPE:Prestige	ABB:Tra	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Temple Raider of Olidammara	PREALIGN:CG,CN,CE	PREATT:5	PRESKILL:2,Disable Device=4,Open Lock=4	PRESKILL:1,Knowledge (Religion)=1	PRESKILL:1,Search=8	PREDEITY:1,Olidammara	PRETEXT:The character must be invited to join the ranks of the temple raiders by at least three current members of that prestige class.								
CLASS:Temple Raider of Olidammara	STARTSKILLPTS:4	CSKILL:Appraise|Climb|TYPE.Craft|Decipher Script|Disable Device|Hide|Jump|Knowledge (Religion)|Listen|Move Silently|Open Lock|Search|Spot|Tumble|Use Magic Device|Use Rope	SPELLSTAT:WIS	SPELLTYPE:Divine		KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Temple Raider of Olidammara|CL								
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Temple Rider of Olidammara
#															
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Trapfinding|Trap Sense Ability|Temple Raider Trap Sense			BONUS:VAR|TempleRaiderTrapSenseLVL|CL								
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Temple Raider Sneak Attack			BONUS:VAR|TempleRaiderSneakAttackLVL|CL								
3	CAST:0,1,0			ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base			BONUS:VAR|UncannyDodgeFlankingLevel|CL|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|1							
4	CAST:0,1,1														
5	CAST:0,1,1,0														
6	CAST:0,1,1,1							BONUS:VAR|UncannyDodgeLevel|1							
7	CAST:0,2,1,1,0														
8	CAST:0,2,1,1,1														
9	CAST:0,2,2,1,1							BONUS:ABILITYPOOL|Skill Mastery|3+INT						
10	CAST:0,2,2,2,1					DOMAIN:Luck	BONUS:DOMAIN|NUMBER|1								
#															
CLASS:Ur-Priest	HD:8	TYPE:Prestige	ABB:Urp	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Ur-Priest	PREALIGN:LE,NE,CE	PRECHECKBASE:2,Will=3,Fortitude=3	PRESKILL:1,Bluff=6	PRESKILL:2,Knowledge (Arcana)=5,Knowledge (The Planes)=5	PRESKILL:2,Knowledge (Religion)=8,Spellcraft=8	PREFEAT:2,Iron Will,Spell Focus(Evil)	PRESPELLCAST:TYPE=Divine	PRETEXT:The character must be trained by another Ur-Priest							
CLASS:Ur-Priest	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|TYPE.Profession|Spellcraft	SPELLSTAT:WIS	SPELLTYPE:Divine		KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Ur-Priest|CL	SPELLLIST:1|Cleric							
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Ur-Priest
#															
1	CAST:4,2														
2	CAST:5,3,0			ABILITY:Special Ability|AUTOMATIC|Basic Turning|Ur-Priest Turning			BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|CL|TYPE=Level.REPLACE							
3	CAST:5,3,1,0														
4	CAST:6,3,2,1,0			ABILITY:Special Ability|AUTOMATIC|Divine Spell Resistance			BONUS:VAR|DivineSpellResistance|15								
5	CAST:6,3,3,2,1,0														
6	CAST:6,3,3,3,2,1,0			ABILITY:Special Ability|AUTOMATIC|Siphon Spell Power											
7	CAST:6,4,3,3,3,2,1,0														
8	CAST:6,4,4,3,3,3,2,1,0						BONUS:VAR|DivineSpellResistance|5								
9	CAST:6,5,4,4,4,4,3,2,1,0														
10	CAST:6,5,5,4,4,4,4,3,2,1			ABILITY:Special Ability|AUTOMATIC|Steal Spell-Like Ability											
#															
CLASS:Void Disciple	HD:6	TYPE:Prestige.Oriental	ABB:Vod	MAXLEVEL:13	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE						
CLASS:Void Disciple	PREALIGN:LN,NG,TN,NE,CE	PRESKILL:1,Spellcraft=10	PREFEAT:2,Heighten Spell,Spell Penetration	PREMULT:1,[PRESPELLCAST:TYPE=Divine][PRESPELLCAST:TYPE=Arcane]	PRESPELLTYPE:1,Divine=3,Arcane=3										
CLASS:Void Disciple	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|TYPE.Knowledge|TYPE.Profession|Spellcraft													
#															
1				ABILITY:Special Ability|AUTOMATIC|Sense the Void|Void Disciple Sense the Void			BONUS:VAR|VoidDiscipleSenseTheVoidLVL|CL								
2	ADD:SPELLCASTER|ANY														
3															
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Moment of Clarity|Void Disciple Moment of Clarity			BONUS:VAR|VoidDisipleMomentOfClarityLVL|CL								
5	ADD:SPELLCASTER|ANY														
6	ADD:SPELLCASTER|ANY														
7				ABILITY:Special Ability|AUTOMATIC|Altering the Course											
8	ADD:SPELLCASTER|ANY														
9															
10	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Void Release|Void Disciple Void Release			BONUS:VAR|VoidDiscipleReleaseLVL|CL								
11	ADD:SPELLCASTER|ANY														
12	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Void Suppression|Void Disciple Void Suppression			BONUS:VAR|VoidDiscipleSuppressionLVL|CL								
13				ABILITY:Special Ability|AUTOMATIC|Void Strike											
#															
CLASS:Warpriest	HD:10	TYPE:Prestige	ABB:Wrp	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE					
CLASS:Warpriest	PREATT:5	PRESKILL:1,Diplomacy=8	PRESKILL:1,Sense Motive=5	PREFEAT:1,Combat Casting	PREDOMAIN:1,Destruction,Protection,Strength,War	PREABILITY:1,CATEGORY=Special Ability,TYPE.TurnUndead									
CLASS:Warpriest	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Knowledge (History)|Ride|Sense Motive|Spellcraft|Swim							DEFINE:MassCureLightTimes|0		DEFINE:FearAuraTimes|0	DEFINE:FearAuraDuration|0	DEFINE:HeroesFeastTimes|0	DEFINE:HasteTimes|0	DEFINE:MassHealTimes|0
SUBCLASS:Warpriest (Turn Undead)	COST:0	PREALIGN:LG,LN,NG,TN,CG,CN	PREABILITY:1,CATEGORY=Special Ability,Turn Undead												
SUBCLASSLEVEL:1						DOMAIN:Glory	BONUS:DOMAIN|NUMBER|1								
SUBCLASS:Warpriest (Rebuke Undead)	COST:0	PREALIGN:LE,LN,NE,TN,CE,CN	PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead												
SUBCLASSLEVEL:1						DOMAIN:Domination	BONUS:DOMAIN|NUMBER|1								
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Warpriest
#															
1				ABILITY:Special Ability|AUTOMATIC|Warpriest Turn Undead|Rally			BONUS:VAR|WrpTurnUndeadLVL|CL	BONUS:VAR|RallyBonus|CL							
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Inflame|Warpriest Inflame			BONUS:VAR|WarpriestInflameLVL|CL								
3				ABILITY:Special Ability|AUTOMATIC|Mass Cure Light Wounds			BONUS:VAR|MassCureLightWoundsLVL|CL	BONUS:VAR|MassCureLightWoundsTimes|1							
4	ADD:SPELLCASTER|Divine														
5				ABILITY:Special Ability|AUTOMATIC|Fear Aura (Su)|Warpriest Fear Aura			BONUS:VAR|WarpriestFearAuraLVL|CL								
6	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Heroes Feast (Sp)			BONUS:VAR|HeroesFeastLVL|CL	BONUS:VAR|HeroesFeastTimes|1							
7				ABILITY:Special Ability|AUTOMATIC|Haste (Sp)			BONUS:VAR|HasteLVL|CL	BONUS:VAR|HeroesFeastTimes|3							
8	ADD:SPELLCASTER|Divine														
9				ABILITY:Special Ability|AUTOMATIC|Mass Heal (Sp)			BONUS:VAR|MassHealLVL|CL	BONUS:VAR|MassHealTimes|1							
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Implacable Foe											
