SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Poison Thorns			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You grows thorns that poison your attackers	SOURCEPAGE:CD								
Poison Vines			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft.-radius/level spread		DURATION:10 minutes/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Vines grow and poison creatures stuck within them	SOURCEPAGE:CD								
#Probe Thoughts			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One living creature		DURATION:Concentration	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Read subject's memories, one question/round	SOURCEPAGE:CD								
Probe Thoughts.MOD	DESC:Read subject's memories, one question/round	SOURCEPAGE:CD																								
Quill Blast			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft radius spread, centered on you		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:You fling quills in spread, dealing 1d6 damage and imposing penalties	SOURCEPAGE:CD								
Recitation			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:All allies and foes within 60-ft-radius burst centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Your allies get bonus on attacks and saves and your foes gets penalties	SOURCEPAGE:CD								
Rejuvenation Cocoon			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched		DURATION:2 rounds	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Energy cocoon shields creature, then heals it	SOURCEPAGE:CD								
Renewal Pact			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:Permanent, until triggered	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creature is automatically healed if adverse condition affects it	SOURCEPAGE:CD			XPCOST:500					
Resurgence			TYPE:Divine	CLASSES:Blackguard=1|Cleric=1|Paladin=1		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You grant subject a second chance at a saving throw	SOURCEPAGE:CD								
Resurgence (Mass)	OUTPUTNAME:Resurgence, Mass		TYPE:Divine	CLASSES:Blackguard=3|Cleric=4|Paladin=3		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Resurgence, but multiple targets	SOURCEPAGE:CD								
Revenance			TYPE:Divine	CLASSES:Blackguard=4|Cleric=4|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Dead ally touched		DURATION:1 minute/level	SAVEINFO:None (harmless); See text	SPELLRES:Yes	DESC:Restore dead creature to life for 1 min/level	SOURCEPAGE:CD								
Righteous Wrath of the Faithful			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:All allies within 30-ft-radius burst centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Your allies get bonuses, especially if they whorship your deity	SOURCEPAGE:CD								
Sacred Heaven			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creature gains AC bonus, and you can monitor and heal it magically	SOURCEPAGE:CD								
Sandblast			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:Semicircular burst of sand 10 ft long, centered on your hands		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You fire hot sand that deals 1d6 nonlethal damage, stuns enemies	SOURCEPAGE:CD								
Scent			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grants the Scent special ability	SOURCEPAGE:CD								
Scourge			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One living creature/level, no two of wich can be more than 50 ft apart		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Inflicts a disease that must be magically cured, one subject/level	SOURCEPAGE:CD								
Shadow Landscape			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 hour	RANGE:Long	TARGETAREA:One-mile radius spread, centered on a point in space		DURATION:1 day/level	SAVEINFO:Reflex partial; See text	SPELLRES:Yes	DESC:Makes natural terrain more dangerous, creates guardians that you command	SOURCEPAGE:CD								
Slime Wave			TYPE:Divine	CLASSES:Cleric=7|Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft radius spread		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Creates a 15-ft spread of green slime	SOURCEPAGE:CD								
Spell Resistance (Mass)	OUTPUTNAME:Spell Resistance, Mass		TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/level, no two of wich can be more than 30 ft apart		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Spell Resistance, but multiple targets	SOURCEPAGE:CD								
Spikes			TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Wooden weapon touched		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:As Brambles, but weapon gains +2 bonus and double threat range	SOURCEPAGE:CD								
Spiritual Chariot			TYPE:Divine	CLASSES:Blackguard=4|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One special mount		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates ghoslty chariot behind your mount	SOURCEPAGE:CD								
Stalwart Pact			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Evocation			COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:Permanent until triggered, then 1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You gain combat bonuses automatically when reduced to half hit points or lower	SOURCEPAGE:CD			XPCOST:250					
Standing Wave			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Waves under a creature or object within range		DURATION:10 minutes/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Magically propels boat or swimming creature	SOURCEPAGE:CD								
Storm of Elemental Fury			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:40-ft-radius storm cloud, 200 feet above the ground		DURATION:Concentration, max 4 round	SAVEINFO:See text	SPELLRES:Yes	DESC:Magic clouds creates windstorm, then hail of stones, then rainstorm, then flame	SOURCEPAGE:CD								
Storm Tower			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft tall, 20-ft-radius spread		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Swirling clouds absorbs electricity and Magic Missiles and prevents ranged attacks	SOURCEPAGE:CD								
Stormrage			TYPE:Divine	CLASSES:Cleric=8|Druid=8		SCHOOL:Transmutation		DESCRIPTOR:Electricity	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You can fly and fire lightning from your eyes	SOURCEPAGE:CD								
Subvert Planar Essence			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius emanation centered on a point in space		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Reduces target's DR and SR	SOURCEPAGE:CD		COST:100						
#Telepathic Bond (Lesser)	OUTPUTNAME:Telepathic Bond, Lesser		TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:You and one willing creature within 30 ft		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As Rary's Telepathic Bond, but you and one another creature	SOURCEPAGE:CD								
Telepathic Bond (Lesser).MOD	DESC:As Rary's Telepathic Bond, but you and one another creature	SOURCEPAGE:CD																								
Tidal Surge			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more creature in a 20-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Wave of water deals 1d8/2 levels damage and bull rushes	SOURCEPAGE:CD								
Tidal Surge.COPY=Master of the Rolling River	CLASSES:.CLEARALL
Tortoise Shell			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Creature gains +6 natural armor, +1/3 caster levels above 11th	SOURCEPAGE:CD								
#Touch of Madness			TYPE:Divine			SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Dazes one creature for 1 round/level	SOURCEPAGE:CD								
Touch of Madness.MOD	DESC:Dazes one creature for 1 round/level	SOURCEPAGE:CD																								
Traveller's Mount			TYPE:Divine	CLASSES:Blackguard=1|Druid=1|Paladin=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal or magical beast touched		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creature moves faster but can't attack	SOURCEPAGE:CD								
#True Creation			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, XP	CASTTIME:10 minutes	RANGE:0 ft.	TARGETAREA:Unattended, nonmagical object of nonliving matter, up to 1 cu. ft./level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:As Major Creation, but permanent	SOURCEPAGE:CD			XPCOST:1					
True Creation.MOD	DESC:As Major Creation, but permanent	SOURCEPAGE:CD
True Domination			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid of medium size or smaller		DURATION:1 day/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Dominate Person, but save at -4	SOURCEPAGE:CD								
Unbinding			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:180 ft.	TARGETAREA:180-ft-radius burst, centered on you		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Frees everyone in range from spells that constrain or bind	SOURCEPAGE:CD								
Unyelding Roots			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Creature grow roots that keep it stationary and heal it every round	SOURCEPAGE:CD								
Vigor (CD)	OUTPUTNAME:Vigor		TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 rounds + 1 round/level (max 25 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Lesser Vigor, but 2 hp/round (max 25 rounds)	SOURCEPAGE:CD								
Vigor (CD) (Greater)	OUTPUTNAME:Vigor, Greater		TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 rounds + 1 round/level (max 35 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Lesser Vigor, but 4 hp/round (max 40 rounds)	SOURCEPAGE:CD								
Vigor (CD) (Lesser)	OUTPUTNAME:Vigor, Lesser		TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 rounds + 1 round/level (max 15 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creature heals 1 hp/round (max 15 rounds)	SOURCEPAGE:CD								
Vigor (CD) (Mass Lesser)	OUTPUTNAME:Vigor, Mass Lesser		TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:10 rounds + 1 round/level (max 25 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Lesser Vigor, but multiple targets (max 25 rounds)	SOURCEPAGE:CD								
Vigorous Circle			TYPE:Divine	CLASSES:Cleric=6|Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:10 rounds + 1 round/level (max 40 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Mass Lesser Vigor except 3 hp/round (max 40 rounds)	SOURCEPAGE:CD								
Visage of the Deity			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Transmutation		DESCRIPTOR:Evil|Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Visage of the Deity, but you become Celestial or Fiendish	SOURCEPAGE:CD								
Visage of the Deity (Greater)	OUTPUTNAME:Visage of the Deity, Greater		TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Transmutation		DESCRIPTOR:Evil|Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Visage of the Deity, but you become Half-Celestial or Half-Fiendish	SOURCEPAGE:CD								
Visage of the Deity (Lesser)	OUTPUTNAME:Visage of the Deity, Lesser		TYPE:Divine	CLASSES:Blackguard=4|Cleric=3|Paladin=4		SCHOOL:Transmutation		DESCRIPTOR:Evil|Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +4 CHA and resistance 10 to certain energy types	SOURCEPAGE:CD								
Waterspout			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:A cylinder 10 ft wide and 80 ft tall		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Waterspout causes water to rise up into a whirling, cylindrical column	SOURCEPAGE:CD								
Wave of Grief			TYPE:Divine	CLASSES:Bard=2|Blackguard=2|Cleric=2		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Cone impose -3 penalty on attacks, checks and saves	SOURCEPAGE:CD								
Weapon of Deity			TYPE:Divine	CLASSES:Blackguard=4|Cleric=4|Paladin=4		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One weapon you hold		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your weapon gains enhancement bonus and special ability	SOURCEPAGE:CD								
Weather Eye			TYPE:Divine	CLASSES:Cleric=4|Druid=3		SCHOOL:Divination			COMPS:V, S, M, DF	CASTTIME:1 hour	RANGE:1 mile radius + 1 mile/level	TARGETAREA:1 mile radius + 1 mile/level, centered on you		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You accurate predict weather up to one week ahead	SOURCEPAGE:CD								
Whirlwind (Greater)	OUTPUTNAME:Whirlwind, Greater		TYPE:Divine	CLASSES:Druid=9		SCHOOL:Evocation		DESCRIPTOR:Air	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius tornado, up to 5 ft/caster level tall, centered anywhere within range		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:As Whirlwind, but larger and more destructive	SOURCEPAGE:CD								
Winged Mount			TYPE:Divine	CLASSES:Blackguard=4|Paladin=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Your touched mount		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Your mount grows wings and flies at speed of 60 ft	SOURCEPAGE:CD								
Wood Woose			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One nature servant		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Nature spirit does simple tasks for you	SOURCEPAGE:CD								
Wrack			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Renders creature helpless with pain	SOURCEPAGE:CD								
Zeal			TYPE:Divine	CLASSES:Blackguard=2|Paladin=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You move through foes to attack the enemy you want	SOURCEPAGE:CD								
Zealot Pact			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Evocation			COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:Permanent until triggered, then 1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You automatically gain combat bonuses when you attack someone of opposite alignment	SOURCEPAGE:CD			XPCOST:500					
#Embrace the Wild																	DESC:You gains senses and skills of chosen animal
