SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																															
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Hooked Hammer of the Heartfire Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:+2 enhancement bonus and on a critical hit deals +%1d10 additional fire damage|CRITMULT-1|PRERACE:1,RACESUBTYPE=Gnome										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Map of Unseen Lands Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]																		SOURCEPAGE:CD	
Millennial Chainmail Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=4|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=7]	BONUS:VAR|FastHealing|3																	SOURCEPAGE:CD	
Morningstar of the Many Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Varying weapon qualities										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]																		SOURCEPAGE:CD	
Pipes of Frenzied Revelry Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]																		SOURCEPAGE:CD	
Rapier of Desperate Measures Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:+2 enhancement bonus when half-hitpoints, +1 cumulative enhancement bonus when one-quarter hit points and Vicious.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Rapier of Unerring Direction Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:ignore all miss chance (concealment, blink or other sources).										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Robe of Ebonsilk Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Continual Spiderclimb and Freedom of Movement effects.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]	BONUS:COMBAT|AC|8|TYPE=Armor	BONUS:CHECKS|Fortitude,Reflex,Will|4|TYPE=Resistance																SOURCEPAGE:CD	
Rod of Reversal Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:on command, automatically reflects the next 9 level of spells.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]									VFEAT:Improved Counterspell									SOURCEPAGE:CD	
Rod of Recluse Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Poison on succesful touch attack (2d6 STR damage, drain if critical) Fort DC 20										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Ruby Blade Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:continual Status effects. +4 level on rebuke/command undead										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]	BONUS:VAR|TurnLevelUndead|4	BONUS:VAR|TurnDamagePlusUndead|4																SOURCEPAGE:CD	
Scrolls of Uncertain Power Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Shard of the Sun Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Heightened Daylight. 3/day 4 beam of light (each beam deals 10d6 to undead, 5d6 to construct, 5d8 other and 10d8 to vulnerable to sunlight)										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Shield of the Resolute Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	ABILITY:Special Ability|VIRTUAL|Gaze	SAB:Gaze vs Goblinoid and Giants (Will CD 17 or shaken or frightned)									BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Shield of the Severed Hand Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Free bull-.rush  attempt and +4 bonus once per round when the shield is struck against a foe.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=4|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=7]																		SOURCEPAGE:CD	
Skewer of Gnomes Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:ready itself against a charge as free action.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Spear of Retribution Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Retributive damage (+2 to hit or +3 Keen)										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]																		SOURCEPAGE:CD	
Staff of the Unyelding Oak Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Changestaff.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Sword of Mighty Thews Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	ABILITY:Special Ability|VIRTUAL|Immunity To Frightful Presence	SAB:+4 luck bonus on Reflex saves against Dragon's Breath									BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Sword of Virtue Beyond Reproach Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:charms or compulsion are suppressed for 1d4 rounds (after a failed saves)										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Tabard of the Disembodied Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Ethereal Jaunt 10 rounds a day.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Tabard of the Great Crusade Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:+2 morale bonus on all saving throw in 20' radius. Once a day Heal another.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]									DR:5/Evil									SOURCEPAGE:CD	
Tome of Ancient Lore Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:90%% chance to find any spell every day. 										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]																		SOURCEPAGE:CD	
Tome of the Stilled Tongue Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
