SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																										
###Block: AB																												
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Fire Spiders			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:240 fiery spiders that cover a 20-ft radius spread		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Swarm of Fine fire elementals attacks the target.	SOURCEPAGE:MoF		COST:500								
Firebrand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 5-ft radius burst/level		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:One 5-ft burst/level deals 1d6 fire/level.	SOURCEPAGE:MoF										
Flame Dagger			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A daggerlike beam		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:As Flame Blade, but 1d4 +1/level.	SOURCEPAGE:MoF										
Force Ladder			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One ladder of force up to 60-ft long		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creates a movvable ladder of force.	SOURCEPAGE:MoF										
Forceward			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 full round	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creates sphere that prevents intrusion.	SOURCEPAGE:MoF										
Forcewave			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Wave of force affecting one creature		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Deals 1d4+1 damage plus bull rush.	SOURCEPAGE:MoF										
Fortunate Fate			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level or until discharged	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Target immediately receive a Heal if killed by damage.	SOURCEPAGE:MoF										
G'Elsewhere Chant			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Transmutation	SUBSCHOOL:Teleportation	DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or object		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Teleport target to random safe place within 100 ft.	SOURCEPAGE:MoF										
Gedlee's Electric Loop			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half (see text)	SPELLRES:Yes	DESC:5-ft radius burst deals 1d6 electricity/2 levels plus stunning.	SOURCEPAGE:MoF										
Gemjump			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Unlimited	TARGETAREA:You and objects and willing creatures totaling up to 50 lbs/level		DURATION:Until triggered	SAVEINFO:See text	SPELLRES:See Text	DESC:Teleport to the location of a specially prepared gem.	SOURCEPAGE:MoF										
General of Undeath			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:Increases your maximum HD of controlled undead by 10 times your level.	SOURCEPAGE:MoF										
Ghorus Toth's Metal Melt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Metal object weighting up to 5 lb/level		DURATION:1 round	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Melts metal object without heat.	SOURCEPAGE:MoF										
Ghostharp			TYPE:Arcane	CLASSES:Bard=0		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Any object		DURATION:5 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Object records, plays a song at your comand.	SOURCEPAGE:MoF										
Glory of the Martyr			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Abjuration			COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Shield Other, but affecting multiple creatures and healing them if you die.	SOURCEPAGE:MoF										
Thunderclap (Great)	OUTPUTNAME:Thunderclap, Great		TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft radius spread		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Loud noise causes stunning, deafness and knocks prone in a large area.	SOURCEPAGE:MoF										
Gutsnake			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One magical snakelike tentacle		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:15-ft tentacle grows from your stomach and attacks your enemies.	SOURCEPAGE:MoF										
Hand of Divinity		VARIANTS:Good|Evil	TYPE:Divine	CLASSES:Blackguard=2|Cleric=2|Paladin=2		SCHOOL:Evocation		DESCRIPTOR:See text	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:Gives +2 sacred or profane bonus on worshiper of your patron.	SOURCEPAGE:MoF										
Hand of Torm			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:See text	COMPS:V, S, DF	CASTTIME:1 minute	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you		DURATION:1 hour/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Immobile zone of warding stuns those of different patrons.	SOURCEPAGE:MoF										
Handfire			TYPE:Divine	CLASSES:Druid=1|Harper Scout=1|Ranger=1		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Your hand glows and can make a touch attack dealing 1d4 +1/level, more against undead.	SOURCEPAGE:MoF										
Hardening			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One item of a volume no greater than 10 cu.ft/level.		DURATION:Permanent	SAVEINFO:None (object)	SPELLRES:No	DESC:Increases target object's hardness by 1/2 caster levels.	SOURCEPAGE:MoF										
Harmony			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Increases inspire courage ability to +4/+2.	SOURCEPAGE:MoF										
Haunting Tune			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:1 target/level		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:1 target/level becomes shaken.	SOURCEPAGE:MoF										
Healing Sting			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one living creature		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Touch deals 1d6 +1/2 levels; caster gains damage as HP.	SOURCEPAGE:MoF										
Healing Touch			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:You take up to 1d6/2 levels and heal target that amount.	SOURCEPAGE:MoF										
Herald's Call			TYPE:Arcane	CLASSES:Bard=1|Harper Scout=1		SCHOOL:Enchantment			COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft radius burst centered on you.		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Shout dazes those within 30-ft.	SOURCEPAGE:MoF										
Holy Star			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Protective star of energy		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Glowing light turns spells, gives a cover bonus to AC or shots beams of fire.	SOURCEPAGE:MoF										
Horizikaul's Boom			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target takes 1d4/2 levels sonic damage plus deafness.	SOURCEPAGE:MoF										
Horizikaul's Cough			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Target takes 1 point of sonic damage and is deafened 1 round.	SOURCEPAGE:MoF										
Horizikaul's Versatile Vibration			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Concentration, up to 1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Cone of sound deals damage or moves objects.	SOURCEPAGE:MoF										
Hunter's Mercy			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Your next hit with a bow automatically threatens a critical hit.	SOURCEPAGE:MoF										
Ice Dagger			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Dagger of ice		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Grenadelike weapon deals targer 1d4 cold damage per casterlevel, plus area damage.	SOURCEPAGE:MoF										
Igedrazaar's Miasma			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius burst		DURATION:1 round	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Cloud of fog deals 1d4 subdual damage/level.	SOURCEPAGE:MoF										
Inferno			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creature bursts into flames and suffers 2d6 fire damage per round.	SOURCEPAGE:MoF										
Infestation of Maggots			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/2 levels	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Maggotlike creatures deals 1d4 CON damage every round.	SOURCEPAGE:MoF										
Iron Bones			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Corporeal undead creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Corporeal undead gains +5 natural armor bonus.	SOURCEPAGE:MoF					TEMPBONUS:ANYPC|COMBAT|AC|5|TYPE=NaturalArmor					
Ironguard (Greater)	OUTPUTNAME:Ironguard, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject becomes immune to nonmagical metal with less than a +3 enhancement bonus.	SOURCEPAGE:MoF		COST:100								
Ironguts			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target gains +4 bonus on saving throws against poison.	SOURCEPAGE:MoF										
Jaws of the Wolf			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more created wolves		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:One carving/2 levels turns into a wiolf with SR 13 and frightful presence.	SOURCEPAGE:MoF										
Kaupaer's Skittish Nerves			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Target gains +5 bonus on initiative.	SOURCEPAGE:MoF										
Khelben's Suspended Silence			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One object		DURATION:See text	SAVEINFO:None (object)	SPELLRES:No	DESC:Object becomes programmed to create an area of silence at your command.	SOURCEPAGE:MoF		COST:50								
Kiss of the Vampire			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain vampirelike supernatural abilities, but are vulnerable to attacks that harm undead.	SOURCEPAGE:MoF										
Know Greatest Enemy			TYPE:Divine	CLASSES:Blackguard=3		SCHOOL:Divination			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Quarter circle emanating from you to the extreme of the range.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None; See Text	SPELLRES:Yes	DESC:Determines relative power level of creatures within the area.	SOURCEPAGE:MoF										
Know Protection			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Determine target's defenses.	SOURCEPAGE:MoF										
Know Vulnerabilities			TYPE:Arcane.Divine	CLASSES:Bard=4|Cleric=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Determine target's vulnerabilities and resistances.	SOURCEPAGE:MoF										
Laeral's Cutting Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your hand		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your hand gains a +2 enhancement bonus and is considered armed.	SOURCEPAGE:MoF										
Land Womb			TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one other creature/level		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You and one creature/level hide within the earth.	SOURCEPAGE:MoF										
Launch Bolt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One crossbow bolt in your possession		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Launches a crossbow bolt up to medium range.	SOURCEPAGE:MoF										
Launch Item			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One Fine item in your possession, weighting up to 10 lb		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Hurl fine item up to long range.	SOURCEPAGE:MoF										
Life Bolt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One ray/2 levels		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:1 ray/2 levels draws 1 hp from you tio deal 2d4 damage to undead.	SOURCEPAGE:MoF										
Living Prints			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You perceive tracks as if they had just been made.	SOURCEPAGE:MoF										
Low-Light Vision			TYPE:Arcane	CLASSES:Assassin=1|Harper Scout=1|Hathran=1|Ranger=1|Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See twice as far under current light.	SOURCEPAGE:MoF										
Loyal Vassal			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Lawful	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to one willing creature/3 levels touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ally gains +3 against mind-affecting effects and cannot be compelled to harm you.	SOURCEPAGE:MoF										
Lutzaen's Frequent Jaunt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and touched objects or other touched willing creatures		DURATION:1 round/2 levels	SAVEINFO:See text	SPELLRES:See Text	DESC:Teleports you short distance.	SOURCEPAGE:MoF										
Mace of Odo			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Mace of force		DURATION:1 round/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Force effect damages target or absorbs spell.	SOURCEPAGE:MoF										
Mage Hand (Greater)	OUTPUTNAME:Mage Hand, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One object or creature weigthing up to 10 pounds/level		DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Mage Hand, but medium range and 10 lbs/caster level.	SOURCEPAGE:MoF										
Master Air			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You sprout insubstantial wings and can fly.	SOURCEPAGE:MoF										
Master Earth			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Travel through the earth to any location.	SOURCEPAGE:MoF										
Maw of Chaos			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation.		DURATION:1 round/level	SAVEINFO:Will half; See text	SPELLRES:Yes	DESC:Area of energy damages creatures and disrupt concentration.	SOURCEPAGE:MoF										
Memory Rot			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Spores deal 1d6 Int drain to target, plus 1 Int/round.	SOURCEPAGE:MoF										
Mestil's Acid Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Cone of acid deals 1d6 damage/level.	SOURCEPAGE:MoF										
Mestil's Acid Sheath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Sheat of acid daages those who attack you, lets you make touch attacks.	SOURCEPAGE:MoF										
Monstrous Regeneration			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round/2 levels	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:Grants the regeneration ability for 1 round/2 levels.	SOURCEPAGE:MoF										
Murderous Mist			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cloud that spread in 30-ft radius, 20-ft high.		DURATION:1 round/level	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Cloud of steam deals 2d6 damage and causes blindness and inflicts 1d6/round thereafter.	SOURCEPAGE:MoF										
Mystic Lash			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Electricity|Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Electric Whip		DURATION:1 round/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Ranged touch attack deals 1d8 +1/2 levels electricity damage, plus stunning.	SOURCEPAGE:MoF										
Nature's Balance			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:You transfer 1d4+1 ability score points to the target for 1 hour/level.	SOURCEPAGE:MoF										
Naturewatch			TYPE:Divine	CLASSES:Druid=0|Hathran=0|Ranger=1		SCHOOL:Necromancy			COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Quarter circle emanating from you to the extreme of the range.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As Deathwatch, but only for animals and plants.	SOURCEPAGE:MoF										
Net of Shadows			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Illusion	SUBSCHOOL:Shadow	DESCRIPTOR:Darkness	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/levels, no two of which can be more than 25-ft apart		DURATION:3 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Ordinary shadows that provide concealment to all in the area.	SOURCEPAGE:MoF										
Nightmare Lullaby			TYPE:Arcane	CLASSES:Bard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:One creature		DURATION:Concentration + 2 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target is confused as long as you concentrate +2 rounds.	SOURCEPAGE:MoF										
Nybor's Gentle Reminder			TYPE:Arcane			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:2 rounds	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target is dazed 1 round, -1 on attacks, saves and checks and the next +2 STR.	SOURCEPAGE:MoF										
Nybor's Mild Admonishment			TYPE:Arcane			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target is dazed 1d4 round, -1 on attacks, saves and checks and the next +2 STR.	SOURCEPAGE:MoF										
Nybor's Stern Reproof			TYPE:Arcane			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:As Nybor's Mild Admonishment but target must save or die.	SOURCEPAGE:MoF										
Nybor's Wrathful Castigation			TYPE:Arcane			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Target dies or may be dazed and -4 on all saves for 1 round/level.	SOURCEPAGE:MoF										
One with the Land			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Link with nature gives a +2 bonus on nature-realted skill checks.	SOURCEPAGE:MoF										
Owl's Insight			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Subject gains 1d4+1 Wis for 1 hour/level.	SOURCEPAGE:MoF										
