SOURCELONG:Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net																																
#																																		
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define				BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:	
Giant Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Rock Catching ~ Giant Shared|Rock Throwing ~ Giant Shared													SOURCEPAGE:MM	
#Guardinal																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Guardinal Traits|PRERACE:1,RACESUBTYPE=Guardinal																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Guardinal|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Guardinal]																																	
Guardinal Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:+4 racial bonus on saving throws against poison.	KEY:Traits Output ~ Guardinal																												SOURCEPAGE:MM	
Guardinal Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:ColdResistanceBonus|10	DEFINE:SonicResistanceBonus|10			BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial							ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Petrification|Resistance To Cold|Resistance To Sonic|Lay on Hands|Speak with Animals|Vision ~ Low-Light|Resistance To Poison		AUTO:LANG|Celestial|Infernal|Draconic											SOURCEPAGE:MM	
#Hag																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Hag Traits|PRERACE:1,RACESUBTYPE=Hag																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Hag|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Hag]																																	
Hag Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Hag																												SOURCEPAGE:MM	
Hag Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																				AUTO:LANG|Giant|Common											SOURCEPAGE:MM	
#Hell Hound																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Hell Hound Traits|PRERACE:1,RACESUBTYPE=Hell Hound																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Hell Hound|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Hell Hound]																																	
Hell Hound Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Hell Hound																												SOURCEPAGE:MM	
Hell Hound Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:BreathWeaponCone|10	DEFINE:BreathWeaponDice|2	DEFINE:BreathWeaponDamageDie|4	DEFINE:BreathWeaponDC|10+(HD/2)+CON									ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fire|Skills ~ Hell Hound|Immunity To Fire|Scent|Vulnerability To Cold	ABILITY:Special Ability|AUTOMATIC|Fiery Bite ~ Hell Hound|PRESIZEEQ:M	AUTO:LANG|Infernal	ABILITY:Special Ability|AUTOMATIC|Fiery Bite Large ~ Hell Hound|PRESIZEEQ:L	ABILITY:Special Ability|AUTOMATIC|Fiery Bite Huge ~ Hell Hound|PRESIZEEQ:H									SOURCEPAGE:MM	
#Imp																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Imp Traits|PRERACE:1,RACESUBTYPE=Imp																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Imp|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Imp]																																	
Imp Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Imp																												SOURCEPAGE:FFo	
Imp Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Alternate Form|Fast Healing|See in Darkness													SOURCEPAGE:FFo	
#Inevitable																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Inevitable Traits|PRERACE:1,RACESUBTYPE=Inevitable																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Inevitable|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Inevitable]																																	
Inevitable Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Inevitable																												SOURCEPAGE:FFo	
Inevitable Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Fast Healing		AUTO:LANG|Abyssal|Celestial|Infernal	LANGBONUS:ALL										SOURCEPAGE:FFo	
#Kaorti																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Kaorti Traits|PRERACE:1,RACESUBTYPE=Kaorti																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Kaorti|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Kaorti]																																	
Kaorti Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Kaorti																												SOURCEPAGE:FFo	
Kaorti Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|DarkvisionRange|60|TYPE=Base			BONUS:SKILL|Heal|8|TYPE=Racial					ABILITY:Special Ability|AUTOMATIC|Fast Healing		AUTO:LANG|Abyssal|Celestial|Infernal	LANGBONUS:ALL										SOURCEPAGE:FFo	
#Kython																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Kython Traits|PRERACE:1,RACESUBTYPE=Kython																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Kython|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Kython]																																	
Kython Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Kython																												SOURCEPAGE:BoVD	
Kython Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:FireResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20			BONUS:VAR|BlindsightRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Resistance To Fire|Immunity To Electricity	ABILITY:Special Ability|AUTOMATIC|Kython Weaponry|!PRERACE:1,Kython (Bloodling)	AUTO:WEAPONPROF|TYPE=Kython	AUTO:ARMORPROF|ARMORTYPE=Kython										SOURCEPAGE:BoVD	
#Landwyrm																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Landwyrm Traits|PRERACE:1,RACESUBTYPE=Landwyrm																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Landwyrm|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Landwyrm]																																	
Landwyrm Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Landwyrm																												SOURCEPAGE:Drac	
Landwyrm Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																															SOURCEPAGE:Drac	
#Linnorm																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Linnorm Traits|PRERACE:1,RACESUBTYPE=Linnorm																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Linnorm|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Linnorm]																																	
Linnorm Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Linnorm																												SOURCEPAGE:MM2	
Linnorm Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|BlindsightRange|60|TYPE=Base	BONUS:VAR|DarkvisionRange|120|TYPE=Base							ABILITY:Special Ability|AUTOMATIC|Keen Senses|Immunity To Sleep|Immunity To Paralysis		AUTO:LANG|Draconic|Abyssal											SOURCEPAGE:MM2	
#Living Construct																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Living Construct Traits|PRERACE:1,RACESUBTYPE=Living Construct																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Living Construct|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Living Construct]																																	
Living Construct Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Living Construct do not eat/sleep/breathe but benefit from the effect of consumable spells and magic item. Living Constructs are Immune to poison/ sleep effects/ paralysis/ disease/ nausea/ fatigue/ exhaustion/ and necromancy effects.	KEY:Traits Output ~ Living Construct																												SOURCEPAGE:MM3	
Living Construct Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINESTAT:UNLOCK|CON				BONUS:HP|CURRENTMAX|-1*max(SIZE-2,0)*10	BONUS:HP|CURRENTMAX|-1*max(SIZE-6,0)*10							ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Disease|Immunity To Exhaustion|Immunity To Fatigue|Immunity To Nausea|Immunity To Necromantic Effetcs													SOURCEPAGE:MM3	
#Mongrelman																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Mongrelman Traits|PRERACE:1,RACESUBTYPE=Mongrelman																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Mongrelman|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Mongrelman]																																	
Mongrelman Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Mongrelman																												SOURCEPAGE:FFo	
Mongrelman Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility													BONUS:SKILL|Hide,Sleight of Hand|8|TYPE=Racial					ABILITY:Special Ability|AUTOMATIC|Skills ~ Mongrelman		AUTO:LANG|Pidgin											SOURCEPAGE:FFo	
Skills	CATEGORY:Special Ability	TYPE:SpecialQuality		DESC:+8 racial bonus on Hide and Sleight of Hand checks.	KEY:Skills ~ Mongrelman																												SOURCEPAGE:FFo	
#Myconid																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Myconid Traits|PRERACE:1,RACESUBTYPE=Myconid																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Myconid|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Myconid]																																	
Myconid Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Myconid															ABILITY:Special Ability|AUTOMATIC|Spores													SOURCEPAGE:MM2	
Myconid Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																															SOURCEPAGE:MM2	
#Neogi																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Neogi Traits|PRERACE:1,RACESUBTYPE=Neogi																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Neogi|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Neogi]																																	
Neogi Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Neogi																												SOURCEPAGE:MM2	
Neogi Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:SKILL|Climb,Jump|DEX-STR								ABILITY:Special Ability|AUTOMATIC|Poison|Immunity To All Mind Affecting Effects		AUTO:LANG|Common|Undercommon|Terran											SOURCEPAGE:MM2	
#Nerra																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Nerra Traits|PRERACE:1,RACESUBTYPE=Nerra																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Nerra|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Nerra]																																	
Nerra Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Nerra																												SOURCEPAGE:FFo	
Nerra Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Immunity To Gaze|Mirror Jump|Reflective Spell Resistance|Vulnerability To Sonic		AUTO:LANG|Common|Nerra											SOURCEPAGE:FFo	
#Orcwort																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Orcwort Traits|PRERACE:1,RACESUBTYPE=Orcwort																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Orcwort|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Orcwort]																																	
Orcwort Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Orcwort																												SOURCEPAGE:MM2	
Orcwort Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Woodsense													SOURCEPAGE:MM2	
#Phaerimm																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Phaerimm Traits|PRERACE:1,RACESUBTYPE=Phaerimm																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Phaerimm|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Phaerimm]																																	
Phaerimm Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Phaerimm																												SOURCEPAGE:PGtF	
Phaerimm Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																															SOURCEPAGE:PGtF	
#Piaga Funesta																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Piaga Funesta Traits|PRERACE:1,RACESUBTYPE=Piaga Funesta																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Piaga Funesta|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Piaga Funesta]																																	
Piaga Funesta Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Piaga Funesta																												SOURCEPAGE:Nep	
Piaga Funesta Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|BlindsightRange|150|TYPE=Base	BONUS:VAR|FastHealing|20							ABILITY:Special Ability|AUTOMATIC|Piaga Funesta Nondetection|Atavic Terror|Immunity To Polymorph|True Seeing|Fast Healing													SOURCEPAGE:Nep	
#Psurlon																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Psurlon Traits|PRERACE:1,RACESUBTYPE=Psurlon																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Psurlon|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Psurlon]																																	
Psurlon Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Psurlon																												SOURCEPAGE:MM2	
Psurlon Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|BlindsightRange|60|TYPE=Base	BONUS:VAR|DarkvisionRange|120|TYPE=Base	BONUS:VAR|TelepathyRange|250	BONUS:SKILL|Escape Artist|4|TYPE=Racial					ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Charm Effects|Immunity To Compulsion Effects|Telepathy		AUTO:LANG|Undercommon|Telepathy											SOURCEPAGE:MM2	
#Raggamoffyn																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Raggamoffyn Traits|PRERACE:1,RACESUBTYPE=Raggamoffyn																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Raggamoffyn|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Raggamoffyn]																																	
Raggamoffyn Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Raggamoffyn																												SOURCEPAGE:MM2	
Raggamoffyn Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Control Host|Improved Grab|Wrap													SOURCEPAGE:MM2	
#Rilmani																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Rilmani Traits|PRERACE:1,RACESUBTYPE=Rilmani																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Rilmani|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Rilmani]																																	
Rilmani Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Rilmani																												SOURCEPAGE:FFo	
Rilmani Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|20	DEFINE:SonicResistanceBonus|20	DEFINE:RilmaniCasterLVL|0										ABILITY:Special Ability|AUTOMATIC|Change Shape|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Sonic	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RilmaniCasterLVL|Comprehend Languages|Detect Chaos|Detect Evil|Detect Good|Detect Law|Detect Magic|Detect Thoughts,12+CHA|Feather Fall,11+CHA|Sanctuary|Tongues												SOURCEPAGE:FFo	
#Rothe																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Rothe Traits|PRERACE:1,RACESUBTYPE=Rothe																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Rothe|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Rothe]																																	
Rothe Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Rothe																												SOURCEPAGE:PGtF	
Rothe Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Stampede|Resistance To Enchantment													SOURCEPAGE:PGtF	
#Salamander																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Salamander Traits|PRERACE:1,RACESUBTYPE=Salamander																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Salamander|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Salamander]																																	
Salamander Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Salamander																												SOURCEPAGE:MM	
Salamander Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:SKILL|Craft (Blacksmithing)|4|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Constrict ~ Salamander|Heat ~ Salamander|Improved Grab ~ Salamander		AUTO:LANG|Ignan	AUTO:FEAT|Multiattack										SOURCEPAGE:MM	
#Sarkrith																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Sarkrith Traits|PRERACE:1,RACESUBTYPE=Sarkrith																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Sarkrith|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Sarkrith]																																	
Sarkrith Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Sarkrith																												SOURCEPAGE:FFo	
Sarkrith Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:MaskScentPerDay|1												ABILITY:Special Ability|AUTOMATIC|Mask Scent|Scent													SOURCEPAGE:FFo	
#Slaad																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Slaad Traits|PRERACE:1,RACESUBTYPE=Slaad																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Slaad|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Slaad]																																	
Slaad Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Slaad																												SOURCEPAGE:MM	
Slaad Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|5	DEFINE:ColdResistanceBonus|5	DEFINE:ElectricityResistanceBonus|5	DEFINE:FireResistanceBonus|5									ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Immunity To Sonic		AUTO:LANG|Slaad											SOURCEPAGE:MM	
#Tanar'ri																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Tanar'ri Traits|PRERACE:1,RACESUBTYPE=Tanar'ri																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Tanar'ri|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Tanar'ri]																																	
Tanar'ri Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Tanar'ri																												SOURCEPAGE:MM	
Tanar'ri Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10	DEFINE:TelepathyRange|30	BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Cold|Resistance To Fire|Telepathy	ABILITY:Special Ability|AUTOMATIC|Vision ~ Low-Light	AUTO:LANG|Abyssal|Celestial|Draconic											SOURCEPAGE:MM	
#Varrangoin																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Varrangoin Traits|PRERACE:1,RACESUBTYPE=Varrangoin																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Varrangoin|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Varrangoin]																																	
Varrangoin Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Varrangoin																												SOURCEPAGE:FFo	
Varrangoin Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:FireResistanceBonus|10									ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Vulnerability To Sunlight													SOURCEPAGE:FFo	
#Yuan-Ti																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti Traits|PRERACE:1,RACESUBTYPE=Yuan-Ti																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Yuan-Ti|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Yuan-Ti]																																	
Yuan-Ti Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Yuan-Ti																												SOURCEPAGE:MM	
Yuan-Ti Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Alternate Form (Sp)|Detect Poison													SOURCEPAGE:MM	
#Yugoloth																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Yugoloth Traits|PRERACE:1,RACESUBTYPE=Yugoloth																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Yugoloth|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Yugoloth]																																	
Yugoloth Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Yugoloth																												SOURCEPAGE:MM	
Yugoloth Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:FireResistanceBonus|10	DEFINE:ColdResistanceBonus|10			BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Fire|Resistance To Electricity|Immunity To Poison|Immunity To Acid		AUTO:LANG|Abyssal|Draconic|Infernal|Telepathy											SOURCEPAGE:MM	
																																		
## MountSubType																																		
#Mount																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Mount Traits|PRERACE:1,RACESUBTYPE=Mount																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Mount|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Mount]																																	
Mount Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Mount																												SOURCEPAGE:MM	
CATEGORY=Special Ability|Traits Output ~ Mount.MOD	DESC:Wild creature commonly found around the world.|PREABILITY:1,CATEGORY=Training Level,Wild																																
CATEGORY=Special Ability|Traits Output ~ Mount.MOD	DESC:The creature can sustain the presence of a rider, but it's cannot be reliable during a combat.|PREABILITY:1,CATEGORY=Training Level,Rideable																																
CATEGORY=Special Ability|Traits Output ~ Mount.MOD	DESC:The mount is trained to perform some simple tricks.|PREABILITY:1,CATEGORY=Training Level,Basic Training																																
CATEGORY=Special Ability|Traits Output ~ Mount.MOD	DESC:The mount can advance into mount classes.|PREABILITY:1,CATEGORY=Training Level,Advanced Workout																																
Mount Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Training Level|AUTOMATIC|Wild													SOURCEPAGE:MM	
