SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10										
6				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Sunder Evil Item|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielSunderEvilItem									
10				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Holy Martial Strike|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielHolyMartialStrike									
#													
2	ADD:SPELLCASTER|Divine												
3	ADD:SPELLCASTER|Divine												
4	ADD:SPELLCASTER|Divine												
5	ADD:SPELLCASTER|Divine												
6	ADD:SPELLCASTER|Divine												
7	ADD:SPELLCASTER|Divine												
8	ADD:SPELLCASTER|Divine												
9	ADD:SPELLCASTER|Divine												
10	ADD:SPELLCASTER|Divine												
													
CLASS:Initiate of Pistis Sophia	HD:8	TYPE:PC.Prestige	ABB:Ips	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	CLASSTYPE:Prestige	ROLE:Skill	DEFINE:InitiateOfPistisSophiaLVL|0	BONUS:VAR|InitiateOfPistisSophiaLVL|CL
CLASS:Initiate of Pistis Sophia	PREALIGN:LG	PRECHECKBASE:3,Fortitude=5,Reflex=5,Will=5	PRESKILL:1,Concentration=9	PREABILITY:3,CATEGORY=FEAT,Sacred Vow,Sanctify Ki Strike,Servant of the Heavens									
CLASS:Initiate of Pistis Sophia	STARTSKILLPTS:4	CSKILL:Balance|Climb|Concentration|TYPE=Craft|Diplomacy|Escape Artist|Hide|Jump|Knowledge (The Planes)|Knowledge (Religion)|Listen|Move Silently|TYPE=Perform|TYPE=Profession|Sense Motive|Spot|Swim|Tumble											
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaProficiencies									
#													
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Fist of the Heavens|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisFistOfTheHeavens									
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Monk Abilities|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisMonkAbilities									
2				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisDetectEvil									
2				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Smite Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSmiteEvil									
3				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Uncanny Dodge|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaUncannyDodge									
4				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Electricity Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaElectricityResistance									
4				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Sacred Vow|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaSacredVow									
6				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Improved Uncanny Dodge|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaUncannyDodge									
9				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Improved Evasion|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaImprovedEvasion									
10				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Celestial Transformation|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaCelestialTransformation									
													
CLASS:Lion of Talsid	HD:8	TYPE:PC.Prestige	ABB:LoT	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	CLASSTYPE:Prestige	ROLE:Skill	DEFINE:LionOfTalsidLVL|0	BONUS:VAR|LionOfTalsidLVL|CL
CLASS:Lion of Talsid	PREALIGN:NG	PREATT:4	PRESKILL:2,Knowledge (Nature)=9,Survival=9	PREABILITY:1,CATEGORY=FEAT,Favored of the Companions	PRESPELL:1,Summon Nature's Ally II	PREABILITY:1,CATEGORY=Internal,Animal Companion							
CLASS:Lion of Talsid	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Listen|Knowledge (Nature)|Ride|Spellcraft|Spot|Survival|Swim											
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidProficiencies									
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Spells per Day									
#													
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Animal Companion|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidAnimalCompanion									
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Lion's Courage|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidLionSCourage									
