SOURCELONG:Lord of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
Gibbering Mouther (LoM)			STARTFEATS:1	SIZE:M	MOVE:Walk,10,Swim,20	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|4|TYPE=Racial					BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot|Swim									LEGS:0	HANDS:0	AUTO:WEAPONPROF|Spittle	AUTO:EQUIP|Spittle		NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*6,1		ABILITY:Special Ability|AUTOMATIC|Blood Drain|Gibbering|Ground Manipulation|Improved Grab|Spittle|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Amorphous			ABILITY:Special Ability|AUTOMATIC|Gibbering Mouther Skills			DR:5/Bludgeoning		MONSTERCLASS:Aberration:4	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:4,12		CR:5	SOURCEPAGE:LoM							
Hound of the Gloom			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,20	FACE:10	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Undercommon|Gloom		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Listen,Spot|4|TYPE=Racial			BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|14		BONUS:STAT|WIS|6				MONCSKILL:Balance|Climb|Jump|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Tentacle Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Poison|Pounce	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Hound of the Gloom Skills					MONSTERCLASS:Aberration:12	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:14,36		CR:9	SOURCEPAGE:LoM							
Illithidae (Embrac)	OUTPUTNAME:Embrac		STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Darkvision (60')					BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Poison,*4,2d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Poison				ABILITY:Special Ability|AUTOMATIC|Embrac Skills					MONSTERCLASS:Aberration:11	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:16,33		CR:7	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Crushing Despair,14+CHA|Deep Slumber,13+CHA|Sound Burst,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=7|Displacement					
Illithidae (Kigrid)	OUTPUTNAME:Kigrid		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Undercommon		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Listen,Move Silently,Spot|4|TYPE=Racial	BONUS:SKILL|Jump,Survival|8|TYPE=Racial			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2				MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot|Survival									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Poison|Rake	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Aberration:9	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:15,27		CR:5	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=3|CASTERLEVEL=5|Blink|Daze Monster,12+CHA|Detect Thoughts,12+CHA						
Illithidae (Saltor)	OUTPUTNAME:Saltor		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Climb,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Undercommon		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump,Spot|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial		BONUS:SKILL|Climb,Jump|DEX-STR	BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2				MONCSKILL:Climb|Jump|Listen|Spot|Tumble									LEGS:4	HANDS:0	AUTO:WEAPONPROF|Handaxe	AUTO:EQUIP|Handaxe		NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Screech				ABILITY:Special Ability|AUTOMATIC|Saltor Skills					MONSTERCLASS:Aberration:5	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration						CR:3	SOURCEPAGE:LoM							
#Mind Flayer		FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Undercommon|Telepathy	LANGBONUS:Abyssal,Aquan,Draconic,Dwarven,Elven,Gnome,Infernal,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Disguise (Act in character)|2|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4			ABILITY:Special Ability|AUTOMATIC|Mind Blast (Sp)|Improved Grab|Extract|Telepathy					SR:25			MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration	TEMPLATE:Aberration					LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Charm Monster,14+CHA|Detect Thoughts,12+CHA|Levitate|Plane Shift|Suggestion,13+CHA	BONUS:MISC|SR|TL-HD	DEFINE:TelepathyRange|100				
Mind Flayer (Ulitharid)	OUTPUTNAME:Mind Flayer, Ulitharid		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5				AUTO:LANG|Telepathy		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Long Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Short Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Extract|Improved Grab|Mind Blast (Sp)						SR:27			MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration	TEMPLATE:Aberration					LEVELADJUSTMENT:9	CR:12	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Charm Monster,14+CHA|Detect Thoughts,12+CHA|Dimension Door|Levitate|Mage Armor|Plane Shift|Suggestion,13+CHA	DEFINE:TelepathyRange|200	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Dominate Monster,19+CHA|Suggestion (Mass),16+CHA				
Mind Flayer (Ulitharid/Psionic)	OUTPUTNAME:Mind Flayer, Psionic Ulitharid		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5				AUTO:LANG|Telepathy		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Autohypnosis|Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Psionics)|Listen|Move Silently|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Long Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Short Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Extract|Improved Grab|Mind Blast (Sp)						SR:27			MONSTERCLASS:Mind Flayer ~ Psionic Ulitharid:12	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration	TEMPLATE:Aberration					LEVELADJUSTMENT:9	CR:12	SOURCEPAGE:LoM		DEFINE:TelepathyRange|200					
Mind Flayer (Vampire)	OUTPUTNAME:Mind Flayer, Vampire		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Climb,20	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|12		BONUS:STAT|INT|-4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Search|Sense Motive|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4|Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Mind Flayer Vampire|Energy Drain|Extract|Improved Grab|Mind Blast (Sp)	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Resistance To Cold|Resistance To Electricity|Turn Resistance					SR:25	DR:10/Magic and Silver		MONSTERCLASS:Undead:8	RACETYPE:Undead	RACESUBTYPE:Mind Flayer|Vampire	TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:24		CR:9	SOURCEPAGE:LoM		BONUS:VAR|EnergyDrainLevels|1	BONUS:VAR|FastHealing|5	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|ElectricityResistanceBonus|10	DEFINE:TelepathyRange|100	BONUS:VAR|TurnResistBonus|4
Psurlon (Average)	OUTPUTNAME:[NAME] Psurlon		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Arcana)|Knowledge (Dungeoneering)|Listen|Sense Motive|Spellcraft|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:14	DR:10/Magic		MONSTERCLASS:Aberration:7	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:11	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Detect Thoughts,12+CHA|Mage Armor|Sound Burst,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Hold Monster,15+CHA|Invisibility|Lightning Bolt,13+CHA|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=7|Dimension Door				
Psurlon (Elder)	OUTPUTNAME:[NAME] Psurlon	FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Arcana)|Knowledge (Dungeoneering)|Listen|Sense Motive|Spellcraft|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:19	DR:10/Magic		MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon					LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Detect Thoughts,12+CHA|Mage Armor|Sound Burst,12+CHA|Suggestion,13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Dimension Door|Hold Monster,15+CHA|Invisibility|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Chain Lightning,16+CHA|Dominate Person,15+CHA|Suggestion (Mass),16+CHA				
Psurlon (Elder/Failed)	OUTPUTNAME:Elder Psurlon (Failed)		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Arcana)|Knowledge (Dungeoneering)|Listen|Sense Motive|Spellcraft|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:14	DR:10/Magic		MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:17	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Detect Thoughts,12+CHA|Mage Armor|Sound Burst,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Hold Monster,15+CHA|Invisibility|Lightning Bolt,13+CHA|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Dimension Door				
Psurlon (Giant)	OUTPUTNAME:[NAME] Psurlon		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|13	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Arcana)|Knowledge (Dungeoneering)|Listen|Sense Motive|Spellcraft|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6								SR:19	DR:15/Magic		MONSTERCLASS:Aberration:18	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:27,36		CR:11	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Detect Thoughts,12+CHA|Mage Armor|Sound Burst,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Hold Monster,15+CHA|Invisibility|Lightning Bolt,13+CHA|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Dimension Door				
Psurlon (Average/Psionic)	OUTPUTNAME:Average Psurlon (Psionic)		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Psionics)|Knowledge (Dungeoneering)|Listen|Psicraft|Sense Motive|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:14	DR:10/Magic		MONSTERCLASS:Aberration:7	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:11	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Concussion Blast|Inertial Armor|Read Thoughts,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Brain Lock,12+CHA|Cloud Mind,12+CHA|Energy Bolt,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=7|Dimension Door (Psionic)|Telekinetic Maneuver|Telekinetic Thrust,13+CHA				
Psurlon (Elder/Psioni)	OUTPUTNAME:Elder Psurlon (Psionic)	FAVCLASS:Psion.Telepath	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Psionics)|Knowledge (Dungeoneering)|Listen|Psicraft|Sense Motive|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:19	DR:10/Magic		MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon					LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Concussion Blast|Inertial Armor|Suggestion (Psionic),12+CHA|Read Thoughts,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Brain Lock,12+CHA|Cloud Mind,12+CHA|Dimension Door (Psionic)	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Energy Bolt,16+CHA|Dominate (Psionic),16+CHA|Suggestion (Psionic),12+CHA|Telekinetic Maneuver|Telekinetic Thrust,13+CHA				
Psurlon (Elder/Failed/Psionic)	OUTPUTNAME:Elder Psurlon (Failed, Psionic)		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon								BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Psionics)|Knowledge (Dungeoneering)|Listen|Psicraft|Sense Motive|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:14	DR:10/Magic		MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:17	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Concussion Blast|Inertial Armor|Read Thoughts,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Brain Lock,12+CHA|Cloud Mind,12+CHA|Energy Bolt,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Dimension Door (Psionic)|Telekinetic Maneuver|Telekinetic Thrust,13+CHA				
Psurlon (Giant/Psionic)	OUTPUTNAME:Giant Psurlon (Psionic)		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Blindsight (60')|Darkvision (120')			AUTO:LANG|Undercommon		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|13	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Heal|Intimidate|Knowledge (Psionics)|Knowledge (Dungeoneering)|Listen|Psicraft|Sense Motive|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6								SR:19	DR:15/Magic		MONSTERCLASS:Aberration:18	RACETYPE:Aberration	RACESUBTYPE:Psurlon	TYPE:Aberration	TEMPLATE:Aberration|Psurlon				HITDICEADVANCEMENT:27,36		CR:11	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Concussion Blast|Inertial Armor|Read Thoughts,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Brain Lock,12+CHA|Cloud Mind,12+CHA|Energy Bolt,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Dimension Door (Psionic)|Telekinetic Maneuver|Telekinetic Thrust,13+CHA				
Shaboath				SIZE:L	MOVE:Walk,20,Swim,30	FACE:10	REACH:10	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10												LEGS:0	HANDS:4				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*4,2d10		ABILITY:Special Ability|AUTOMATIC|Engulf|Improved Grab|Wall of Ice (Su/minute)	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Vulnerability To Fire|Watery Concealment						DR:10/-		MONSTERCLASS:Construct:11	RACETYPE:Construct	RACESUBTYPE:Cold	TYPE:Construct	TEMPLATE:Construct|Mindless		TEMPLATE:Cold		HITDICEADVANCEMENT:22,33		CR:10	SOURCEPAGE:LoM		DEFINE:WallOfIcePerMinute|1	DEFINE:WallOfIceLVL|20				
Silthilar				SIZE:F	MOVE:Walk,20,Fly,40	FACE:10	REACH:0	VISION:Low-Light											BONUS:STAT|STR|-10	BONUS:STAT|DEX|10	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Diplomacy|Heal|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Infestation|Warp Flesh	ABILITY:Special Ability|AUTOMATIC|Coalesced Form|Immortality|Immunity To Disease				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:9	RACETYPE:Aberration	RACESUBTYPE:Swarm	TYPE:Aberration	TEMPLATE:Aberration|Mindless	TEMPLATE:Shapechanger|Swarm				LEVELADJUSTMENT:8	CR:7	SOURCEPAGE:LoM		DEFINE:Maneuverability|5					
Urophion			STARTFEATS:1	SIZE:L	MOVE:Walk,10	FACE:10	REACH:10	VISION:Darkvision (60')|Low-Light			AUTO:LANG|Telepathy		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Hide|Knowledge (Dungeoneering)|Listen|Spot									LEGS:0	HANDS:4	AUTO:WEAPONPROF|Spells(Ray)	AUTO:EQUIP|Urophion Strand|Urophion Strand|Urophion Strand|Urophion Strand		NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Drag|Extract|Mind Blast (Sp)|Strands|Weakness	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Resistance To Cold|Vulnerability To Fire			ABILITY:Special Ability|AUTOMATIC|Urophion Skills		SR:30			MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:24,36		CR:13	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Detect Thoughts,12+CHA|Suggestion,13+CHA	DEFINE:TelepathyRange|100	BONUS:VAR|ColdResistanceBonus|10				
