SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com												
														
# Equipment Name		Type	Cost	Weight	Source Page	Special Property	Desc	Bonus to skill		Contains				
Chives		TYPE:Goods.Trade.Resizable	COST:.02	WT:.06	SOURCEPAGE:AaEG									
Cinnamon		TYPE:Goods.Trade.Resizable	COST:1	WT:.06	SOURCEPAGE:AaEG									
Clary		TYPE:Goods.Trade.Resizable	COST:.08	WT:.06	SOURCEPAGE:AaEG									
Cloves		TYPE:Goods.Trade.Resizable	COST:20	WT:.06	SOURCEPAGE:AaEG									
Coriander		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Costmary		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Cubeb		TYPE:Goods.Trade.Resizable	COST:15	WT:.06	SOURCEPAGE:AaEG									
Cumin		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Dillweed		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Fennel Seed		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Fenugreek		TYPE:Goods.Trade.Resizable	COST:.3	WT:.06	SOURCEPAGE:AaEG									
Garlic		TYPE:Goods.Trade.Resizable	COST:.01	WT:.06	SOURCEPAGE:AaEG									
Ginger		TYPE:Goods.Trade.Resizable	COST:10	WT:.06	SOURCEPAGE:AaEG									
Horebound		TYPE:Goods.Trade.Resizable	COST:.04	WT:.06	SOURCEPAGE:AaEG									
Horseradish		TYPE:Goods.Trade.Resizable	COST:.01	WT:.06	SOURCEPAGE:AaEG									
Hyssop		TYPE:Goods.Trade.Resizable	COST:.05	WT:.06	SOURCEPAGE:AaEG									
Juniper		TYPE:Goods.Trade.Resizable	COST:.3	WT:.06	SOURCEPAGE:AaEG									
Laurel		TYPE:Goods.Trade.Resizable	COST:4	WT:.06	SOURCEPAGE:AaEG									
Lemon Balm		TYPE:Goods.Trade.Resizable	COST:.2	WT:.06	SOURCEPAGE:AaEG									
Liquorice Root		TYPE:Goods.Trade.Resizable	COST:.4	WT:.06	SOURCEPAGE:AaEG									
Lovage		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Mace		TYPE:Goods.Trade.Resizable	COST:25	WT:.06	SOURCEPAGE:AaEG									
Marjoram		TYPE:Goods.Trade.Resizable	COST:.05	WT:.06	SOURCEPAGE:AaEG									
Mint		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Mustard Seed		TYPE:Goods.Trade.Resizable	COST:.05	WT:.06	SOURCEPAGE:AaEG									
Nutmeg		TYPE:Goods.Trade.Resizable	COST:30	WT:.06	SOURCEPAGE:AaEG									
Oregano		TYPE:Goods.Trade.Resizable	COST:.2	WT:.06	SOURCEPAGE:AaEG									
Parsley		TYPE:Goods.Trade.Resizable	COST:.04	WT:.06	SOURCEPAGE:AaEG									
Pepper		TYPE:Goods.Trade.Resizable	COST:30	WT:.06	SOURCEPAGE:AaEG									
Poppy Seed		TYPE:Goods.Trade.Resizable	COST:8	WT:.06	SOURCEPAGE:AaEG									
Rose Hips		TYPE:Goods.Trade.Resizable	COST:5	WT:.06	SOURCEPAGE:AaEG									
Rosemary		TYPE:Goods.Trade.Resizable	COST:.5	WT:.06	SOURCEPAGE:AaEG									
Saffron		TYPE:Goods.Trade.Resizable	COST:65	WT:.06	SOURCEPAGE:AaEG									
Sage		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Salt		TYPE:Goods.Trade.Resizable	COST:.01	WT:.06	SOURCEPAGE:AaEG									
Sweet Cicely		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Tarragon		TYPE:Goods.Trade.Resizable	COST:1	WT:.06	SOURCEPAGE:AaEG									
Thyme		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Turmeric		TYPE:Goods.Trade.Resizable	COST:25	WT:.06	SOURCEPAGE:AaEG									
Woodruff		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
#Corns														
Barley		TYPE:Goods.Trade.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Buckwheat		TYPE:Goods.Trade.Resizable	COST:.5	WT:1	SOURCEPAGE:AaEG									
Chick Peas		TYPE:Goods.Trade.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Lentils		TYPE:Goods.Trade.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Millet		TYPE:Goods.Trade.Resizable	COST:.7	WT:1	SOURCEPAGE:AaEG									
Oats		TYPE:Goods.Trade.Resizable	COST:.7	WT:1	SOURCEPAGE:AaEG									
Rice		TYPE:Goods.Trade.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Rye		TYPE:Goods.Trade.Resizable	COST:.7	WT:1	SOURCEPAGE:AaEG									
Wheat		TYPE:Goods.Trade.Resizable	COST:.01	WT:1	SOURCEPAGE:AaEG									
#Flours														
Barley (Flours)		TYPE:Goods.Trade.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Buckwheat (Flours)		TYPE:Goods.Trade.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Rye (Flours)		TYPE:Goods.Trade.Resizable	COST:1.5	WT:1	SOURCEPAGE:AaEG									
Wheat (Flours)		TYPE:Goods.Trade.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
#Fruit														
Apples		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Apricots		TYPE:Goods.Food.Resizable	COST:15	WT:1	SOURCEPAGE:AaEG									
Carrots		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Cherries		TYPE:Goods.Food.Resizable	COST:.5	WT:1	SOURCEPAGE:AaEG									
Currants		TYPE:Goods.Food.Resizable	COST:.1	WT:1	SOURCEPAGE:AaEG									
Dates		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Elderberries		TYPE:Goods.Food.Resizable	COST:.1	WT:1	SOURCEPAGE:AaEG									
Figs		TYPE:Goods.Food.Resizable	COST:7	WT:1	SOURCEPAGE:AaEG									
Green Beans		TYPE:Goods.Food.Resizable	COST:.2	WT:1	SOURCEPAGE:AaEG									
Green Peas		TYPE:Goods.Food.Resizable	COST:.2	WT:1	SOURCEPAGE:AaEG									
Mushrooms		TYPE:Goods.Food.Resizable	COST:.2	WT:1	SOURCEPAGE:AaEG									
Onions		TYPE:Goods.Food.Resizable	COST:.5	WT:1	SOURCEPAGE:AaEG									
Peaches		TYPE:Goods.Food.Resizable	COST:15	WT:1	SOURCEPAGE:AaEG									
Pears		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Prunes		TYPE:Goods.Food.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Raisins		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Tomatoes		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
#Nuts														
Almonds		TYPE:Goods.Food.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Cashews		TYPE:Goods.Food.Resizable	COST:20	WT:1	SOURCEPAGE:AaEG									
Chestnut		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Hazenuts		TYPE:Goods.Food.Resizable	COST:.5	WT:1	SOURCEPAGE:AaEG									
Pine nuts		TYPE:Goods.Food.Resizable	COST:10	WT:1	SOURCEPAGE:AaEG									
Pistachios		TYPE:Goods.Food.Resizable	COST:15	WT:1	SOURCEPAGE:AaEG									
Walnuts		TYPE:Goods.Food.Resizable	COST:.3	WT:1	SOURCEPAGE:AaEG									
#Oils														
Olive oil		TYPE:Goods.Liquid	COST:5	WT:1	SOURCEPAGE:AaEG									
Almond Oil		TYPE:Goods.Liquid	COST:10	WT:1	SOURCEPAGE:AaEG									
Walnut Oil		TYPE:Goods.Liquid	COST:2	WT:1	SOURCEPAGE:AaEG									
Hazelnut Oil		TYPE:Goods.Liquid	COST:3	WT:1	SOURCEPAGE:AaEG									
Sesame Oil		TYPE:Goods.Liquid	COST:10	WT:1	SOURCEPAGE:AaEG									
Sunflower Oil		TYPE:Goods.Liquid	COST:.3	WT:1	SOURCEPAGE:AaEG									
Safflower Oil		TYPE:Goods.Liquid	COST:.2	WT:1	SOURCEPAGE:AaEG									
Rapeseed Oil		TYPE:Goods.Liquid	COST:.1	WT:1	SOURCEPAGE:AaEG									
#Meats														
Beef (Corned)		TYPE:Goods.Food.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Beef (Dried)		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Beef (Jerked)		TYPE:Goods.Food.Resizable	COST:7	WT:1	SOURCEPAGE:AaEG									
Beef (Sausage)		TYPE:Goods.Food.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Beef (Smocked)		TYPE:Goods.Food.Resizable	COST:4	WT:1	SOURCEPAGE:AaEG									
Buffalo (Dried)		TYPE:Goods.Food.Resizable	COST:30	WT:1	SOURCEPAGE:AaEG									
Buffalo (Jerked)		TYPE:Goods.Food.Resizable	COST:45	WT:1	SOURCEPAGE:AaEG									
Cod (Salted)		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Cod (Smocked)		TYPE:Goods.Food.Resizable	COST:7	WT:1	SOURCEPAGE:AaEG									
Herring (Pickled)		TYPE:Goods.Food.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Herring (Salted)		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Pork (Bacon)		TYPE:Goods.Food.Resizable	COST:4	WT:1	SOURCEPAGE:AaEG									
Pork (Ham)		TYPE:Goods.Food.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Pork (Salted)		TYPE:Goods.Food.Resizable	COST:3	WT:1	SOURCEPAGE:AaEG									
Pork (Sausage)		TYPE:Goods.Food.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Salmon (Salted)		TYPE:Goods.Food.Resizable	COST:10	WT:1	SOURCEPAGE:AaEG									
Salmon (Smocked)		TYPE:Goods.Food.Resizable	COST:15	WT:1	SOURCEPAGE:AaEG									
Sardines		TYPE:Goods.Food.Resizable	COST:4	WT:1	SOURCEPAGE:AaEG									
#Exotic														
Chillis		TYPE:Goods.Food.Resizable	COST:25	WT:1	SOURCEPAGE:AaEG									
Coffee		TYPE:Goods.Trade.Resizable	COST:50	WT:1	SOURCEPAGE:AaEG									
Coconut		TYPE:Goods.Food.Resizable	COST:50	WT:1	SOURCEPAGE:AaEG									
Hickory Nuts		TYPE:Goods.Food.Resizable	COST:200	WT:1	SOURCEPAGE:AaEG									
Lotus		TYPE:Goods.Trade.Resizable	COST:3334	WT:1	SOURCEPAGE:AaEG									
Maple Sugar		TYPE:Goods.Food.Resizable	COST:75	WT:1	SOURCEPAGE:AaEG									
Paprika		TYPE:Goods.Food.Resizable	COST:500	WT:1	SOURCEPAGE:AaEG									
Pimento		TYPE:Goods.Food.Resizable	COST:667	WT:1	SOURCEPAGE:AaEG									
Pineapple		TYPE:Goods.Food.Resizable	COST:150	WT:1	SOURCEPAGE:AaEG									
Sarsaparilla		TYPE:Goods.Food.Resizable	COST:167	WT:1	SOURCEPAGE:AaEG									
Tobacco		TYPE:Goods.Trade.Resizable	COST:.5	WT:1	SOURCEPAGE:AaEG									
Vanilla		TYPE:Goods.Food.Resizable	COST:1250	WT:1	SOURCEPAGE:AaEG									
Walnuts (Black)		TYPE:Goods.Food.Resizable	COST:100	WT:1	SOURCEPAGE:AaEG									
#Wines														
Frostwine		TYPE:Goods.Liquid.Food.Resizable	COST:40	WT:1	SOURCEPAGE:AaEG									
Aleeian (Elven)		TYPE:Goods.Liquid.Food.Resizable	COST:100	WT:1	SOURCEPAGE:AaEG									
Garnet (Dwarven)		TYPE:Goods.Liquid.Food.Resizable	COST:90	WT:1	SOURCEPAGE:AaEG									
Mushroom		TYPE:Goods.Liquid.Food.Resizable	COST:135	WT:1	SOURCEPAGE:AaEG									
Spiderblood (Drow)		TYPE:Goods.Liquid.Food.Resizable	COST:150	WT:1	SOURCEPAGE:AaEG									
Frenzywater		TYPE:Goods.Liquid.Food.Resizable	COST:15	WT:1	SOURCEPAGE:AaEG									
Moondrop (Elven)		TYPE:Goods.Liquid.Food.Resizable	COST:220	WT:1	SOURCEPAGE:AaEG									
Kragg (Orc)		TYPE:Goods.Liquid.Food.Resizable	COST:30	WT:1	SOURCEPAGE:AaEG									
														
#Alchemist														
Bladefire		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG									
Bullet (Acid)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:10	WT:.6	SOURCEPAGE:AaEG									
Bullet (Flame)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:20	WT:.6	SOURCEPAGE:AaEG									
Blullet (Priest's)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:25	WT:.6	SOURCEPAGE:AaEG									
Candle (Focusing)		TYPE:Goods.Alchemical.Sacred.Candle	COST:100	WT:1	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.					
Candle (Restful)		TYPE:Goods.Alchemical.Sacred.Candle	COST:100	WT:1	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.					
Clearbreath		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG									
Darkvision Powder		TYPE:Goods.Alchemical.Vial	COST:10	WT:0.06	SOURCEPAGE:AaEG									
Defoliator		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:2d4 Hp damage to Plants								
Dehydratated Food		TYPE:Goods.Alchemical.Food.Resizable	COST:2	WT:.24	SOURCEPAGE:AaEG									
Dwarfblind		TYPE:Goods.Alchemical	COST:50	WT:1	SOURCEPAGE:AaEG									
Farflame Oil		TYPE:Goods.Alchemical.Flask	COST:2	WT:1	SOURCEPAGE:AaEG									
Fleetfoot		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG									
Ghostoil		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG									
Gravebane		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG	SPROP:Repels Undead								
Hawk's Ointment		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG									
Instant Rope		TYPE:Goods.Alchemical.Flask	COST:25	WT:1	SOURCEPAGE:AaEG									
Longbreath		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG									
Motelight		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:Distract								
Nature's Draught		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG									
Polar Skin		TYPE:Goods.Alchemical.Flask	COST:25	WT:1	SOURCEPAGE:AaEG									
Signal Torch		TYPE:Goods.Alchemical	COST:1	WT:1	SOURCEPAGE:AaEG									
Sparkstone		TYPE:Goods.Alchemical	COST:50	WT:1	SOURCEPAGE:AaEG	SPROP:1d6 Hp in 5-ft radius								
Stonebreaker Acid		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:3d10 Hp damage to stone objects								
Verminbane		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG									
Vicious Bleeder		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG									
														
Animal Training Pole		TYPE:Goods.General.Resizable	COST:10	WT:3	SOURCEPAGE:AaEG	SPROP:+2 Circumstance bonus on attemps to teach an animal a task								
Cloak (Forester's)		TYPE:Goods.Clothing.Resizable.Cape	COST:20	WT:3	SOURCEPAGE:AaEG	SPROP:+1 Circumstance bonus on Hide check made in Forest								
Crossbow Sight (Gnomish)		TYPE:Goods.General.Resizable	COST:150	WT:1	SOURCEPAGE:AaEG	SPROP:Treat the target as 2 increments closer								
Listening cone		TYPE:Goods.General.Resizable	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:+1 Circumstance bonus on Listen checks made through a door or solid obstacles								
Backpack (Framed)		TYPE:Goods.General.Resizable.Container	COST:50	WT:2	SOURCEPAGE:AaEG					CONTAINS:10%-1|Any=-1				
Robe (Desert)		TYPE:Goods.Clothing.Resizable.Robe	COST:20	WT:2	SOURCEPAGE:AaEG	SPROP:+2 Circimstance bonus on Fortitude saves against exposure to high temperature								
Sheath (Boot)		TYPE:Goods.General.Resizable	COST:30	WT:0	SOURCEPAGE:AaEG									
Sheath (Wrist)		TYPE:Goods.General.Resizable	COST:20	WT:0	SOURCEPAGE:AaEG									
														
Hireling (Alchemist)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Alchemy)								
Hireling (Animal tender/groom)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal								
Hireling (Animal Trainer)		TYPE:Service	COST:0.8		SOURCEPAGE:AaEG	SPROP:Expert/Handle Animal								
Hireling (Animal Trainer/Exotic)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Handle Animal								
Hireling (Apothecary)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (Herbs), Craft (Alchemy)								
Hireling (Appraiser)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Appraise								
Hireling (Architect)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Architect)								
Hireling (Armorer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Armorsmithing)								
Hireling (Barrister)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy								
Hireling (Blacksmith)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Blacksmith)								
Hireling (Bookbinder)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Bookbinding)								
Hireling (Bowyer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Bowmaking)								
Hireling (Brazier)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Brassmaking)								
Hireling (Brewer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Brewing)								
Hireling (Butler)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy or Profession (Butler)								
Hireling (Carpenter)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Woodworking)								
Hireling (Cartographer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Mapmaking), Forgery								
Hireling (Cartwright)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)								
Hireling (Chandler)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Candlemaking)								
Hireling (Clerk)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Clerk)								
Hireling (Cobbler)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Shoemaking)								
Hireling (Coiffeur)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Hairdresser)								
Hireling (Coffinmaker)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)								
Hireling (Composer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Perform (any)								
Hireling (Cook)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Cook)								
Hireling (Cooper)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)								
Hireling (Courier/in town)		TYPE:Service	COST:0.02		SOURCEPAGE:AaEG	SPROP:Commoner/Knowledge (Local), Run feat. Cost per mile.								
Hireling (Courier/out of town)		TYPE:Service	COST:0.02		SOURCEPAGE:AaEG	SPROP:Commoner/Knowledge (Local), Ride. Cost per mile.								
Hireling (Coppersmith)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Coppersmithing)								
Hireling (Dowser)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Commoner or Adept/Survival								
Hireling (Dyer)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Dyemaking)								
Hireling (Embalmer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Embalmer), Craft (Alchemy)								
Hireling (Engineer)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Engineer)								
Hireling (Engineer/Siege)		TYPE:Service	COST:2		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (Tactics)								
Hireling (Entertainer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Perform (any)								
Hireling (Performer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Perform (any)								
Hireling (Fletcher)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Bowmaking)								
Hireling (Footman)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy, Knowledge (Nobility)								
Hireling (Gemcutter)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Gemcutting)								
Hireling (Goldsmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Goldmithing)								
Hireling (Governess)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy, Knowledge (Nobility)								
Hireling (Guide/Wilderness)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Knowledge (Local), Survival								
Hireling (Guide/City)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Knowledge (Local), Diplomacy								
Hireling (Haberdasher)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Hatmaking)								
Hireling (Healer)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Adept/Heal, cure light wounds								
Hireling (Horner)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Hornmaking)								
Hireling (Interpreter)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Speak Language								
Hireling (Jeweler)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Jewelmaking)								
Hireling (Laborer)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (any), Strength.								
Hireling (Launderer)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Launderer)								
Hireling (Limner/Painter)		TYPE:Service	COST:0.6		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Painting)								
Hireling (Locksmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Locksmithing)								
Hireling (Maid)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Maid)								
Hireling (Masseuse)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Masseuse)								
Hireling (Matchmaker)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy, Sense Motive								
Hireling (Midwife)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Midwife)								
Hireling (Miller)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Milling)								
Hireling (Nursemaid)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Nursemaid)								
Hireling (Navigator)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Survival, Profession (Sailor)								
Hireling (Painter/Portrait)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Painting)								
Hireling (Parchmentmaker)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft(Parchmentmaking)								
Hireling (Pewtener)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Pewtenermaking)								
Hireling (Polisher/Cleaner)		TYPE:Service	COST:0.08		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Cleaner)								
Hireling (Porter)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (any), Strength.								
Hireling (Potter)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (Pottermaking)								
Hireling (Sage)		TYPE:Service	COST:2		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (any)								
Hireling (Sailor/Crew)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Sailor)								
Hireling (Sailor/Mate)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Sailor), Intimidate								
Hireling (Scribe)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Scribe)								
Hireling (Sculptor)		TYPE:Service	COST:0.6		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Sculpting)								
Hireling (Sheperd)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal								
Hireling (Shipwright)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Shipmaking)								
Hireling (Silversmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Silversmithing)								
Hireling (Skinner)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (Skinning)								
Hireling (Soapmaker)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Soapmaking)								
Hireling (Soothsayer)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert or Adept/Scry, Divination								
Hireling (Tanner)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Tanning)								
Hireling (Teamster)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal, Ride								
Hireling (Valet)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy								
Hireling (Vintner)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Winemaking)								
Hireling (Weaponsmithing)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Weaponsmithing)								
Hireling (Weaver)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Weaving)								
