SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:PGtF	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Thorn Spray			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/level		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Transcribe Symbol			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Magic symbol touched		DURATION:10 minutes, or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Safely moves an untriggered magical symbol to another location.	SOURCEPAGE:PGtF								
Tree Healing			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:You and one tree		DURATION:1 day	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Triple Mask			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three shadow duplicates		DURATION:1 round/level	SAVEINFO:Will disbelief; See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Undead Bane Weapon			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon gain the Bane property and is aligned good.	SOURCEPAGE:PGtF								
Undeath after Death			TYPE:Divine			SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:Permanent, until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF		COST:50						
Undeath's Eternal Foe			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/5 levels		DURATION:1 round/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Understand Device			TYPE:Divine			SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Vipergout			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:1d4+3 summoned creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:You spit forth celestial or fiendish vipers that attack your foe.	SOURCEPAGE:PGtF								
Wall of Moonlight			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Vertical plane with an area up to one 5-ft square/level		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Wall of Sand			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=5|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Sand wall whose area is up to one 5ft-square/level		DURATION:Concentration + 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Swirling and blocks ranged attacks,slows movement through.	SOURCEPAGE:PGtF								
Warning			TYPE:Divine			SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Wieldskill			TYPE:Divine			SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
