SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
# Ability Name	Lantan						KIT:1|LantanA1|LantanA2|LantanG1|LantanH1																									
# Ability Name	Moonsea						KIT:1|MoonseaA1|MoonseaA2|MoonseaB1|MoonseaM1|MoonseaM2|MoonseaN1																									
# Ability Name	Moonshae						KIT:1|MoonshaeA1|MoonseaB1|MoonseaB2|MoonseaB3																									
# Ability Name	Mulhorand						KIT:1|MulhorandA1|MulhorandA2|MulhorandA3|MulhorandB1|MulhorandO1|MulhorandO2|MulhorandP1																									
# Ability Name	Narfell						KIT:1|NarfellA1|NarfellB1|NarfellB2																									
# Ability Name	Nelanther Isles						KIT:1|NelantherIslesA1|NelantherIslesA2|NelantherIslesB1																									
# Ability Name	North						KIT:1|NorthA1|NorthA2|NorthA3|NorthB1|NorthM1|NorthN1|NorthN2|NorthN3																									
# Ability Name	Rashemen						KIT:1|RashemenA1|RashemenA2|RashemenB1|RashemenB2																									
# Ability Name	Ride						KIT:1|RideA1|RideB1|RideB2																									
# Ability Name	Sembia						KIT:1|SembiaA1|SembiaB1|SembiaB2																									
# Ability Name	Shaar						KIT:1|ShaarA1|ShaarB1																									
# Ability Name	Shadovar						KIT:1|ShadovarA1|ShadovarA2|ShadovarB1																									
# Ability Name	Shou Expatriate						KIT:1|ShouExpatriateA1|ShouExpatriateB1|ShouExpatriateB2																									
# Ability Name	Silverymoon						KIT:1|SilverymoonA1|SilverymoonA2|SilverymoonA3|SilverymoonB1|SilverymoonE1|SilverymoonE2|SilverymoonF1|SilverymoonI1|SilverymoonI2|SilverymoonJ1																									
# Ability Name	Sword Coast						KIT:1|SwordcoastA1|SwordcoastA2|SwordcoastB1|SwordcoastC1|SwordcoastC2|SwordcoastD1																									
# Ability Name	Tashalar						KIT:1|TashalarA1|TashalarB1																									
# Ability Name	Tethyr						KIT:1|TethyrA1|TethyrB1																									
# Ability Name	Thay						KIT:1|ThayA1|ThayB1|ThayO1|ThayP1																									
# Ability Name	Thesk						KIT:1|TheskA1|TheskB1|TheskG1|TheskG2|TheskH1|TheskM1|TheskM2|TheskN1																									
# Ability Name	Turmish						KIT:1|TurmishA1|TurmishC1|TurmishD1																									
# Ability Name	Unther						KIT:1|UntherA1|UntherB1|UntherO1|UntherP1																									
# Ability Name	Uthgardt Tribesfolk						KIT:1|UthgardtTribesfolkA1|UthgardtTribesfolkA2|UthgardtTribesfolkB1																									
# Ability Name	Vaasa						KIT:1|VaasaA1|VaasaB1|VaasaB2|VaasaM1|VaasaM2|VaasaN1																									
# Ability Name	Vast						KIT:1|VastA1|VastB1																									
# Ability Name	Vilhon Reach						KIT:1|VilhonReachA1|VilhonReachA2|VilhonReachB1																									
# Ability Name	Waterdeep						KIT:1|WaterdeepA1|WaterdeepA2|WaterdeepA3|WaterdeepB1|WaterdeepC1|WaterdeepD1|WaterdeepD2|WaterdeepE1|WaterdeepE2|WaterdeepF1|WaterdeepI1|WaterdeepI2|WaterdeepJ1																									
# Ability Name	Western Heartlands						KIT:1|WesternHeartlandsA1|WesternHeartlandsA2|WesternHeartlandsB1|WesternHeartlandsG1|WesternHeartlandsH1|WesternHeartlandsK1|WesternHeartlandsK2|WesternHeartlandsL1																									
# Ability Name	Wizard's Reach						KIT:1|WizardSReachA1|WizardSReachB1																									
# Ability Name	Galena Mountain						KIT:1|GalenaMountainC2|GalenaMountainD1																									
# Ability Name	Great Rift						KIT:1|GreatRiftC1|GreatRiftD1|GreatRiftD2																									
# Ability Name	Oldonnar						KIT:1|OldonnarC1|OldonnarC2|OldonnarD1																									
# Ability Name	Smoking Mountains						KIT:1|SmokingMountainC1|SmokingMountainD1																									
# Ability Name	Spine of the World						KIT:1|SpineOfTheWorldC1|SpineOfTheWorldC2|SpineOfTheWorldD1																									
# Ability Name	Underdark (Darklands)						KIT:1|UnderdarkDarklandsC1|UnderdarkDarklandsC2|UnderdarkDarklandsD1																									
# Ability Name	Underdark (Northdark)						KIT:1|UnderdarkNorthdarkC1|UnderdarkNorthdarkD1|UnderdarkNorthdarkD2|UnderdarkNorthdarkG1|UnderdarkNorthdarkG2|UnderdarkNorthdarkG3|UnderdarkNorthdarkH1|UnderdarkNorthdarkM1|UnderdarkNorthdarkM2|UnderdarkNorthdarkN1																									
# Ability Name	Underdark (Old Shanatar)						KIT:1|UnderdarkOldShanatarC1|UnderdarkOldShanatarC2|UnderdarkOldShanatarD1																									
# Ability Name	Chondalwood						KIT:1|ChondalwoodE1|ChondalwoodF1|ChondalwoodK1|ChondalwoodK2|ChondalwoodK3|ChondalwoodL1																									
# Ability Name	Cormanthor Drow						KIT:1|CormanthorDrowE1|CormanthorDrowE2|CormanthorDrowF1																									
# Ability Name	Elven Court						KIT:1|ElvenCourtE1|ElvenCourtF1																									
# Ability Name	Evereska						KIT:1|EvereskaE1|EvereskaF1																									
# Ability Name	Evermeet						KIT:1|EvermeetE1|EvermeetF1|EvermeetF2																									
# Ability Name	Forest of Lethyr						KIT:1|ForestOfLethyrE1|ForestOfLethyrF1																									
# Ability Name	High Forest						KIT:1|HighForestE1|HighForestE2|HighForestF1																									
# Ability Name	Inner Sea						KIT:1|InnerSeaE1|InnerSeaE2|InnerSeaF1																									
# Ability Name	Underdark (Menzoberranyr)						KIT:1|MenzoberranyrE1|MenzoberranyrF1																									
# Ability Name	Sildeyuir						KIT:1|SildeyuirE1|SildeyuirE2|SildeyuirF1																									
# Ability Name	Snow Eagle Aerie						KIT:1|SnowEagleAerieE1|SnowEagleAerieE2|SnowEagleAerieF1																									
# Ability Name	Wealdath						KIT:1|WealdathE1|WealdathF1																									
# Ability Name	Yuirwood						KIT:1|YuirwoodE1|YuirwoodF1																									
# Ability Name	Cannath Vale						KIT:1|CannatValeK1|CannatValeL1																									
# Ability Name	Lurien						KIT:1|LurienK1|LurienK2|LurienL1																									
