SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Dragon (Chaos Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,150	FACE:5	REACH:5			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|2		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Chaos Dragon:9	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:11	LEVELADJUSTMENT:4	CR:4	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,150	FACE:5	REACH:5			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|4		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Chaos Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:14	LEVELADJUSTMENT:6	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,150	FACE:10	REACH:5			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|6		BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Chaos Dragon:15	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:17		CR:8	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,150	FACE:10	REACH:5			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|8		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Chaos Dragon:18	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:20		CR:11	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,150	FACE:15	REACH:10			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|10		BONUS:STAT|CON|10	BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Chaos Dragon:21	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:23		CR:13	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,150	FACE:15	REACH:10			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|12		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Chaos Dragon:24	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:26		CR:15	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Chaos Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,200	FACE:15	REACH:10			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|14		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|14						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Chaos Dragon:27	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:29		CR:16	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Chaos Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,200	FACE:15	REACH:10			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|16		BONUS:STAT|CON|16	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|14						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Chaos Dragon:30	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:32		CR:17	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Chaos Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,200	FACE:20	REACH:15			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|18		BONUS:STAT|CON|18	BONUS:STAT|INT|12	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Chaos Dragon:33	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:35		CR:19	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Chaos Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,200	FACE:20	REACH:15			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|20		BONUS:STAT|CON|20	BONUS:STAT|INT|14	BONUS:STAT|WIS|16	BONUS:STAT|CHA|18						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Chaos Dragon:36	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:38		CR:20	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Chaos Great Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,200	FACE:20	REACH:15			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal								BONUS:STAT|STR|22		BONUS:STAT|CON|22	BONUS:STAT|INT|14	BONUS:STAT|WIS|16	BONUS:STAT|CHA|18						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Chaos Dragon:39	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:*		CR:22	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,60,Fly,60	FACE:2.5	REACH:0			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|-2		BONUS:STAT|CON|2		BONUS:STAT|WIS|2							AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3											MONSTERCLASS:Ethereal Dragon:4	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:6	LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Ethereal Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,60,Fly,60	FACE:5	REACH:5			PREALIGN:TN	LANGAUTO:Draconic										BONUS:STAT|CON|2		BONUS:STAT|WIS|2							AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Ethereal Dragon:7	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:9	LEVELADJUSTMENT:3	CR:4	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Ethereal Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,40	FACE:5	REACH:5			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|2		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Ethereal Dragon:10	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:12	LEVELADJUSTMENT:4	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,40	FACE:5	REACH:5			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|4		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Ethereal Dragon:13	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:15	LEVELADJUSTMENT:4	CR:7	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,40	FACE:10	REACH:5			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|6		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Ethereal Dragon:16	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:18		CR:9	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,40	FACE:10	REACH:5			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|8		BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Ethereal Dragon:19	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:21		CR:10	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,40	FACE:15	REACH:10			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|12		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Ethereal Dragon:22	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:24		CR:13	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,40	FACE:15	REACH:10			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Ethereal Dragon:25	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:27		CR:15	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,40	FACE:15	REACH:10			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|16		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Ethereal Dragon:28	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:30		CR:16	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60,Fly,40	FACE:15	REACH:10			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Ethereal Dragon:31	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:33		CR:17	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,30	FACE:20	REACH:15			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|20		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Ethereal Dragon:34	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:36		CR:18	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Ethereal Great Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,30	FACE:20	REACH:15			PREALIGN:TN	LANGAUTO:Draconic								BONUS:STAT|STR|32		BONUS:STAT|CON|16	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Ethereal Dragon:37	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:*		CR:19	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Howling Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Fly,150	FACE:5	REACH:5			PREALIGN:CN,CE	LANGAUTO:Draconic								BONUS:STAT|STR|4		BONUS:STAT|CON|4	BONUS:STAT|INT|4		BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Howling Dragon:9	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:11	LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Howling Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,150	FACE:10	REACH:5			PREALIGN:CN,CE	LANGAUTO:Draconic								BONUS:STAT|STR|6		BONUS:STAT|CON|6	BONUS:STAT|INT|4		BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Howling Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:14	LEVELADJUSTMENT:5	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
