SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE		
33								SR:30		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Repel Metal or Stone		
36				ABILITY:Special Ability|AUTOMATIC|Rusting Scales				SR:32		DEFINE:DragonAge|11			DR:10/Chaotic
39								SR:34		DEFINE:DragonAge|12			
#													
CLASS:Styx Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Styx Dragon	PRERACE:1,Dragon (Styx%	PRERACETYPE:Dragon											
CLASS:Styx Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Persistent Acid									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|DragonAge	DEFINE:BreathWeaponDamageDie|6	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Stupefying Gas									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDamage|DragonAge		
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,2						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Amphibious|Constrict|Improved Grab|Immunity To Poison|Immunity To Disease|Styx Adaptation|Water Breathing|Disease									
6								SR:13		DEFINE:DragonAge|1			
9								SR:14		DEFINE:DragonAge|2			
12								SR:15	DR:5/Magic	DEFINE:DragonAge|3			
15								SR:18		DEFINE:DragonAge|4	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DragonCL|Curse Water	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Fog Cloud	
18								SR:20	DR:10/Magic	DEFINE:DragonAge|5			
21								SR:22		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Deeper Darkness	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Stinking Cloud	
24								SR:25	DR:15/Magic	DEFINE:DragonAge|7			
27								SR:27		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Hold Monster|Mind Fog		
30								SR:28	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Good
33								SR:30		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Control Water	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Feeblemind	
36								SR:31		DEFINE:DragonAge|11			DR:10/Good
39				ABILITY:Special Ability|AUTOMATIC|Summon Monster ~ Styx Dragon				SR:33		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Horrid Wilting		
#													
CLASS:Tarterian Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Tarterian Dragon	PRERACE:1,Dragon (Tarterian%	PRERACETYPE:Dragon											
CLASS:Tarterian Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Disruptive Force									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|8	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Will-Sapping Gas									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDuration|DragonAge		
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,1						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Force Resistant|Strength of Will|Freedom of Movement (Su)			BONUS:VAR|ForceResistantBonus|4						
8								SR:15		DEFINE:DragonAge|1			
11								SR:17		DEFINE:DragonAge|2			
14								SR:19	DR:5/Magic	DEFINE:DragonAge|3			
17								SR:21		DEFINE:DragonAge|4			
20								SR:23	DR:10/Magic	DEFINE:DragonAge|5			
23								SR:25		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Otiluke's Resilient Sphere		
26								SR:27	DR:15/Magic	DEFINE:DragonAge|7			
29								SR:29		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Maze		
32								SR:30	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Good
35								SR:32		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Forcecage		
38								SR:33		DEFINE:DragonAge|11			DR:10/Good
41								SR:35		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Imprisonment		
#													
CLASS:Shadow Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Shadow Dragon	PRERACE:1,Dragon (Shadow%	PRERACETYPE:Dragon											
CLASS:Shadow Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|max(DragonAge,(var("BL=Sorcerer")+var("CL=Sorcerer")))			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Smoky Shadows									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDrain|0		
#1													
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Energy Drain									
4								SR:12		DEFINE:DragonAge|1			
7				ABILITY:Special Ability|AUTOMATIC|Shadow Blend				SR:13		DEFINE:DragonAge|2			
10								SR:15		DEFINE:DragonAge|3			
13	BONUS:PCLEVEL|Sorcerer|1	ADD:SPELLCASTER|1|Sorcerer						SR:17		DEFINE:DragonAge|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Mirror Image		
16	BONUS:PCLEVEL|Sorcerer|1							SR:20	DR:5/Magic	DEFINE:DragonAge|5			
19	BONUS:PCLEVEL|Sorcerer|1							SR:22		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=2|CASTERLEVEL=DragonCL|Dimension Door		
22	BONUS:PCLEVEL|Sorcerer|1							SR:25	DR:10/Magic	DEFINE:DragonAge|7			
25	BONUS:PCLEVEL|Sorcerer|1							SR:27		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Nondetection		
28	BONUS:PCLEVEL|Sorcerer|1							SR:28	DR:15/Magic	DEFINE:DragonAge|9			DR:5/Good
31	BONUS:PCLEVEL|Sorcerer|1							SR:30		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Shadow Walk		
34	BONUS:PCLEVEL|Sorcerer|1							SR:31	DR:20/Magic	DEFINE:DragonAge|11			DR:10/Good
37	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Create Shadows|Shadowon Dragon Create Shadows				SR:33		DEFINE:DragonAge|12			
15	BONUS:PCLEVEL|Sorcerer|1												
18	BONUS:PCLEVEL|Sorcerer|1												
21	BONUS:PCLEVEL|Sorcerer|1												
24	BONUS:PCLEVEL|Sorcerer|1												
27	BONUS:PCLEVEL|Sorcerer|1												
30	BONUS:PCLEVEL|Sorcerer|1												
33	BONUS:PCLEVEL|Sorcerer|1												
36	BONUS:PCLEVEL|Sorcerer|1												
