SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net															
#duplication of the line for adding the bonus not written n the articles but present in the original template in  rsrd_template.lst																	
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE						
CLASS:Boar Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LBoar	MAXLEVEL:3	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Boar Lycanthrope	PRECLASS:1,Wereboar	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Boar Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Listen|Spot									DEFINE:AnimalCon|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0		DEFINE:AnimalHD|0	DEFINE:AnimalSize|0	
1				ABILITY:Special Ability|VIRTUAL|Gore ~ Wereboar|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalAC|2	DEFINE:AnimalMove|40	BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|4|TYPE=Racial	
2				ABILITY:Special Ability|AUTOMATIC|Scent							BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2		BONUS:VAR|AnimalHD|1		
3				ABILITY:Special Ability|AUTOMATIC|Ferocity							BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2		BONUS:VAR|AnimalHD|1		
CLASS:Dire Boar Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LDBoar	MAXLEVEL:7	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Dire Boar Lycanthrope	PRECLASS:1,Wereboar	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Dire Boar Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Listen|Spot									DEFINE:AnimalCon|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0	DEFINE:AnimalMove|40	DEFINE:AnimalHD|0	DEFINE:AnimalSize|0	
1				ABILITY:Special Ability|VIRTUAL|Gore ~ Wereboar|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)	ABILITY:Special Ability|VIRTUAL|Claw ~ Wereboar|PRETEMPLATE:1,Lycanthrope (Hybrid Form)						BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalAC|2			BONUS:VAR|AnimalSize|4|TYPE=Racial	
2				ABILITY:Special Ability|AUTOMATIC|Scent							BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2				
3				ABILITY:Special Ability|AUTOMATIC|Ferocity							BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2				
4												BONUS:VAR|AnimalSTR|2					
5												BONUS:VAR|AnimalSTR|2					
6			AUTO:FEAT|Endurance									BONUS:VAR|AnimalSTR|4				BONUS:VAR|AnimalSize|1	
7												BONUS:VAR|AnimalSTR|4					
																	
CLASS:Werebear		TYPE:PC.Monster.Template.Lycanthrope	ABB:LWBear	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Werebear	!PRETEMPLATE:1|Werebear|Lycanthrope	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant															
CLASS:Werebear	STARTSKILLPTS:0							DEFINE:NoTypeTraits|1									
SUBCLASS:Werebear ~ Natural Lycanthrope																	
SUBCLASSLEVEL:1						TEMPLATE:Natural Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
SUBCLASSLEVEL:3							BONUS:VAR|WerebearDamageReduction|5										
SUBCLASS:Werebear ~ Afflicted Lycanthrope																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Control Shape ~ Lycanthrope		TEMPLATE:Afflicted Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werebear;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Run	ABILITY:Special Ability|AUTOMATIC|Alternate Form Brown Bear ~ Werebear|Low-Light Vision ~ Werebear		TEMPLATE:Assign Subtype ~ Shapechanger	BONUS:STAT|WIS|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werebear;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Iron Will|Endurance	ABILITY:Special Ability|AUTOMATIC|Alternate Form Hybrid ~ Wereboar|Bear Empathy|Damage Reduction ~ Werebear			BONUS:VAR|WerebearDamageReduction|5										
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werebear;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human	PRECLASS:1,Werebear ~ Natural Lycanthrope														
CLASS:Brown Bear Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LBear	MAXLEVEL:6	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Brown Bear Lycanthrope	PRECLASS:1,Werebear	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Brown Bear Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Listen|Spot|Swim									DEFINE:AnimalCon|0	DEFINE:AnimalDex|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0		DEFINE:AnimalHD|0	DEFINE:AnimalSize|0
1				ABILITY:Special Ability|VIRTUAL|Bite ~ Werebear|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								BONUS:VAR|AnimalDex|2	BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2	DEFINE:AnimalMove|40	BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|4|TYPE=Racial
2				ABILITY:Special Ability|AUTOMATIC|Scent							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	
3				ABILITY:Special Ability|VIRTUAL|Claw ~ Werebear|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2		BONUS:VAR|AnimalHD|1	
4			AUTO:FEAT|Track	ABILITY:Special Ability|AUTOMATIC|Improved Grab							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	
5											BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|4	BONUS:VAR|AnimalAC|1		BONUS:VAR|AnimalHD|1	
6													BONUS:VAR|AnimalSTR|4			BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|1
																	
CLASS:Weretiger		TYPE:PC.Monster.Template.Lycanthrope	ABB:LWTiger	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Weretiger	!PRETEMPLATE:1|Weretiger|Lycanthrope	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant															
CLASS:Weretiger	STARTSKILLPTS:0							DEFINE:NoTypeTraits|1									
SUBCLASS:Weretiger ~ Natural Lycanthrope																	
SUBCLASSLEVEL:1						TEMPLATE:Natural Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
SUBCLASSLEVEL:3							BONUS:VAR|WeretigerDamageReduction|5										
SUBCLASS:Weretiger ~ Afflicted Lycanthrope																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Control Shape ~ Lycanthrope		TEMPLATE:Afflicted Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Weretiger;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Alertness	ABILITY:Special Ability|AUTOMATIC|Alternate Form Tiger ~ Weretiger|Low-Light Vision ~ Weretiger		TEMPLATE:Assign Subtype ~ Shapechanger	BONUS:STAT|WIS|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Weretiger;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Improved Natural Attack(Bite)|Improved Natural Attack(Claw)	ABILITY:Special Ability|AUTOMATIC|Alternate Form Hybrid ~ Weretiger|Tiger Empathy|Damage Reduction ~ Weretiger			BONUS:VAR|WeretigerDamageReduction|5										
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Weretiger;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human	PRECLASS:1,Werebear ~ Natural Lycanthrope														
CLASS:Tiger Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LTiger	MAXLEVEL:6	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Tiger Lycanthrope	PRECLASS:1,Weretiger	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Tiger Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Balance|Hide|Listen|Move Silently|Spot|Swim									DEFINE:AnimalCon|0	DEFINE:AnimalDex|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0		DEFINE:AnimalHD|0	DEFINE:AnimalSize|0
1				ABILITY:Special Ability|VIRTUAL|Bite ~ Weretiger|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)									BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2	DEFINE:AnimalMove|40	BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|4|TYPE=Racial
1				ABILITY:Special Ability|AUTOMATIC|Skills ~ Tiger			BONUS:SKILL|Balance,Hide,Move Silently|4|TYPE=Racial										
2				ABILITY:Special Ability|AUTOMATIC|Scent								BONUS:VAR|AnimalDex|2	BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	
3				ABILITY:Special Ability|VIRTUAL|Claw ~ Weretiger|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|1		BONUS:VAR|AnimalHD|1	
4				ABILITY:Special Ability|AUTOMATIC|Improved Grab ~ Tiger							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|1
5				ABILITY:Special Ability|VIRTUAL|Pounce ~ Tiger|PRETEMPLATE:1,Lycanthrope (Animal Form)								BONUS:VAR|AnimalDex|2	BONUS:VAR|AnimalSTR|4	BONUS:VAR|AnimalAC|1		BONUS:VAR|AnimalHD|1	
6				ABILITY:Special Ability|VIRTUAL|Rake ~ Tiger|PRETEMPLATE:1,Lycanthrope (Animal Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|4			BONUS:VAR|AnimalHD|1	
																	
CLASS:Werewolf		TYPE:PC.Monster.Template.Lycanthrope	ABB:LWWolf	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Werewolf	!PRETEMPLATE:1|Werewolf|Lycanthrope	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant															
CLASS:Werewolf	STARTSKILLPTS:0							DEFINE:NoTypeTraits|1									
SUBCLASS:Werewolf ~ Natural Lycanthrope																	
SUBCLASSLEVEL:1						TEMPLATE:Natural Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
SUBCLASSLEVEL:3							BONUS:VAR|WerewolfDamageReduction|5										
SUBCLASS:Werewolf ~ Afflicted Lycanthrope																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Control Shape ~ Lycanthrope		TEMPLATE:Afflicted Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werewolf;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Track	ABILITY:Special Ability|AUTOMATIC|Alternate Form Wolf ~ Werewolf|Low-Light Vision ~ Werewolf		TEMPLATE:Assign Subtype ~ Shapechanger	BONUS:STAT|WIS|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werewolf;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Iron Will|Weapon Focus(Bite)	ABILITY:Special Ability|AUTOMATIC|Alternate Form Hybrid ~ Werewolf|Wolf Empathy|Damage Reduction ~ Werewolf			BONUS:VAR|WerewolfDamageReduction|5										
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Werewolf;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human	PRECLASS:1,Werewolf ~ Natural Lycanthrope														
CLASS:Wolf Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LBoar	MAXLEVEL:3	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Wolf Lycanthrope	PRECLASS:1,Wereboar	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Wolf Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Hide|Listen|Move Silently|Spot|Survival									DEFINE:AnimalCon|0	DEFINE:AnimalDex|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0		DEFINE:AnimalHD|0	DEFINE:AnimalSize|0
1				ABILITY:Special Ability|VIRTUAL|Bite ~ Werewolf|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2	DEFINE:AnimalMove|50	BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|4|TYPE=Racial
1				ABILITY:Special Ability|AUTOMATIC|Skills ~ Wolf													
2				ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|VIRTUAL|Trip ~ Wolf|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)						BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalDex|4				BONUS:VAR|AnimalHD|1	
CLASS:Dire Wolf Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LDWolf	MAXLEVEL:6	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Dire Wolf Lycanthrope	PRECLASS:1,Werewolf	PREMULT:2,[PRESIZEGTEQ:M],[PRESIZELTEQ:H]															
CLASS:Dire Wolf Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Hide|Listen|Move Silently|Spot|Survival									DEFINE:AnimalCon|0	DEFINE:AnimalDex|0	DEFINE:AnimalSTR|0	DEFINE:AnimalAC|0	DEFINE:AnimalMove|50	DEFINE:AnimalHD|0	DEFINE:AnimalSize|0
1				ABILITY:Special Ability|VIRTUAL|Bite ~ Werewolf|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)							BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|2	BONUS:VAR|AnimalAC|2		BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|4|TYPE=Racial
2				ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|VIRTUAL|Trip ~ Dire Wolf|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)						BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalDex|4		BONUS:VAR|AnimalAC|1		BONUS:VAR|AnimalHD|1	
3			AUTO:FEAT|Run										BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	
4													BONUS:VAR|AnimalSTR|2			BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|1
5													BONUS:VAR|AnimalSTR|4			BONUS:VAR|AnimalHD|1	
5				ABILITY:Special Ability|AUTOMATIC|Skills ~ Dire Wolf			BONUS:SKILL|Hide,Listen,Move Silently,Spot|2|TYPE=Racial										
6			AUTO:FEAT|Alertness								BONUS:VAR|AnimalCon|2		BONUS:VAR|AnimalSTR|4			BONUS:VAR|AnimalHD|1	
