#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Celestial Charger	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																TEMPLATE:Celestial													SOURCEPAGE:EXD										
Celestial Companion	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES		FOLLOWERS:Celestial Companion|1			DEFINE:CcLevel|0			COMPANIONLIST:Celestial Companion|Cat,Eagle,Hawk,Horse (Warhorse Heavy),Horse (Warhorse Light),Owl,Pony,Pony (War),Dog (Riding),Wolf																					SOURCEPAGE:CD										
Celestial Companion ~ Mount	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																TEMPLATE:Celestial													SOURCEPAGE:EXD										
Celestial Famialir ~ Celestial	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Celestial Familiar															TEMPLATE:Celestial													SOURCEPAGE:EXD										
Celestial Familiar	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES		FOLLOWERS:Celestial Familiar|1			DEFINE:CFLevel|0			COMPANIONLIST:Celestial Familiar|RACETYPE=Animal|PRECLASS:1,SPELLCASTER.Arcane=3|PREALIGN:LG,NG,CG	COMPANIONLIST:Celestial Familiar|Eladrin (Coure)|PRECLASS:1,SPELLCASTER.Arcane=7|PREALIGN:CG	COMPANIONLIST:Celestial Familiar|Archon (Lantern)|PRECLASS:1,SPELLCASTER.Arcane=7|PREALIGN:LG																			SOURCEPAGE:EXD										
Celestial Flying Mount	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																TEMPLATE:Celestial													SOURCEPAGE:EXD										
Celestial Mount	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES					DEFINE:CelestialMount|0																								SOURCEPAGE:PH										
Celestial Spell	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:cast spells with celestial components.			PREALIGN:LG,NG,CG																									SOURCEPAGE:PGtF										
Celestial Spell ~ archon	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:cast as an Archon (celestial or archon components)			PREALIGN:LG																									SOURCEPAGE:EXD										
Celestial Spell ~ eladrin	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:cast as an Eladrin (celestial or eladrin components)			PREALIGN:CG																									SOURCEPAGE:EXD										
Celestial Spell ~ guardinal	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:cast as an Guardinal (celestial or guardinal components)			PREALIGN:NG																									SOURCEPAGE:EXD										
Celestial Symphony	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Celestial Transformation ~ Initiate of Pistis Sophia	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Celestial Transformation															TEMPLATE:Initiate of Pistis Sophia Outsider													SOURCEPAGE:EXD										
Censure Demons	CATEGORY:Special Ability	TYPE:ClassAbility.Turning.CensureDemons.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2) (max HD %3)|CensureTimesDemons|CensureDemonDC|CensureLevelDemons			DEFINE:CensurePowerLVL|0	DEFINE:CensureTimesDemons|0	DEFINE:CensureLevelDemons|0	DEFINE:CensureDemonDC|0			BONUS:VAR|CensureDemonDC|10+WIS																			SOURCEPAGE:CW	ASPECT:TurnType|Censure	ASPECT:TurnKind|Demons	ASPECT:TurnTimes|%1|CensureTimesDemons	ASPECT:TurnLevel|%1|CensureLevelDemons						
Censure Fiends	CATEGORY:Special Ability	TYPE:SpecialAttack.Censuring.CensureFiend	VISIBLE:YES	DESC:%1/day (censure level %2) (censure damage %3d%4+%5)|CensureTimesFiend|CensureLevelfiend|CensureDiceFiend|CensureDieSizeFiend|CensureDamagePlusFiend				DEFINE:CensureTimesFiend|CensureTimesBase	DEFINE:CensureLevelFiend|CensureLevelBase	DEFINE:CensureDiceFiend|CensureDiceBase	DEFINE:CensureDieSizeFiend|CensureDieSizeBase	DEFINE:CensureDamagePlusFiend|CensureDamagePlusBase	DEFINE:CensureCheckFiend|CensureCheckBase																			SOURCEPAGE:EXD										
Cerulean Focus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LoM										
Chain Barrier	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Chakra Mastery	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES								BONUS:CHECKS|Reflex,Fortitude,Will|CHA																					SOURCEPAGE:RLCoD										
Chameleon Skin	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1 Racial bonus on Hide checks|ChameleonSkinBonus				DEFINE:ChameleonSkinBonus|0			BONUS:SKILL|Hide|ChameleonSkinBonus|TYPE=Racial																					SOURCEPAGE:MM3										
Change Shape (Minor)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:+10 circumstance bonus on  Disguise checks.	OUTPUTNAME:Minor Change Shape																											SOURCEPAGE:MM3										
Channel Spell	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|ChannelSpellPerDay				DEFINE:ChannelSpellPerDay|0																								SOURCEPAGE:CW										
Channeling	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Chant of Agony	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|ChantOfAgonyPerDay|ChantOfAgonyDC				DEFINE:ChantOfAgonyPerDay|0	DEFINE:ChantOfAgonyDC|10+WIS																							SOURCEPAGE:SS										
Chant of Death	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|ChantOfDeathPerDay|ChantOfDeathDC				DEFINE:ChantOfDeathPerDay|0	DEFINE:ChantOfDeathDC|10+WIS																							SOURCEPAGE:SS										
Chant of Pain	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|ChantOfPainPerDay|ChantOfPainDC				DEFINE:ChantOfPainPerDay|0	DEFINE:ChantOfPainDC|10+WIS																							SOURCEPAGE:SS										
Chaos Crusher	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day (%2 rounds)|ChaosCrusherPerDay|ChaosCrusherDuration				DEFINE:ChaosCrusherPerDay|0	DEFINE:ChaosCrusherDuration|0																							SOURCEPAGE:PGtF										
Chaos Focus	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES								BONUS:VAR|ImbuePelletDC|2																					SOURCEPAGE:SS										
Chaotic Contagion	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day (Will DC %2)|ChaoticContagionPerDay|ChaoticContagionDC				DEFINE:ChaoticContagionPerDay|0	DEFINE:ChaoticContagionDC|10+CHA																							SOURCEPAGE:PH										
Chaotic Mind	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:immune to Confusion and Insanity spells. Continuous Nondetection effect.																												SOURCEPAGE:CA										
Charge ~ Cervidal	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Butt damage 1d8 + %%|STR/2*3	OUTPUTNAME:Charge																											SOURCEPAGE:MM2										
Charge ~ Horned Felldrake	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Horn damage 4d6 + %%|STR/2*3	OUTPUTNAME:Charge																											SOURCEPAGE:MM2										
Charge ~ Kython Impaler	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Bone Spike damage 6d6 + %%|STR/2*3	OUTPUTNAME:Charge																											SOURCEPAGE:BoVD										
Charge ~ Malebranche	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gore damage 6d6 + %%|STR/2*3	OUTPUTNAME:Charge																											SOURCEPAGE:MM2										
Charge Magic	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Charged Item Drain	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MoF										
Charging Bite	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Ref DC %1|ChargingBiteDC				DEFINE:ChargingBiteDC|10+(HD/2)+DEX																								SOURCEPAGE:MM3										
Charging Smite	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 extra damage if smite evil after a charge|ChargingSmiteDamage				DEFINE:ChargingSmiteDamage|0																								SOURCEPAGE:PHB2										
Charisma Damage	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Charisma Damage ~ Jahi	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:1d4 Cha damage	OUTPUTNAME:Charisma Damage	SERVESAS:ABILITY=Special Ability|Charisma Damage																										SOURCEPAGE:MM2										
Charisma Drain ~ Banshee	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d4 Cha drain (Fort DC %1)|BansheeCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:BansheeCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|BansheeCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:MM2										
Charisma Drain ~ Cinderspawn	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Cha drain (Fort DC %1)|CinderspawnCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:CinderspawnCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|CinderspawnCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:LM										
Charisma Drain ~ Jahi	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d3 Cha drain (Fort DC %1)|JahiCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:JahiCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|JahiCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:MM2										
Charisma Drain ~ Myrmyxicus	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Cha drain (Will DC %1)|MyrmyxicusCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:MyrmyxicusCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|MyrmyxicusCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:FFo										
Charisma Drain ~ Spectral Lysrist	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Cha drain (Fort DC %1)|SpectralLyristCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:SpectralLyristCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|SpectralLyristCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:LM										
Charisma Drain ~ Visilight	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Cha drain (Fort DC %1)|VisilightCharismaDrainDC	OUTPUTNAME:Charisma Drain	SERVESAS:ABILITY=Special Ability|Charisma Drain		DEFINE:VisilightCharismaDrainDC|10+(HD/2)+CHA				BONUS:VAR|VisilightCharismaDrainDC|2|PREFEAT:1,Ability Focus(Charisma Drain)																				SOURCEPAGE:MM3										
Charm	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1 ft (Will DC %2)|CharmRange|CharmDC				DEFINE:CharmRadius|0	DEFINE:CharmDC|0																							SOURCEPAGE:MM2										
Charm Demon (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:CharmDemonPerDay|0	DEFINE:CharmDemonLVL|0										SPELLS:Innate|TIMES=CharmDemonPerDay|CASTERLEVEL=CharmDemonLVL|Charm Person,11+CHA													SOURCEPAGE:BoVD										
Charm Monster (Mass/Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	OUTPUTNAME:Charm Monster, Mass (Sp)				DEFINE:CharmMonsterMassPerDay|0	DEFINE:CharmMonsterMassLVL|0										SPELLS:Innate|TIMES=CharmMonsterMassPerDay|CASTERLEVEL=CharmMonsterMassLVL|Charm Monster (Mass),18+CHA													SOURCEPAGE:MoF										
Charm Monster (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CharmMonsterPerDay|0	DEFINE:CharmMonsterLVL|0										SPELLS:Innate|TIMES=CharmMonsterPerDay|CASTERLEVEL=CharmMonsterLVL|Charm Monster,13+CHA													SOURCEPAGE:EXD										
Charm Person (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CharmPersonPerDay|0	DEFINE:CharmPersonLVL|0										SPELLS:Innate|TIMES=CharmPersonPerDay|CASTERLEVEL=CharmPersonLVL|Charm Person,11+CHA													SOURCEPAGE:EXD										
Charmer	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:RLCoD										
Charming Song	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES	DESC:Will DC %1|CharmingSongDC				DEFINE:CharmingSongDC|11+CHA																								SOURCEPAGE:MM2										
Chastise Spirit	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day %2d6 (Will DC %3)|ChastiseSpiritTimes|ChastiseSpiritDamage|ChastiseSpiritDC				DEFINE:ChastiseSpiritTimes|0	DEFINE:ChastiseSpiritDamage|0	DEFINE:ChastiseSpiritDC|0	BONUS:VAR|ChastiseSpiritTimes|3+CHA	BONUS:VAR|ChastiseSpiritDC|10+CHA																				SOURCEPAGE:CD										
Cheat (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CheatPerDay|0	DEFINE:CheatLVL|0										SPELLS:Innate|TIMES=CheatPerDay|CASTERLEVEL=CheatLVL|Cheat,11+CHA													SOURCEPAGE:BoVD										
Chill	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Chitin	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES					DEFINE:ChitinAC|0			BONUS:COMBAT|AC|ChitinAC|TYPE=NaturalArmor																					SOURCEPAGE:BoVD										
Choking Dust	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Fort DC %1|ChokingDustDC				DEFINE:ChokingDustDC|10+(HD/2)+STR																								SOURCEPAGE:MM3										
Chromatic Disc	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES																													SOURCEPAGE:SS										
Circle of Protection	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Clairaudience (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ClairaudiencePerDay|0	DEFINE:ClairaudienceLVL|0										SPELLS:Innate|TIMES=ClairaudiencePerDay|CASTERLEVEL=ClairaudienceLVL|Clairaudience/Clairvoyance,13+CHA													SOURCEPAGE:Mon										
Clarity of Confusion	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PH										
Claws of the Dragon	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:unarmed strike can overcome damage reduction as if it were a magic weapon. As option, can deal Slashing damage.																												SOURCEPAGE:Drac										
Claws of the Overfiend	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:WEAPONPROF=TYPE.Natural|DAMAGESIZE|1																					SOURCEPAGE:BoVD										
Cleanse Aberration	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:LoM										
Cleansing Smite	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Extraordinary.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2d6 extra damage expending Psionic Focus|CleansingSmiteToHit|CleansingSmiteDamage	DEFINE:CleansingSmiteToHit|0	DEFINE:CleansingSmiteDamage|0																										SOURCEPAGE:LoM										
Clear Vision	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality.Sense	VISIBLE:YES																													SOURCEPAGE:MM3										
Clearsight	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality.Vision	VISIBLE:YES	DESC:As True Seeing, but also foils mundane disguises.															VISION:Clearsight (30')													SOURCEPAGE:Drac										
Cleaver Mastery	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES								BONUS:WEAPONPROF=Handaxe|CRITMULTADD|1																					SOURCEPAGE:MM3										
Climate Tolerant	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES			SERVESAS:ABILITY=FEAT|Cold Endurance																										SOURCEPAGE:Fro										
Cloak of Thorns	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:%1d6 (Ref CD %2)|CloakOfThornsDie|CloakOfThornsDC				DEFINE:CloakOfThornsDie|0	DEFINE:CloakOfThornsDC|10		BONUS:SKILL|Diplomacy|-2	BONUS:MISC|CA|1|TYPE=NaturalArmor																				SOURCEPAGE:Nep										
Cloak of Winter's Chill	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day (%2 round)|CloakOfWinterChillPerDay|CloakOfWinterChillDuration				DEFINE:CloakOfWinterChillPerDay|0	DEFINE:CloakOfWinterChillDuration|0																							SOURCEPAGE:Fro										
Cloaked Casting	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1 DC against target who would denied a Dex bonus to AC.|CloakedCastingDC	DESC:+%1 overcome SR|CloakedCastingSR|PREVAREQ:CloakedCastingOvercome,1	DESC:Overcome SR|PREVARGTEQ:CloakedCastingOvercome,2		DEFINE:CloakedCastingDC|0	DEFINE:CloakedCastingOvercome|0	DEFINE:CloakedCastingSR|0																						SOURCEPAGE:PHB2										
Close	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Close Combat Shot	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Close Shot	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Cloud Anchorite Fast Movement	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	OUTPUTNAME:Fast Movement				DEFINE:CloudAnchoriteFastMovement|0			BONUS:MOVEADD|TYPE=Walk|CloudAnchoriteFastMovement|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.EQUIPPED.IS.HEAVY]"),1|TYPE=FastMovement																					SOURCEPAGE:Fro										
Cloud of Steel	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:4d6 Ref DC %1|CloudOfSteelDC				DEFINE:CloudOfSteelDC|10+CHA+(HD/2)				BONUS:VAR|CloudOfSteelDC|2|PREFEAT:1,Ability Focus(Cloud of Steel)																				SOURCEPAGE:Ssh										
Cloudkill Form	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Clumsy	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES									BONUS:SKILL|Disable Device,Sleight of Hand|-2|TYPE=Circumstance																				SOURCEPAGE:Drac										
Clutch of Orcus (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ClutchOfOrcusPerDay|0	DEFINE:ClutchOfOrcusLVL|0										SPELLS:Innate|TIMES=ClutchOfOrcusPerDay|CASTERLEVEL=ClutchOfOrcusLVL|Clutch of Orcus,13+CHA													SOURCEPAGE:LM										
Coalesced Form	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LoM										
Code of Conduct ~ Dread Pirate	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Code of Conduct																												SOURCEPAGE:CAd										
Code of Conduct ~ Knight's Code	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Knight's Code																												SOURCEPAGE:PHB2										
Code of Conduct ~ Prismatic Golem	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Moral Code																												SOURCEPAGE:MM3										
Cold Adaptation	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:take no non-lethal damage from exposure to low temperature. No ill effects from snow or sleet.																												SOURCEPAGE:Nep										
Cold Adaptation ~ Cryokineticist	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:+%1 bonus on all saving throws against cold and cold spells and spell-like abilities.|ColdAdaptationBonus		SERVESAS:ABILITY=Special Ability|Cold Adaptation		DEFINE:ColdAdaptationBonus|4																								SOURCEPAGE:Nep										
Cold Aura ~ Chilblain	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Aura	VISIBLE:YES	DESC:A 10-foot-radius spread cold aura surrounds you. Creatures subject to cold Damage take 2d6 cold Damage each round they remain within the cold aura.	OUTPUTNAME:Cold Aura	SERVESAS:ABILITY=Special Ability|Cold Aura																										SOURCEPAGE:Nep										
Cold Aura ~ Frost Salamander	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Aura	VISIBLE:YES	DESC:A 20-foot-radius spread cold aura surrounds you. Creatures subject to cold Damage take 1d8 cold Damage each round they remain within the cold aura.	OUTPUTNAME:Cold Aura	SERVESAS:ABILITY=Special Ability|Cold Aura																										SOURCEPAGE:Nep										
Cold Aura ~ Mummia Glaciale	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Aura	VISIBLE:YES	DESC:A 10-foot-radius spread cold aura surrounds you. Creatures subject to cold Damage take 1d8 cold Damage each round they remain within the cold aura.	OUTPUTNAME:Cold Aura	SERVESAS:ABILITY=Special Ability|Cold Aura																										SOURCEPAGE:Nep										
Cold Aura ~ Shivad	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Aura	VISIBLE:YES	DESC:A 60-foot-radius spread cold aura surrounds you. Creatures subject to cold Damage take 3d6 cold Damage each round they remain within the cold aura.	OUTPUTNAME:Cold Aura	SERVESAS:ABILITY=Special Ability|Cold Aura																										SOURCEPAGE:Fro										
Cold Aura ~ Snowflake Ooze	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Aura	VISIBLE:YES	DESC:A 5-foot-radius spread cold aura surrounds you. Creatures subject to cold Damage take 1d6 cold Damage each round they remain within the cold aura.	OUTPUTNAME:Cold Aura	SERVESAS:ABILITY=Special Ability|Cold Aura																										SOURCEPAGE:MM3										
Cold Gaze	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.Gaze	VISIBLE:YES	DESC:Fort DC %1|ColdGazeDC		SERVESAS:ABILITY=Special Ability|Gaze		DEFINE:ColdGazeDC|10+(TL/2)+CHA			BONUS:VAR|ColdGazeDC|2|PREFEAT:1,Ability Focus(Cold Gaze)																					SOURCEPAGE:Fro										
Cold Mastery	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:Drac										
Cold to the Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:LM										
Cold Tolerant	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on saving throw against cold damage and cold effects.		SERVESAS:ABILITY=FEAT|Cold Endurance																										SOURCEPAGE:Fro										
Cold Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:Fort DC %|ColdTouchDC				DEFINE:ColdTouchDC|10+CHA+(HD/2)				BONUS:VAR|ColdTouchDC|2|PREFEAT:1,Ability Focus(Cold Touch)																				SOURCEPAGE:MM2										
Cold Walk	CATEGORY:Special Ability	TYPE:PsiLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Coldstrike	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Color Choice	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:SS										
Color Spray	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Color Spray (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:ColorSprayPerDay|0	DEFINE:ColorSprayLVL|0										SPELLS:Innate|TIMES=ColorSprayPerDay|CASTERLEVEL=ColorSprayLVL|Color Spray,11+CHA													SOURCEPAGE:MM3										
