SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
			
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine	
Cloud Chariot.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenWater
Horrid Wilting.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenWater
Control Plants.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenWood
Antipathy.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Finding the Center.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Mind Blank.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Minute Form.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Polymorph Any Object.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Power Word Stun.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Spirit Binding (Greater).MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Summon Monster VIII.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Symbol of Death.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Symbol of Insanity.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Sympathy.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Whirlwind.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	
Internal Fire.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	DESCRIPTOR:WuJenFire
Absorption.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Astral Projection.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Dominate Monster.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Etherealness.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Freedom.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Gate.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Imprisonment.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Power Word Kill.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Shapechange.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Summon Elemental Monolith.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Summon Monster IX.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Teleportation Circle.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Time Stop.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Transmute Rock to Lava.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Wish.MOD	CLASSES:Wu Jen=9	TYPE:Arcane	
Backbiter.MOD	CLASSES:Hexblade=1		
Phantasmal Assailants.MOD	CLASSES:Hexblade=2		
Whirling Blade.MOD	CLASSES:Hexblade=2		
Assay Resistance.MOD	CLASSES:Hexblade=3		
Unluck.MOD	CLASSES:Hexblade=3		
