SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Lightning Blade			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:See text		DURATION:1 minute or until discharged	SAVEINFO:None	SPELLRES:Yes	DESC:Blade of electricity energy deals total 1d6 damage/level as touch attack or ranged touch attack	SOURCEPAGE:CA								
Low-Light Vision			TYPE:Arcane.Divine	CLASSES:Assassin=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See twice as far as a human in poor light	SOURCEPAGE:CA								
Mage Armor (Greater)	OUTPUTNAME:Mage Armor, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:Gives subject +6 armor bonus	SOURCEPAGE:CA		COST:25						
Magnetism			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Draw iron or steel objects to yourself with effective Str 30	SOURCEPAGE:CA								
Melt			TYPE:Arcane			SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 5-ft cube of ice or 10-ft cube of snow/level, or one cold creature/level		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:Melt ice and snow or deal 2/level damage to magical ice or cold creature (mac 10)	SOURCEPAGE:CA								
Metal Skin			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Grants +8 natural armor bonus, -2 to Dex	SOURCEPAGE:CA								
Minute Form			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:You shrink to Tiny or smaller size	SOURCEPAGE:CA								
Orb of Acid			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of acid		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:Ranged touch attack deals 1d6/level acid damage and target might be sickened	SOURCEPAGE:CA								
Orb of Acid (Lesser)	OUTPUTNAME:Orb of Acid, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of acid		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d8 acid damage +1d8/2 levels beyond 1st (max 5d8)	SOURCEPAGE:CA								
Orb of Cold			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of cold		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:Ranged touch attack deals 1d6/level cold damage and target might be blinded	SOURCEPAGE:CA								
Orb of Cold (Lesser)	OUTPUTNAME:Orb of Cold, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of cold		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d8 cold damage +1d8/2 levels beyond 1st (max 5d8)	SOURCEPAGE:CA								
Orb of Electricity			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of electricity		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:Ranged touch attack deals 1d6/level electricity damage and target might be entangled	SOURCEPAGE:CA								
Orb of Electricity (Lesser)	OUTPUTNAME:Orb of Electricity, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of electricity		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d8 electricity damage +1d8/2 levels beyond 1st (max 5d8)	SOURCEPAGE:CA								
Orb of Fire			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of fire		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:Ranged touch attack deals 1d6/level fire damage and target might be dazed	SOURCEPAGE:CA								
Orb of Fire (Lesser)	OUTPUTNAME:Orb of Fire, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of fire		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d8 fire damage +1d8/2 levels beyond 1st (max 5d8)	SOURCEPAGE:CA								
Orb of Force			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One orb of force		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Globe of force deals 1d6/level damage (max 10d6)	SOURCEPAGE:CA								
Orb of Sound			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of sonic energy		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:Ranged touch attack deals 1d8 sonic damage +1d8/2 levels beyond 1st (max 5d8)	SOURCEPAGE:CA								
Orb of Sound (Lesser)	OUTPUTNAME:Orb of Sound, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of sonic energy		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d6/level sonic damage and target might be deafened	SOURCEPAGE:CA								
Dispelling Screen			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Energy wall whose area is up to one 10-ft sqare/level, or a sphere or hemisphere with a radius of up to 1-ft/level		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Targeted Dispel Magic on any creatures and unattended items, +10 max on casterlevel check	SOURCEPAGE:CA								
Dispelling Screen.COPY=Otiluke's Dispelling Screen
Dispelling Screen (Greater)	OUTPUTNAME:Dispelling Screen, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Energy wall whose area is up to one 10-ft sqare/level, or a sphere or hemisphere with a radius of up to 1-ft/level		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Targeted Dispel Magic on any creatures and unattended items, +20 max on casterlevel check	SOURCEPAGE:CA								
Dispelling Screen (Greater).COPY=Otiluke's Dispelling Screen (Greater)	OUTPUTNAME:Otiluke's Dispelling Screen, Greater
Pain			TYPE:Arcane			SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to 1 HD/level of creature, no two of which can be more than 20-ft apart		DURATION:1 minute/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Wracking pain gives targets -4 on attack rolls, skill and ability checks	SOURCEPAGE:CA								
Phantasmal Assailants			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Nightmare creature strike target for 4 Wis damage, 4 Dex damage	SOURCEPAGE:CA								
Poison Needles			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Hail of poison needles deals range of effects to target	SOURCEPAGE:CA								
Prismatic Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Ray of light blinds target, deals random effects	SOURCEPAGE:CA								
Programmed Amnesia			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One living creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Destroy, alter or replace memories in target creature	SOURCEPAGE:CA		COST:500						
Protection from Charm			TYPE:Arcane			SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains +1/3 levels bonus (max +5) on saves against charm and compulsion	SOURCEPAGE:CA								
Rain of Needles			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to 1 creature/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged attack deals total 1d4/level damage (max 5d4)	SOURCEPAGE:CA								
Reanimation			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, M, F	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 day/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Dead creature restored to fuinctional half life with 1 HP	SOURCEPAGE:CA								
Reaving Dispel			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One spellcaster, creature or object; or 20-ft-radius burst		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:On a targeted dispel, steal spell power and effects for yourself	SOURCEPAGE:CA								
Reciprocal Gyre			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or object		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Creature or object takes 1d6 damage/level of spell affecting it (max 25d6)	SOURCEPAGE:CA								
Refusal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Two 10-ft sqares/level		DURATION:1 hour/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Spellcasters and creatures with spell-like abilities are prevented from entering an area	SOURCEPAGE:CA								
Repair Critical Damage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Construct touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Repairs 4d8+1/level point of damage to any construct (max +20)	SOURCEPAGE:CA								
Repair Light Damage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Construct touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Repairs 1d8+1/level point of damage to any construct (max +5)	SOURCEPAGE:CA								
Repair Minor Damage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Construct touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Repairs 1 point of damage to any construct	SOURCEPAGE:CA								
Repair Moderate Damage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Construct touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Repairs 2d8+1/level point of damage to any construct (max +10)	SOURCEPAGE:CA								
Repair Serious Damage			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Construct touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Repairs 3d8+1/level point of damage to any construct (max +15)	SOURCEPAGE:CA								
Resist Energy (Mass)	OUTPUTNAME:Resist Energy, Mass		TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:10 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Targeted creatures ignore damage from specified energy type	SOURCEPAGE:CA								
Resonating Bolt			TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:60-ft line		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Sonic energy deals 1d4 damage/level (max 10d4)	SOURCEPAGE:CA								
Ring of Blades			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Blades surround you, damaging other creatures (1d6+1/level damage)	SOURCEPAGE:CA								
Scales of the Lizard			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Grants +2 or higher enhancement bonus to natural armor	SOURCEPAGE:CA								
Secret Signs			TYPE:Arcane			SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One intelligent creature		DURATION:1 round	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Communicate a simple nonverbal message to one intelligent creature	SOURCEPAGE:CA								
Servant Horde			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Invisible, mindless, shapeless servants		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Create 2d6 Unseen Servant +1/level (max +15)	SOURCEPAGE:CA								
Shadow Binding			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius burst		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Ribbonlike shadows daze and entangle creatures in 10-ft radius burst	SOURCEPAGE:CA								
Sign of Sealing			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One door, chest or portal up to 30 sq ft/level in size		DURATION:Permanent	SAVEINFO:Reflex half; See Text	SPELLRES:No	DESC:Magical sigil protects door or chest, deals 1d4/level damage if opened (max 10d4)	SOURCEPAGE:CA		COST:100						
Sign of Sealing (Greater)	OUTPUTNAME:Sign of Sealing, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One door, chest or portal up to 30 sq ft/level in size		DURATION:Permanent	SAVEINFO:Reflex half; See Text	SPELLRES:No	DESC:Magical sigil protects door, chest or open space, deals 1d6/level damage if opened (max 20d6)	SOURCEPAGE:CA		COST:500						
Smoke Ladder			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:A ladder of smoke		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Smoke transforms into ladder up to 10-ft long/level	SOURCEPAGE:CA								
Snake Darts			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or two creatures		DURATION:Instantaneous; See text	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Two snakes hit one or two targets, deals 3d6 damage and inject poison (1d6 Con damage, repeats in 1 min)	SOURCEPAGE:CA								
Sphere of Ultimate Destruction			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:2-ft-radius sphere		DURATION:1 round/level	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Featureless black sphere moves 30-ft/round, disintegrates on ranged touch attack	SOURCEPAGE:CA								
Spirit Binding			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See Text	COMPS:V, S	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Up to 16 HD worth of spirits, no two of which can be more than 30 ft apart when they appear		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Spirit Binding (Lesser), but traps up to 16 HD of spirits	SOURCEPAGE:CA								
Spirit Binding (Lesser)	OUTPUTNAME:Spirit Bind, Lesser		TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See Text	COMPS:V, S	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One spirit of up to 8 HD		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Traps spirit creature of 8 HD or less until it performs a task	SOURCEPAGE:CA								
Spirit Binding (Greater)	OUTPUTNAME:Spirit Bind, Greater		TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See Text	COMPS:V, S	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Up to 32 HD worth of spirits, no two of which can be more than 30 ft apart when they appear		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Spirit Binding (Lesser), but traps up to 24 HD of spirits	SOURCEPAGE:CA								
Spirit Needle			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One spirit creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Needle pins spirit in place in corporeal form	SOURCEPAGE:CA								
Spirit Self			TYPE:Arcane			SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Your incorporeal spirit separates from your body	SOURCEPAGE:CA								
Spiritwall			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Swirling wall whose area is up to one 10-ft square/level, or a sphere or hemisphere with a radius of up to 1-ft/level		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Wall of spirit-form causes panic, deals 1d10 damage if touched, can bestow negative levels if passed through	SOURCEPAGE:CA								
Steam Breath			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:30 ft.	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Superheated steam deals 1d6/level fire damage (max 10d6)	SOURCEPAGE:CA								
Stony Grasp			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Animated stone arm		DURATION:1 rounds/level	SAVEINFO:None	SPELLRES:Yes	DESC:Arm made of soil and rock grapples foes	SOURCEPAGE:CA								
Summon Elemental Monolith			TYPE:Arcane.Divine	CLASSES:Cleric=9|Druid=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:See Text	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One summoned elemental monolith		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Calls powerfull elemental creature to fight for you	SOURCEPAGE:CA		COST:100						
Summoning Wind			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:10 minutes	RANGE:10 miles/level	TARGETAREA:Up to 10 creatures/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Send a short message to 10 creatures/level	SOURCEPAGE:CA								
Invisibility (Superior)	OUTPUTNAME:Invisibility, Superior		TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:10 minutes	RANGE:Personal or Touch	TARGETAREA:You or a creature or object weighting no more than 100 lbs/level		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:Subject is invisible to sight, hearing and scent for 1 min/level and can attack	SOURCEPAGE:CA								
Swim			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One creature		DURATION:10 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subject gains swim speed, +8 bonus on Swim checks	SOURCEPAGE:CA								
Sword of Darkness			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Black blade of negative energy		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Blade of negative energy attacks independently, deals 1d4 damage, bestow one negative level	SOURCEPAGE:CA								
Sword of Deception			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Pale green blade of force		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Blade of energy attacks independently, deals 1d4 damage, penalizes subsequents save	SOURCEPAGE:CA								
Terra Cotta Warrior			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One statuette touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Statuette becomes a Medium animated object wich fights for you	SOURCEPAGE:CA		COST:1						
Terra Cotta Lion			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One statuette touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Statuette becomes a Huge animated object wich fights for you	SOURCEPAGE:CA		COST:10						
Thornskin			TYPE:Arcane.Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your unarmed attacks deal +1d6 damage; natural and unarmed attacks against you take 1d4 damage	SOURCEPAGE:CA								
Transfix			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One or more humanoids within a 10-ft radius emanation		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Humanoids freeze in place until condition you specify is met	SOURCEPAGE:CA								
Transmute Rock to Lava			TYPE:Arcane.Divine	CLASSES:Druid=9|Sorcerer,Wizard=9		SCHOOL:Transmutation		DESCRIPTOR:Earth|Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft cube		DURATION:Instantaneous	SAVEINFO:Reflex half; See Text	SPELLRES:No	DESC:Transform one 10-ft cube with subsequent fire damage and effects	SOURCEPAGE:CA								
Unluck			TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target remakes all rolls, use worse result for 1 round/target	SOURCEPAGE:CA								
Vitriolic Sphere			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:10-ft-radius burst		DURATION:Instantaneous; See text	SAVEINFO:See text	SPELLRES:No	DESC:Potent acid deals 1d4/level damage (max +15d4) plus possible damage following two rounds	SOURCEPAGE:CA								
Wall of Bones			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Wall whoose area is up to one 10-ft square/level		DURATION:10 minute	SAVEINFO:None	SPELLRES:No	DESC:Shapeable wall grants cover and concealment, deals damage to anyone who tries to pass	SOURCEPAGE:CA								
