SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
7				ABILITY:Special Ability|AUTOMATIC|Reflective Change|Master Transmogrif Reflective Change								
8	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Manifest Qualities								
9	ADD:SPELLCASTER|Arcane											
10				ABILITY:Special Ability|AUTOMATIC|Infinite Variety								
#												
CLASS:Mindbender	HD:4	TYPE:PC.Prestige	ABB:Mnd	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Mindbender	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:4,Bluff=4,Diplomacy=4,Intimidate=4,Sense Motive=4	PRESPELL:1,Charm Person	PRESPELLTYPE:1,Arcane=5	PRESPELLCAST:TYPE=Arcane							
CLASS:Mindbender	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|Diplomacy|Intimidate|TYPE.Knowledge|TYPE.Profession|Sense Motive|Spellcraft										
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Telepathy			BONUS:VAR|TelepathyRange|100	AUTO:LANG|Telepathy				
2				ABILITY:Special Ability|AUTOMATIC|Skill Boost|Mindbender Skill Boost|Push the Weak Mind|Mindbender Push the Weak Mind			BONUS:VAR|MindbenderSkillBoostLVL|CL	BONUS:VAR|MindbenderPushTheWeakMindLVL|CL				
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Mindread|Mindbender Mindread			BONUS:VAR|MindbenderMindreadLVL|CL					
4				ABILITY:Special Ability|AUTOMATIC|Eternal Charm|Mindbender Eternal Charm			BONUS:VAR|MindbenderEternalCharmLVL|CL					
5	ADD:SPELLCASTER|Arcane											
6							BONUS:ABILITYPOOL|Improved Caster Level|2					
7	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Dominate (Sp)			BONUS:VAR|DominatePerDay|1					
8												
9	ADD:SPELLCASTER|Arcane											
10				ABILITY:Special Ability|AUTOMATIC|Thrall			BONUS:ABILITYPOOL|Improved Caster Level|2					
#												
###TODO CONTIGUOUS:Seeker of the Song												
CLASS:Seeker of the Song	HD:6	TYPE:PC.Prestige	ABB:Ses	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	EXCLASS:Ex Seeker of the Song		
CLASS:Seeker of the Song	PRESKILL:1,Knowledge (Arcana)=13	PRESKILL:1,TYPE.Perform=13	PREFEAT:1,Skill Focus(TYPE.Perform)	PREABILITY:1,CATEGORY=Special Ability,Bardic Music	PRETEXT:Must have been exposed to the primal music by hearing another Seeker of the Song use a Seeker Music Ability							
CLASS:Seeker of the Song	STARTSKILLPTS:4	CSKILL:Climb|Concentration|TYPE.Craft|Diplomacy|Jump|Knowledge (Arcana)|Listen|TYPE.Perform|TYPE.Profession|Ride|Sense Motive|Spot|Swim										
1				ABILITY:Special Ability|AUTOMATIC|Seeker Music			BONUS:VAR|SeekerMusicLvl|CL	BONUS:VAR|SeekerMusicTimes|CL				
1				ABILITY:Special Ability|AUTOMATIC|Seeker Burning Melody|Seeker Burning Melody Refrain|PREVARGTEQ:SeekerMusicLvl,1|PRESKILL:1,TYPE.Perform=14								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Song of Unmaking|PREVARGTEQ:SeekerMusicLvl,2|PRESKILL:1,TYPE.Perform=15								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Dirge of Frozen Loss|Seeker Dirge of Frozen Loss Refrain|PREVARGTEQ:SeekerMusicLvl,3|PRESKILL:1,TYPE.Perform=16								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Song of Life|Seeker Song of Life Refrain|PREVARGTEQ:SeekerMusicLvl,4|PRESKILL:1,TYPE.Perform=17								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Anthem of Thunder and Pain|Seeker Anthem of Thunder and Pain Refrain|PREVARGTEQ:SeekerMusicLvl,5|PRESKILL:1,TYPE.Perform=18								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Hymn of Spelldeath|Seeker Hymn of Spelldeath Refrain|PREVARGTEQ:SeekerMusicLvl,6|PRESKILL:1,TYPE.Perform=19								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Ballad of Agony Reborn|Seeker Ballad of Agony Reborn Refrain|PREVARGTEQ:SeekerMusicLvl,7|PRESKILL:1,TYPE.Perform=20								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Aria of Everywhere|PREVARGTEQ:SeekerMusicLvl,8|PRESKILL:1,TYPE.Perform=21								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Dirge of Songdeath|Seeker Dirge of Songdeath Refrain|PREVARGTEQ:SeekerMusicLvl,9|PRESKILL:1,TYPE.Perform=22								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Note of Solitude|PREVARGTEQ:SeekerMusicLvl,10|PRESKILL:1,TYPE.Perform=23								
#												
1				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (+2 AC)								
2				ABILITY:Special Ability|AUTOMATIC|Combine Song								
3												
4				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (+2 ST)								
5				ABILITY:Special Ability|AUTOMATIC|Subvocalize								
6												
7				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (DR)								
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (Freedom of movement)								
#												
CLASS:Ex Seeker of the Song	HD:6	TYPE:PC.Prestige	ABB:xSes	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	VISIBLE:NO		
CLASS:Ex Seeker of the Song	STARTSKILLPTS:4	CSKILL:Climb|Concentration|TYPE.Craft|Diplomacy|Jump|Knowledge (Arcana)|Listen|TYPE.Perform|TYPE.Profession|Ride|Sense Motive|Spot|Swim										
1				ABILITY:Special Ability|AUTOMATIC|Seeker Music			BONUS:VAR|SeekerMusicLvl|CL	BONUS:VAR|SeekerMusicTimes|CL				
1				ABILITY:Special Ability|AUTOMATIC|Seeker Burning Melody|Seeker Burning Melody Refrain|PREVARGTEQ:SeekerMusicLvl,1|PRESKILL:1,TYPE.Perform=14								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Song of Unmaking|PREVARGTEQ:SeekerMusicLvl,2|PRESKILL:1,TYPE.Perform=15								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Dirge of Frozen Loss|Seeker Dirge of Frozen Loss Refrain|PREVARGTEQ:SeekerMusicLvl,3|PRESKILL:1,TYPE.Perform=16								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Song of Life|Seeker Song of Life Refrain|PREVARGTEQ:SeekerMusicLvl,4|PRESKILL:1,TYPE.Perform=17								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Anthem of Thunder and Pain|Seeker Anthem of Thunder and Pain Refrain|PREVARGTEQ:SeekerMusicLvl,5|PRESKILL:1,TYPE.Perform=18								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Hymn of Spelldeath|Seeker Hymn of Spelldeath Refrain|PREVARGTEQ:SeekerMusicLvl,6|PRESKILL:1,TYPE.Perform=19								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Ballad of Agony Reborn|Seeker Ballad of Agony Reborn Refrain|PREVARGTEQ:SeekerMusicLvl,7|PRESKILL:1,TYPE.Perform=20								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Aria of Everywhere|PREVARGTEQ:SeekerMusicLvl,8|PRESKILL:1,TYPE.Perform=21								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Dirge of Songdeath|Seeker Dirge of Songdeath Refrain|PREVARGTEQ:SeekerMusicLvl,9|PRESKILL:1,TYPE.Perform=22								
1				ABILITY:Special Ability|AUTOMATIC|Seeker Note of Solitude|PREVARGTEQ:SeekerMusicLvl,10|PRESKILL:1,TYPE.Perform=23								
#												
1				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (+2 AC)								
2				ABILITY:Special Ability|AUTOMATIC|Combine Song								
3												
4				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (+2 ST)								
5				ABILITY:Special Ability|AUTOMATIC|Subvocalize								
6												
7				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (DR)								
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Rapture of the Song (Freedom of movement)								
#												
CLASS:Sublime Chord	HD:6	TYPE:PC.Prestige	ABB:Sub	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Sublime Chord	PRESKILL:2,Knowledge (Arcana)=13,Listen=13	PRESKILL:1,TYPE.Perform=10	PRESKILL:2,Profession (Astrologer)=6,Spellcraft=6	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=3	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						
CLASS:Sublime Chord	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Decipher Script|Diplomacy|TYPE.Knowledge|Listen|TYPE.Perform|TYPE.Profession|Search|Speak Language|Spellcraft|Spot										
CLASS:Sublime Chord	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO			SPELLLIST:3|Bard|Sorcerer|Wizard						
1				ABILITY:Special Ability|AUTOMATIC|Bardic Knowledge			BONUS:VAR|BardicKnowledgeLvl|CL	BONUS:VAR|BardicKnowledge|BardicKnowledgeLvl				
1				ABILITY:Special Ability|AUTOMATIC|Sublime Music			BONUS:VAR|SublimeMusicLvl|CL					
#												
1				ABILITY:Special Ability|AUTOMATIC|Sublime Song of Arcane Power|PREVARGTEQ:SublimeMusicLvl,2|PRESKILL:1,TYPE.Perform=12								
1				ABILITY:Special Ability|AUTOMATIC|Sublime Song of Timelessness|PREVARGTEQ:SublimeMusicLvl,6|PRESKILL:1,TYPE.Perform=16								
1				ABILITY:Special Ability|AUTOMATIC|Sublime Song of Cosmic Fire|PREVARGTEQ:SublimeMusicLvl,10|PRESKILL:1,TYPE.Perform=20								
#												
1	CAST:0,0,0,0,2,1	KNOWN:0,0,0,0,3,1										
2	CAST:0,0,0,0,2,2	KNOWN:0,0,0,0,4,2										
3	CAST:0,0,0,0,3,2,1	KNOWN:0,0,0,0,4,2,1										
4	CAST:0,0,0,0,3,3,2	KNOWN:0,0,0,0,4,3,2										
5	CAST:0,0,0,0,3,3,2,1	KNOWN:0,0,0,0,4,3,2,1										
6	CAST:0,0,0,0,4,3,3,2	KNOWN:0,0,0,0,4,4,3,2										
7	CAST:0,0,0,0,4,4,3,2,1	KNOWN:0,0,0,0,4,4,3,2,1										
8	CAST:0,0,0,0,4,4,3,3,2	KNOWN:0,0,0,0,4,4,4,3,2										
9	CAST:0,0,0,0,4,4,4,3,2,1	KNOWN:0,0,0,0,4,4,4,3,2,1										
10	CAST:0,0,0,0,5,4,4,3,3,2	KNOWN:0,0,0,0,4,4,4,4,3,2										
#												
CLASS:Suel Arcanamach	HD:8	TYPE:PC.Prestige	ABB:Sua	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Suel Arcanamach	PREATT:6	PRESKILL:3,Concentration=4,Jump=4,Tumble=4	PRESKILL:1,Spellcraft=5	PREFEAT:2,Combat Casting,Iron Will	PRETEXT:Must be proficent with at least four martial or exotic weapon. Must read the Grimoire Arcanamacha, or study with a willing instructor who as done so.	PRELANG:1,Ancient Suloise						
CLASS:Suel Arcanamach	STARTSKILLPTS:4	CSKILL:Bluff|Climb|Concentration|TYPE.Craft|Disguise|Escape Artist|Hide|Jump|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Listen|Move Silently|TYPE.Profession|Search|Spellcraft|Spot|Swim|Tumble|Use Rope										
CLASS:Suel Arcanamach	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Suel Arcanamach|CL	SPELLLIST:1|Wizard						
1	CAST:0,1	KNOWN:0,1		ABILITY:Special Ability|AUTOMATIC|Ignore Spell Failure|Suel Arcanamach Ignore Spell Failure|Tenacious Spells			BONUS:VAR|SuelArcanamachIgnoreSpellFailureLVL|CL					
2	CAST:0,1,0	KNOWN:0,2,1		ABILITY:Special Ability|AUTOMATIC|Dispelling Strike|Suel Arcanamach Dispelling Strike			BONUS:VAR|SuelArcanamachDispellingStrikeLVL|CL					
3	CAST:0,2,1	KNOWN:0,2,2		ABILITY:Special Ability|AUTOMATIC|Extended Spellstrength								
4	CAST:0,2,2,0	KNOWN:0,2,2,1										
5	CAST:0,3,2,1	KNOWN:0,3,2,2										
6	CAST:0,3,3,2,0	KNOWN:0,3,3,2,1										
7	CAST:0,3,3,2,1	KNOWN:0,3,3,2,2										
8	CAST:0,4,3,3,2,0	KNOWN:0,4,3,3,2,1										
9	CAST:0,4,4,3,2,1	KNOWN:0,4,4,3,2,2										
10	CAST:0,4,4,3,3,2	KNOWN:0,4,4,3,3,2										
#												
CLASS:Wayfarer Guide	HD:6	TYPE:PC.Prestige	ABB:Way	MAXLEVEL:3	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Wayfarer Guide	PRESKILL:2,Knowledge (Arcana)=10,Knowledge (Geography)=10	PRESPELL:1,Teleport	PRETEXT:A prospective wayfarer must join the Wayfarer Union									
CLASS:Wayfarer Guide	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|TYPE.Profession|Speak Language|Spellcraft										
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Enhanced Capacity|Wayfarer Guide Enhanced Capacity|Improved Range			BONUS:VAR|WayfarerGuideEnhancedCapacityLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Extra Teleportation			BONUS:VAR|ExtraTeleportLVL|CL					
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Enhanced Accuracy								
#												
CLASS:Wild Mage	HD:4	TYPE:PC.Prestige	ABB:Wil	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Wild Mage	PREALIGN:CG,CN,CE	PRESKILL:2,Knowledge (The Planes)=4,Use Magic Device=4	PRESKILL:1,Spellcraft=8	PREFEAT:1,Magical Aptitude	PREFEAT:1,TYPE.Metamagic	PRESPELLTYPE:1,Arcane=1	PRESPELLCAST:TYPE=Arcane					
CLASS:Wild Mage	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Intimidate|TYPE.Knowledge|TYPE.Profession|Spellcraft|Use Magic Device										
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Wild Magic								
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Random Deflector|Wild Mage Random Deflector			BONUS:VAR|WildMageRandomDeflectorLVL|CL					
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Student of Chaos								
4	ADD:SPELLCASTER|Arcane											
5	ADD:SPELLCASTER|Arcane											
6	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Chaotic Mind								
7	ADD:SPELLCASTER|Arcane											
8	ADD:SPELLCASTER|Arcane											
9	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Reckless Dweomer								
10	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Wildstrike|Wild Mage Wildstrike								
