SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net						
Storm	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Storm=1|Entropic Shield|Storm=2|Gust of Wind|Storm=3|Call Lightning|Storm=4|Sleet Storm|Storm=5|Ice Storm|Storm=6|Summon Monster VI ~ Air|Storm=7|Control Weather|Storm=8|Whirlwind|Storm=9|Storm of Vengeance	DESC:You gain resistance to electricity 5.	ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity	BONUS:VAR|ElectricityResistanceBonus|5			
Suffering	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Suffering=1|Bane|Suffering=2|Bear's Endurance|Suffering=3|Bestow Curse|Suffering=4|Enervation|Suffering=5|Feeblemind|Suffering=6|Harm|Suffering=7|Eyebite|Suffering=8|Symbol of Pain|Suffering=9|Horrid Wilting	DESC:You may use pain touch once per day	ABILITY:Special Ability|AUTOMATIC|Pain Touch	BONUS:VAR|PainTouchPerDay|1			
Summoner	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Summoner=1|Summon Monster I|Summoner=2|Summon Monster II|Summoner=3|Summon Monster III|Summoner=4|Planar Ally (Lesser)|Summoner=5|Summon Monster V|Summoner=6|Planar Ally|Summoner=7|Summon Monster VII|Summoner=8|Planar Ally (Greater)|Summoner=9|Gate	DESC:Add +2 to your caster level for all Conjuration (summoning) or Conjuration (calling) spells.	BONUS:CASTERLEVEL|SUBSCHOOL.Summoning|2	BONUS:CASTERLEVEL|SUBSCHOOL.Calling|2			
Time	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Time=1|True Strike|Time=2|Gentle Repose|Time=3|Haste|Time=4|Freedom of Movement|Time=5|Permanency|Time=6|Contingency|Time=7|Legend Lore|Time=8|Foresight|Time=9|Time Stop	DESC:You gain Improved Initiative as a bonus feat.	AUTO:FEAT|Improved Initiative				
Trade	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Trade=1|Message|Trade=2|Gembomb|Trade=3|Eagle's Splendor|Trade=4|Sending|Trade=5|Fabricate|Trade=6|True Seeing|Trade=7|Mordenkainen's Magnificent Mansion|Trade=8|Mind Blank|Trade=9|Discern Location	DESC:Detect Though as spell-like ability once per day.	ABILITY:Special Ability|AUTOMATIC|Detect Thoughts (Sp)	BONUS:VAR|DetectThoughtsPerDay|1	BONUS:VAR|DetectThoughtsLVL|classlevel("Cleric")		
Tyranny	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Tyranny=1|Command|Tyranny=2|Enthrall|Tyranny=3|Discern Lies|Tyranny=4|Fear|Tyranny=5|Command (Greater)|Tyranny=6|Geas/Quest|Tyranny=7|Bigby's Grasping Hand|Tyranny=8|Charm Monster (Mass)|Tyranny=9|Dominate Monster	DESC:Add +1 to the save DC of any Enhancement (Compulsion) spell you cast.	BONUS:DC|SUBSCHOOL.Compulsion|1				
Undeath	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Undeath=1|Detect Undead|Undeath=2|Desecrate|Undeath=3|Animate Dead|Undeath=4|Death Ward|Undeath=5|Circle of Death|Undeath=6|Create Undead|Undeath=7|Control Undead|Undeath=8|Create Greater Undead|Undeath=9|Energy Drain	DESC:You gain Extra Turning as a bonus feat.	AUTO:FEAT|Extra Turning				
Wealth	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Wealth=1|Alarm|Wealth=2|Obscure Object|Wealth=3|Glyph of Warding|Wealth=4|Detect Scrying|Wealth=5|Leomund's Secret Chest|Wealth=6|Forbiddance|Wealth=7|Sequester|Wealth=8|Discern Location|Wealth=9|Antipathy	DESC:Add appraise to your list of cleric class skills. You gain Skill Focus (Appraise) as a bonus feat.	CSKILL:Appraise	AUTO:FEAT|Skill Focus(Appraise)			
Windstorm	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Windstorm=1|Obscuring Mist|Windstorm=2|Binding Winds|Windstorm=3|Call Lightning|Windstorm=4|Ice Storm|Windstorm=5|Arc of Lightning|Windstorm=6|Cloudwalkers|Windstorm=7|Control Weather|Windstorm=8|Whirlwind|Windstorm=9|Whirlwind (Greater)	DESC:Inclement weather has less of an effect on you. Rain and snow don't penalize your Spot and Search checks. You can move through snow-covered and icy terrain at your normal movement. Wind effects, whether natural or magical, affect you as if you were one size category larger.					
Wrath	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Wrath=1|Rhino's Rush|Wrath=2|Bull's Strength|Wrath=3|Rage|Wrath=4|Shout|Wrath=5|Righteous Might|Wrath=6|Song of Discord|Wrath=7|Tenser's Transformation|Wrath=8|Shout (Greater)|Wrath=9|Storm of Vengeance	DESC:Once per day, you can subtract a number of points from your Wisdom score equal to or less than your cleric level. For every 2 points you subtract from your Wisdom score, add 1 point and add them to your Strength score. You suffer all the effects of reduced Wisdom, including access to spells and bonus spells, reduction of Will saves, and penalties on Wisdom-based skills. This trade between ability scores lasts for 1 round per cleric level and cannot be ended prematurely.					

Abyss (Placeholder)	SOURCEPAGE:SpC		DESC:choose Abyss to access full domain.|!PREDOMAIN:1,Abyss					
Abyss	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Abyss=1|Align Weapon,Cause Fear|Abyss=2|Bull's Strength,Death Knell|Abyss=3|Babau Slime,Summon Monster III ~ Chaotic Evil|Abyss=4|Balor Nimbus,Poison|Abyss=5|Slay Living,Summon Monster V ~ Chaotic Evil|Abyss=6|Bull's Strength (Mass),Harm|Abyss=7|Destruction,Summon Monster VII ~ Chaotic Evil|Abyss=8|Finger of Death,Bodak's Glare|Abyss=9|Implosion,Summon Monster IX ~ Chaotic Evil	DESC:Once per day, you may channel the furious power of the demons. This power grants you +4 bonus to STR but also gives -2 penalty to CA. Add Intimidate to your list of cleric skills.	PREDOMAIN:1,Abyss (Placeholder)	PREALIGN:CE	CSKILL:Intimidate		
Arborea (Placeholder)	SOURCEPAGE:SpC		DESC:choose Arborea to access full domain.|!PREDOMAIN:1,Arborea					
Arborea	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Arborea=1|Endure Elements,Longstrider|Arborea=2|Aid,Eagle's Splendor|Arborea=3|Heroism,Summon Monster III ~ Chaotic Good|Arborea=4|Neutralize Poison,Opalescent Glare|Arborea=5|Break Enchantment,Summon Monster V ~ Chaotic Good|Arborea=6|Heroes' Feast,Eagle's Splendor (Mass)|Arborea=7|Spell Turning,Summon Monster VII ~ Chaotic Good|Arborea=8|Heroism (Greater),Mind Blank|Arborea=9|Freedom,Summon Monster IX ~ Chaotic Good	DESC:Once per day, you may channel the glory of the eladrin. This power grants you a morale bonus on weapon damage rolls and saves against charm and fear effects equal to CHA (if any). Add Survival to your list of cleric skills.	PREDOMAIN:1,Arborea (Placeholder)	PREALIGN:CG	CSKILL:Survival		
Baator (Placeholder)	SOURCEPAGE:SpC		DESC:choose Baator to access full domain.|!PREDOMAIN:1,Baator					
Baator	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Baator=1|Bane,Disguise Self|Baator=2|Darkness,Fox's Cunning|Baator=3|Detect Thoughts,Summon Monster III ~ Lawful Evil|Baator=4|Deeper Darkness,Suggestion|Baator=5|Spell Resistance,Summon Monster V ~ Lawful Evil|Baator=6|Dominate Person,Fox's Cunning (Mass)|Baator=7|Repulsion,Summon Monster VII ~ Lawful Evil|Baator=8|Demand,Spell Turning|Baator=9|Imprisonment,Summon Monster IX ~ Lawful Evil	DESC:You have the straordinary ability to see perfectly in darkness of any kind, even that created by Deeper Darkness. Add Bluff to your list of cleric class skills.	PREDOMAIN:1,Baator (Placeholder)	PREALIGN:LE	CSKILL:Bluff	ABILITY:Special Ability|VIRTUAL|See in Darkness	
Celestial (Placeholder)	SOURCEPAGE:SpC		DESC:choose Celestia to access full domain.|!PREDOMAIN:1,Celestia					
Celestial	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Celestia=1|Light of Lunia,Shield of Faith|Celestia=2|Bear's Endurance,Shield Other|Celestia=3|Magic Vestment,Summon Monster III ~ Lawful Good|Celestia=4|Divine Power,Magic Weapon (Greater)|Celestia=5|Righteous Might,Summon Monster V ~ Lawful Good|Celestia=6|Blade Barrier,Bear's Endurance (Mass)|Celestia=7|Regenerate,Summon Monster VII ~ Lawful Good|Celestia=8|Power Word Stun,Shield of Law|Celestia=9|Foresight,Summon Monster IX ~ Lawful Good	DESC:Once per day as a free action, you can generate an aura of menace similar to that of the archons. The aura lasts for 1 minute. Add Sense Motive to your list of cleric skills.	PREDOMAIN:1,Celestial (Placeholder)	PREALIGN:LG	CSKILL:Sense Motive	ABILITY:Special Ability|VIRTUAL|Aura of Menace	
Elysium (Placeholder)	SOURCEPAGE:SpC		DESC:choose Elysium to access full domain.|!PREDOMAIN:1,Elysium					
Elysium	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Elysium=1|Charm Person,Protection from Evil|Elysium=2|Enthrall,Planar Tolerance|Elysium=3|Magic Circle against Evil,Mantle of Good|Elysium=4|Charm Monster,Holy Smite|Elysium=5|Dispel Evil,Cure Light Wounds (Mass)|Elysium=6|Find the Path,Mind Fog|Elysium=7|Control Weather,Holy Word|Elysium=8|Holy Aura,Sunburst|Elysium=9|Heal (Mass),Moment of Prescience	DESC:You gain the ability to smite evil with a single melee attack once per day. At 5th level and every fi ve levels thereafter, you can use this smite attack one additional time per day.	PREDOMAIN:1,Elysium (Placeholder)	PREALIGN:NG		ABILITY:Special Ability|VIRTUAL|Smite Evil|Domain ~ Elysium Smite Evil	BONUS:VAR|DomainElysiumSmiteEvilLVL|classlevel("Cleric")
Hades (Placeholder)	SOURCEPAGE:SpC		DESC:choose Hades to access full domain.|!PREDOMAIN:1,Hades					
Hades	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Hades=1|Doom,Protection from Good|Hades=2|Resist Planar Alignment|Hades=3|Magic Circle against Good,Mantle of Evil|Hades=4|Contagion,Unholy Blight|Hades=5|Crushing Despair,Dispel Good|Hades=6|Mind Fog,Waves of Fatigue|Hades=7|Blasphemy,Plane Shift|Hades=8|Unholy Aura,Waves of Exhaustion|Hades=9|Energy Drain,Gate	DESC:You gain the ability to smite good with a single melee attack once per day. At 5th level and every fi ve levels thereafter, you can use this smite attack one additional time per day.	PREDOMAIN:1,Hades (Placeholder)	PREALIGN:NE		ABILITY:Special Ability|VIRTUAL|Smite Good|Domain ~ Hades Smite Good	BONUS:VAR|DomainHadesSmiteGoodLVL|classlevel("Cleric")
Limbo (Placeholder)	SOURCEPAGE:SpC		DESC:choose Limbo to access full domain.|!PREDOMAIN:1,Limbo					
Limbo	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Limbo=1|Confusion (Lesser),Protection from Law|Limbo=2|Entropic Shield,Resist Planar Alignment|Limbo=3|Magic Circle against Law,Mantle of Chaos|Limbo=4|Chaos Hammer,Perinarch|Limbo=5|Baleful Polymorph,Dispel Law|Limbo=6|Animate Objects,Insanity|Limbo=7|Song of Discord,Word of Chaos|Limbo=8|Cloak of Chaos,Otto's Irresistible Dance|Limbo=9|Perinarch (Planar),Shapechange	DESC:You gain the ability to smite law with a single melee attack once per day. At 5th level and every fi ve levels thereafter, you can use this smite attack one additional time per day.	PREDOMAIN:1,Limbo (Placeholder)	PREALIGN:CN		ABILITY:Special Ability|VIRTUAL|Smite Law|Domain ~ Limbo Smite Law	BONUS:VAR|DomainLimboSmiteLawLVL|classlevel("Cleric")
Mechanus (Placeholder)	SOURCEPAGE:SpC		DESC:choose Mechanus to access full domain.|!PREDOMAIN:1,Mechanus					
Mechanus	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Mechanus=1|Command,Protection from Chaos|Mechanus=2|Calm Emotions,Mechanus Mind|Mechanus=3|Magic Circle against Chaos,Mantle of Law|Mechanus=4|Discern Lies,Order's Wrath|Mechanus=5|Dispel Chaos,Mark of Justice|Mechanus=6|Hold Monster,Wall of Gears|Mechanus=7|Dictum,Hold Person (Mass)|Mechanus=8|Iron Body,Shield of Law|Mechanus=9|Call Marut,Mordenkainen's Disjunction	DESC:You gain the ability to smite chaos with a single melee attack once per day. At 5th level and every fi ve levels thereafter, you can use this smite attack one additional time per day.	PREDOMAIN:1,Mechanus (Placeholder)	PREALIGN:LN		ABILITY:Special Ability|VIRTUAL|Smite Chaos|Domain ~ Mechanus Smite Chaos	BONUS:VAR|DomainMechanusSmiteChaosLVL|classlevel("Cleric")
