SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
Wall of Evil			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level or a sphere or hemisphere with radius of up to 5-ft/2 levels.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:+2 to AC and saves, counter mind control, hedge out elementals and outsiders in 10-ft. radius and 10 minutes/level from the designated hostile side.	SOURCEPAGE:SpC		COST:25									
Wall of Gears			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A straight wall of moving gears whose area is up to one 10-ft square/level		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:Wall deals 1d6 per two caster levels [max 15d6] to all creatures within 10 ft. Reflex for half.	SOURCEPAGE:SpC											
Wall of Gloom			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow	DESCRIPTOR:Darkness|Fear|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:Concentration + 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Wall of darkness provides concealment and deters entry.	SOURCEPAGE:SpC											
Wall of Good			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level or a sphere or hemisphere with radius of up to 5-ft/2 levels.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:+2 to AC and saves,  counter mind control, hedge out elementals and outsiders in 10-ft. radius and 10 minutes/level from the designated hostile side.	SOURCEPAGE:SpC		COST:25									
Wall of Dispel Magic (Greater)	OUTPUTNAME:Wall of Dispel Magic, Greater		TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As wall of dispel magic, but is like great dispel magic.	SOURCEPAGE:SpC											
Wall of Law			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Lawful	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level or a sphere or hemisphere with radius of up to 5-ft/2 levels.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:+2 to AC and saves, counter mind control, hedge out elementals and outsiders in 10-ft. radius and 10 minutes/level from the designated hostile side.	SOURCEPAGE:SpC		COST:25									
Wall of Light			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level or a sphere or hemisphere with radius of up to 5-ft/2 levels.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Any creature passing through the wall becomes dazzled. You can see through the wall.	SOURCEPAGE:SpC											
Wall of Limb			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:A wall of whirling limbs up to 20-ft long/level or a ring ow whirling limbs with a radius of up to 5-ft/2 levels, either form 20-ft high.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:A creature attempting to move through the wall takes 5d6 and must make Str check or become stuck in the wall.	SOURCEPAGE:SpC											
Wall of Sand			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=5|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:Concentration + 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creates a churning wall of sand.	SOURCEPAGE:SpC											
Wall of Smoke			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:No	DESC:Makes a wall of black smoke, causes nausea.	SOURCEPAGE:SpC											
Wall of Water			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:10 minutes/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Creates a vertical wall of swirling water.	SOURCEPAGE:SpC											
War Cry			TYPE:Arcane	CLASSES:Bard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Gain +4 morale bonus on attack rolls and damage rolls made as part of a charge, foe must make Will save or become panicked [SR applies].	SOURCEPAGE:SpC											
Warning Shout			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 immediate action	RANGE:30-ft.	TARGETAREA:All allies within 30-ft.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Removes flat-footed condition from all allies.	SOURCEPAGE:SpC											
Waterspout			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:Cylinder (5-ft radius, 80-ft high).		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Create waterspout.	SOURCEPAGE:SpC											
Wave of Grief			TYPE:Arcane.Divine	CLASSES:Bard=2|Blackguard=2|Cleric=2		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Targets become overwhelmed with grief. They suffer a -3 morale penalty on all attack rolls,  saving throws, ability checks, and skill checks.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|TOHIT|-3|TYPE=Morale				TEMPBONUS:ANYPC|CHECKS|ALL|-3|TYPE=Morale	TEMPBONUS:ANYPC|SKILL|ALL|-3|TYPE=Morale	TEMPDESC:Suffer a -3 morale penalty on all attack rolls, saving throws, ability checks, and skill checks.
Weapon of Energy		VARIANTS:Acid|Cold|Electricity|Fire	TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One weapon		DURATION:1 round/level	SAVEINFO:Fort negates (harmless, object)	SPELLRES:Yes	DESC:Adds additional damage.	SOURCEPAGE:SpC											
Weapon of Impact			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One bludgeoning weapon or fifty bludgeoning projectiles, all of which must be in contact with one another at the time of casting.		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless, object)	SPELLRES:Yes	DESC:Double threat range of weapon.	SOURCEPAGE:SpC											
Weapon of Deity			TYPE:Divine	CLASSES:Blackguard=3|Cleric=3|Paladin=3		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.		DURATION:1 round/level	SAVEINFO:Fort negates (harmless, object)	SPELLRES:Yes	DESC:Imbue a weapon favored by your deity with special enhancements and abilities.	SOURCEPAGE:SpC											
Weapon Shift			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One melee weapon of up to 15 lb.		DURATION:1 minute/level	SAVEINFO:Fort negates (object)	SPELLRES:Yes	DESC:Transforms one non-magic weapon into a different melee weapon of the same size or smaller.	SOURCEPAGE:SpC											
Weather Eye			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Divination			COMPS:V, S, M, F	CASTTIME:1 hour	RANGE:1 mile + 1 mile/level	TARGETAREA:1-mile-radius + 1 mile/level centered on you.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You may accurately predict the natural weather up to one week into the future. If unnatural forces currently affect the weather then the spell acts as detect magic.	SOURCEPAGE:SpC											
Weighed in the Balance			TYPE:Divine			SCHOOL:Necromancy			COMPS:V	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Creatures in a 30-ft-radius spread centered on you.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Heals or harms based on alignment and status.	SOURCEPAGE:SpC											
Whirling Blade			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:60-ft line.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals weapon damage to all targets on the path can use Intelligence or Charisma for your modifier.	SOURCEPAGE:SpC											
Whirlwind (Greater)	OUTPUTNAME:Whirlwind, Greater		TYPE:Divine	CLASSES:Druid=9		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius tornado, up to 5-ft/level high, centered on a point in space.		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:More potent version of whirlwind.	SOURCEPAGE:SpC											
Wild Runner			TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Assume the physical appearance and many abilities of a centaur [MM 32].	SOURCEPAGE:SpC									TEMPBONUS:PC|VAR|SpellWildRunner|1		
Wind at the Back			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:12 hours	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Doubles overland speed of all targets.	SOURCEPAGE:SpC											
Wind Tunnel			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.		DURATION:1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Doubles range and grants +5 competence bonus to ranged attacks.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|TOHIT.Ranged|5|TYPE=Competence						
Wingbind			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:As earthbind [SPC 76] but creature falls and takes falling damage.	SOURCEPAGE:SpC											
Winged Mount			TYPE:Divine	CLASSES:Blackguard=4|Paladin=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Your touched special mount.		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Mount gains fly speed of 60 with maneurverability of good.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellWingedMount|1		
Wings of Air			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Winged creature touched.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Manuverability improves by one step.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|Maneuverability|1|TYPE=WingsOfAir		
Wings of Air (Greater)	OUTPUTNAME:Wings of Air		TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Winged creature touched.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Manuverability improves by two steps.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|Maneuverability|2|TYPE=WingsOfAir		
Wings of the Sea			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Increases creatures swim speed by 30 ft.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|MOVEADD|TYPE.Swim|30		
Winter Chill			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creature must suceed on save or take 1d6 points of cold damage and become fatigued.	SOURCEPAGE:SpC											
Winter's Embrace			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creature fails it's save takes 1d8 cold damage each round.	SOURCEPAGE:SpC											
Wither Limb			TYPE:Divine			SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Limbs of one humanoid.		DURATION:Permanent	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Caster choose whether to wither the arms or legs	 legs force the victim prone and reduce movement to 5 ft.	 arms makes it impossible to cast somantic or use objects.	SOURCEPAGE:SpC									
Withering Palm			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Your touch deals 1 pt of damage to both Strength and Constitution per two caster levels.	SOURCEPAGE:SpC							TEMPBONUS:ANYPC|STAT|STR,CON|-1*(%CHOICE/2)	CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level			
Wood Rot			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One nonmagical wooden object or a volume of wood or one plant creature.		DURATION:Instantaneous or 1 round/level.	SAVEINFO:None	SPELLRES:No	DESC:Deal damage to plants or destroy wooden objects.	SOURCEPAGE:SpC											
Wood Wose			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One nature servant.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Summon minor nature spirit to perform simple natural tasks.	SOURCEPAGE:SpC											
Word of Balance			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Creatures in a 30-ft-radius spread centered on you.		DURATION:Instantaneous	SAVEINFO:None or Will negates	SPELLRES:Yes	DESC:Speaks a word that affects creatures.	SOURCEPAGE:SpC											
Word of Binding			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One medium or smaller Humanoid of Monstrous Humanoid.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Creates masterwork manacles that attempt to bind your target.	SOURCEPAGE:SpC											
Wounding Whisper			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Abjuration		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Any creature attacking you in melee receives 1d6 +1 per caster level of sonic damage.	SOURCEPAGE:SpC											
Wrack			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid.		DURATION:1 round/level + 3d10 minutes	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target becomes helpless and after spell incurs -2 penalty to all rolls.	SOURCEPAGE:SpC											
Wracking Touch			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Fort half	SPELLRES:Yes	DESC:Deal 1d6 +1 per caster level [max +10] plus you get sneak attack damage if you possess the ability.	SOURCEPAGE:SpC											
Wraithstrike			TYPE:Arcane	CLASSES:Assassin=3|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Makes your melee attacks become touch attacks.	SOURCEPAGE:SpC											
Wrathful Castigation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Creature must make Fortitude save or die, make Will to avoid further or become dazed and a -4 penalty on saving throws for duration of the spell.	SOURCEPAGE:SpC											
Xorn Movement			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Move through earth and stone as a xorn.	SOURCEPAGE:SpC											
Zeal			TYPE:Divine	CLASSES:Blackguard=2|Paladin=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creates a divine shield to protect you as you close with a chosen opponent. You gain a +4 deflection bonus to your AC against all attacks of opportunity other than your chosen foe. You may move through enemies as if they were allies.	SOURCEPAGE:SpC											
Zealot Pact			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Evocation			COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched.		DURATION:Permanent until triggered, then 1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Gain +4 bonus and deal double damage against opposite alignment once spell is activated by first successful hit.	SOURCEPAGE:SpC			XPCOST:500								
Zone of Respite			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:2 rounds	RANGE:20-ft.	TARGETAREA:20-ft-radius emanation centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Creates a region that is temporarily protected from interplanar intrusion.	SOURCEPAGE:SpC											
Zone of Revelation			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Divination			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft-radius/level emanation centered on a point in space.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:All creatures and objects with a zone of relevation are made visible.	SOURCEPAGE:SpC											
