SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
One Mind			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Both you and mount gain +2 bonus on attack rolls [while mounted] +4 insight bonus to Spot and Listen, gain scent ability. Must remain within 10 ft. of mount.	SOURCEPAGE:SpC											
One Mind (Greater)	OUTPUTNAME:One Mind, Greater		TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Both you and mount gain +2 bonus on melee damage and attack rolls [while mounted] +4 insight bonus to Spot and Listen, gain scent ability. Must remain within 10 ft. of mount.	SOURCEPAGE:SpC											
One Mind (Lesser)	OUTPUTNAME:One Mind, Lesser		TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:+4 insight bonus to Spot and Listen, gain scent ability. Must remain within 10 ft. of mount.	SOURCEPAGE:SpC											
Ooze Puppet			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One ooze.		DURATION:24 hours/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Control one ooze to move and attack as you desire.	SOURCEPAGE:SpC											
Opalescent Glare			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Death|Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Gain gaze attack, evil creatures of 5 or less hit dice meets your gaze it dies [unless it saves] but is affected as if by fear.	SOURCEPAGE:SpC											
Orb of Acid			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of acid.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged Touch attack deals 1d6 points of acid damage per caster level [max 15d6]. Fort save to avoid becoming sick for 1 round.	SOURCEPAGE:SpC											
Orb of Acid (Lesser)	OUTPUTNAME:Orb of Acid, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of acid.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d8 points per two caster levels [3,5,etc max 5d8] of acid damage.	SOURCEPAGE:SpC											
Orb of Cold			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of cold.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/caster level [max 15d6] points of cold damage. Fort save to avoid becoming blind for 1 round.	SOURCEPAGE:SpC											
Orb of Cold (Lesser)	OUTPUTNAME:Orb of Cold, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of cold.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d8 points per two caster levels [3,5,etc max 5d8] points of cold damage.	SOURCEPAGE:SpC											
Orb of Electricity			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of electricity.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/caster level [max 15d6] points of electricity damage. Fort save to avoid becoming entangled for 1 round if wearing metal armor.	SOURCEPAGE:SpC											
Orb of Electricity (Lesser)	OUTPUTNAME:Orb of Electricity, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of electricity.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d8 points per two caster levels [3,5,etc max 5d8] points of electricity damage.	SOURCEPAGE:SpC											
Orb of Fire			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of fire.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/caster level [max 15d6] points of fire damage. Fort save to avoid becoming dazed for 1 round.	SOURCEPAGE:SpC											
Orb of Fire (Lesser)	OUTPUTNAME:Orb of Fire, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of fire.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d8 points per two caster levels [3,5,etc max 5d8] points of fire damage.	SOURCEPAGE:SpC											
Orb of Force			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One orb of force.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/caster level [max 15d6] points of force damage.	SOURCEPAGE:SpC											
#Orb of Force (Lesser)	OUTPUTNAME:Orb of Force, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One orb of force.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d8 points per two caster levels [3,5,etc max 5d8] points of fire damage.	SOURCEPAGE:SpC											
Orb of Sound			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of sonic energy.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/caster level [max 15d6] points of sonic damage. Fort save to avoid becoming defeaned for 1 round.	SOURCEPAGE:SpC											
Orb of Sound (Lesser)	OUTPUTNAME:Orb of Sound, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One orb of sonic energy.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged Touch attack deals 1d6/two caster level [max 10d6] points of sonic damage.	SOURCEPAGE:SpC											
Otyugh Swarm			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three or more otyughs, no two of which are more than 30-ft. Apart.		DURATION:Seven days or seven months	SAVEINFO:None	SPELLRES:No	DESC:Creates 3d4 otyughs or 1d3+1 Huge otyughs; see text.	SOURCEPAGE:SpC											
Owl's Insight			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Gain half your caster level as an enhancement bonus to Wisdom.	SOURCEPAGE:SpC							TEMPBONUS:ANYPC|STAT|WIS|(%CHOICE/2)|TYPE=Enhancement	CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level			
Panacea			TYPE:Divine	CLASSES:Cleric=4|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:Removes most conditions.	SOURCEPAGE:SpC											
Pavillon of Grandeur			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Extradimensional pavillion, up to five 10-ft cubes/level, plus feast for 12 creature/level.		DURATION:24 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure a grand pavilion for feasting.	SOURCEPAGE:SpC											
Perinarch			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:N/A		DURATION:1 round/level	SAVEINFO:None (object) and Reflex negates; See text	SPELLRES:No	DESC:Grants temporary over the terrain of limbo.	SOURCEPAGE:SpC											
Perinarch (Planar)	OUTPUTNAME:Perinarch, Planar		TYPE:Arcane.Divine	CLASSES:Druid=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:N/A		DURATION:1 round/level	SAVEINFO:None (object) and Reflex negates; See text	SPELLRES:No	DESC:Grants temporary over any morphic or highly morphic terrain.	SOURCEPAGE:SpC											
Persistent Blade			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One dagger made of force.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Brings a blade of force into being, you can attack with it.	SOURCEPAGE:SpC											
Phantasmal Assailant			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:Instantaneous	SAVEINFO:Will disbelief, then Fort half; See text	SPELLRES:Yes	DESC:Creates phantasms in targets mind.	SOURCEPAGE:SpC											
Phantasmal Decoy			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:Will negates, then Will disbelief; See text	SPELLRES:Yes	DESC:Create an illusion of a hated enemy.	SOURCEPAGE:SpC											
Phantasmal Disorientation			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Need to make a Will save to discern true landarks.	SOURCEPAGE:SpC											
Phantasmal Thief			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One nivisible, mindless, shapeless thief.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Invisible force like an unseen servant steals from creatures as you inaudibly direct it.	SOURCEPAGE:SpC											
Phantom Bear			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One summoned phantom bear.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As phantom wolf.	SOURCEPAGE:SpC											
Phantom Foe			TYPE:Arcane	CLASSES:Assassin=2|Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Will disbelief	SPELLRES:No	DESC:Creates a duplicate in the targets mind of a creature threatening it and it considers the most dangerous.	SOURCEPAGE:SpC											
Phantom Stag			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:One quasi-real stag-like creature.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You conjure a quasi-real, staglike creature.	SOURCEPAGE:SpC											
Phantom Threat			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject thinks it's flanked.	SOURCEPAGE:SpC											
Phantom Wolf			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One summoned phantom wolf.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure phantom wolf to do your bidding.	SOURCEPAGE:SpC											
Plague of Rats			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One swarm of rats/2 levels, each of which is adjacent to at least one other swarm.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons one rat swarm/2 levels [max 12] of diseased rats.	SOURCEPAGE:SpC											
Plague of Undead			TYPE:Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more corpses within range.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Turns all dead bodies within range into skeletons or zombies.	SOURCEPAGE:SpC											
Planar Bubble			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation from touched creature.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:Area around creature emulates it's native plane [gravity, temperature, magic, etc].	SOURCEPAGE:SpC											
Planar Exchange			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Calling		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0-ft.	TARGETAREA:One called creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Call a celestial creature (see list).	SOURCEPAGE:SpC											
Planar Exchange (Greater)	OUTPUTNAME:Planar Exchange, Greater		TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Conjuration	SUBSCHOOL:Calling		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0-ft.	TARGETAREA:One called creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Call a celestial creature (see list).	SOURCEPAGE:SpC											
Planar Exchange (Lesser)	OUTPUTNAME:Planar Exchange, Lesser		TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Calling		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0-ft.	TARGETAREA:One called creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Call a celestial creature (see list).	SOURCEPAGE:SpC											
Planar Tolerance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=4|Ranger=4|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 immediate action	RANGE:20 ft.	TARGETAREA:One creature/level in a 20 ft radius burst centered on you.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Gain temporary respite from the natural effects of a specific plane.	SOURCEPAGE:SpC											
Plane Shift (Greater)	OUTPUTNAME:Plane Shift, Greater		TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched, or up to eight willing creatures joining hands		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As many as eight subjects travel to another plane.	SOURCEPAGE:SpC											
Plant Body			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Gain some plant-like qualities; immune to extra damage from criticals, mind-affecting spells, poison, sleep, paralysis, stunning and polymorphing.	SOURCEPAGE:SpC									TEMPBONUS:PC|VAR|SpellPlantBody|1		
Poison Thorns			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As thornskin, except creatures grappling you get a dose of poison.	SOURCEPAGE:SpC											
Poison Vines			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft-radius/level spread.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Creates vines like vine mine except vines have contact poison.	SOURCEPAGE:SpC											
Portal Alarm			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.		DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Any time a creature of Tiny or larger passes through the portal you get either a mental or audible alarm.	SOURCEPAGE:SpC											
Portal Alarm (Improved)	OUTPUTNAME:Portal Alarm, Improved		TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.		DURATION:8 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Any time a creature of Tiny or larger passes through the portal you get either a mental or audible alarm.	SOURCEPAGE:SpC											
Portal Beacon			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Up to six creatures can be chosen to recieve mental beacon.	SOURCEPAGE:SpC											
Positive Energy Aura			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Each round all living creatures within 10 ft. gain 1 hp per three caster levels [max 5]. Undead take double the amount in damage.	SOURCEPAGE:SpC											
Primal Form		VARIANTS:Air|Earth|Fire|Water	TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You assume the physical appearance and many of the qualities and abilities of a chosen elemental [fire, water, earth, air].	SOURCEPAGE:SpC								CHOOSE:STRING|Air|Earth|Fire|Water	TEMPBONUS:PC|VAR|SpellPrimalForm|1		
Prismatic Eye			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Magical Eye		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Creates a visible orb that duplicates the beams of prismatic spray.	SOURCEPAGE:SpC											
Prismatic Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Ranged touch attack.	SOURCEPAGE:SpC											
Probe Thoughts			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One living creature.		DURATION:Concentration, up to 1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Read subject's memories, one question/round.	SOURCEPAGE:SpC											
Programmed Amnesia			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One living creature.		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Destroy, alter or implant memories in another.	SOURCEPAGE:SpC											
Protection from Negative Energy			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subtract 10 hp worth of damage from each negative energy attack.	SOURCEPAGE:SpC											
Protection from Positive Energy			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subtract 10 hp worth of damage from each positive energy attack.	SOURCEPAGE:SpC											
Protege			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One creature with Intelligence 3 or higher.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grant bardic abilities to target.	SOURCEPAGE:SpC											
Puppeteer			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target mimics you exactly, but suffers -4 to Dex and Str.	SOURCEPAGE:SpC							TEMPBONUS:ANYPC|STAT|STR,DEX|-4				
Quick March			TYPE:Divine	CLASSES:Cleric=2|Paladin=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 swift action	RANGE:Medium	TARGETAREA:All allies in a 20-ft radius burst.		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subjects base land speed increased by 30 feet.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|MOVEADD|TYPE.Walk|30|TYPE=Enhancement		
Quick Potion			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched.		DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Create a potion.	SOURCEPAGE:SpC											
Quill Blast			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft-radius spread centered on you.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Targets struck by quills [each quill does 1d6], size of targets determines amount of quills.	SOURCEPAGE:SpC											
Quillfire			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Quills inflict 1d8 or thrown range 10 ft.	SOURCEPAGE:SpC											
Radiant Assault			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Deals 1d6 damage per caster level [max 15d6] and dazes creatures.	SOURCEPAGE:SpC											
Raging Flame			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius spread.		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Causes existing fire to double their heat and radiance.	SOURCEPAGE:SpC											
Rainbow Beam			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Range touch attack dazes target for 1 minute and deals 1d12 per three caster levels [max 5d12].	SOURCEPAGE:SpC											
Rainbow Blast			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:120-ft.	TARGETAREA:120-ft line.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Deals 1d6 from each of the five energy types [total 5d6]; Damage increases with levels	SOURCEPAGE:SpC											
Raise from the Deep			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Water	COMPS:V	CASTTIME:1 minute	RANGE:Long	TARGETAREA:One creature or object.		DURATION:1 hour/level	SAVEINFO:Fort negates (object)	SPELLRES:Yes	DESC:Gain magical buoyancy.	SOURCEPAGE:SpC											
Ram's Might			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your hands harden +2 bonus to Str, inflict lethal damage, and you are considered armed.	SOURCEPAGE:SpC							TEMPBONUS:PC|STAT|STR|2|TYPE=Enhancement				
