SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Demon (Sorrowsworn)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Abyssal,Celestial,Common,Dwarven,Elven,Giant,Infernal		BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently,Survival|8|TYPE=Racial				BONUS:STAT|STR|18	BONUS:STAT|DEX|6	BONUS:STAT|CON|22	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Geography)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spellcraft|Spot|Survival			AUTO:WEAPONPROF|Glaive		AUTO:FEAT|Improved Initiative|Improved Toughness				LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Aura of Loss|Whisper of Loss	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Poison|Mind Reading|Resistance To Acid|Resistance To Cold|Resistance To Fire|Strong Willed|Telepathy					SR:25	DR:10/Cold Iron and Good		MONSTERCLASS:Outsider:18	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider|Tanar'ri	TEMPLATE:Extraplanar	TEMPLATE:Chaotic|Evil		HITDICEADVANCEMENT:36,72		CR:17	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Detect Magic|Invisibility|Nondetection|Teleport (Greater)	BONUS:VAR|AuraOfLossRadius|30	BONUS:VAR|AcidResistanceBonus|10	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10	BONUS:VAR|TelepathyRange|100	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Dispel Magic (Greater)|Touch of Idiocy|Unholy Blight,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Feeblemind,15+CHA|Mind Fog,15+CHA|Plane Shift|Weird,19+CHA	
Dinosaur (Battletitan)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:10	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32		BONUS:STAT|CON|18	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Jump|Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Tail Spike,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ Battletitan					MONSTERCLASS:Animal:36	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:48		CR:16	SOURCEPAGE:MM3									
Dinosaur (Bloodstriker)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Burrow,20	FACE:10	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12		BONUS:STAT|CON|10	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Acid,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Blood Squirt	ABILITY:Special Ability|AUTOMATIC|Caustic Blood|Powerful Charge|Spiked Skin			ABILITY:Special Ability|AUTOMATIC|Bloodstriker Skills|Training ~ Bloodstriker					MONSTERCLASS:Animal:9	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:18,27		CR:6	SOURCEPAGE:MM3		BONUS:VAR|BloodSquirtLine|30	BONUS:VAR|BloodSquirtDice|2	DEFINE:BloodSquirtDamageDice|6					
Dinosaur (Fleshraker)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|8|TYPE=Racial	BONUS:SKILL|Jump|6|TYPE=Racial			BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Jump									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Tail,Weapon.Natural.Melee.Finesseable.Bludgeoning.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Leaping Pounce|Poison|Rake	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Fleshraker Skills					MONSTERCLASS:Animal:4	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:8,12		CR:2	SOURCEPAGE:MM3									
Dinosaur (Swindlespitter)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|2|TYPE=Racial				BONUS:STAT|STR|-2	BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Move Silently|Sleight of Hand|Spot					AUTO:FEAT|Weapon Finesse|Mobility				LEGS:2	HANDS:2				NATURALATTACKS:Beak,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Poison Spray	ABILITY:Special Ability|AUTOMATIC|Scent|Uncanny Dodge ~ Base			ABILITY:Special Ability|AUTOMATIC|Swindlespitter Skills					MONSTERCLASS:Aberration:2	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:6,9		CR:1	SOURCEPAGE:MM3		BONUS:VAR|UncannyDodgeLevel|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK						
Dracotaur		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:15	VISION:Darkvision (60')|Low-light			LANGAUTO:Draconic	LANGBONUS:ALL	BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Jump,Swim|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2		BONUS:STAT|CHA|2			MONCSKILL:Intimidate|Jump|Knowledge (Arcana)|Listen|Sense Motive|Spellcraft|Spot|Survival|Swim|Use Magic Device		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE=Simple|Spit Fire	AUTO:EQUIP|Spit Fire					LEGS:4	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Spit Fire	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis								MONSTERCLASS:Dragon:2	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon					LEVELADJUSTMENT:5	CR:3	SOURCEPAGE:MM3									
Dragon Eel			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,60	FACE:10	REACH:5	VISION:Blindsense (30')|Darkvision (60')|Low-light			LANGAUTO:Sahuagin,Common		BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Hide|Listen|Sense Motive|Spot|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole|Powerful Charge	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis|Keen Scent			ABILITY:Special Ability|AUTOMATIC|Dragon Eel Skills			DR:5/Adamantine		MONSTERCLASS:Dragon:14	RACETYPE:Dragon	RACESUBTYPE:Aquatic	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Aquatic			HITDICEADVANCEMENT:28,42		CR:11	SOURCEPAGE:MM3		BONUS:VAR|KeenScentRadius|180							
Swarm (Dread Blossom)	OUTPUTNAME:[NAME] Swarm		STARTFEATS:1	SIZE:T	MOVE:Fly,60	FACE:10	REACH:0	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4		BONUS:STAT|WIS|10	BONUS:STAT|CHA|-8			MONCSKILL:Hide|Listen|Spot					AUTO:FEAT|Alertness|Ability Focus(Poison Pollen)|Lightning Reflexes				LEGS:0	HANDS:0	BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning.Poison,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Dread Blossom|Distraction|Poison Pollen	ABILITY:Special Ability|AUTOMATIC|Evasion|Regeneration			ABILITY:Special Ability|AUTOMATIC|Dread Blosson Skills	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plant:7	RACETYPE:Plant	RACESUBTYPE:Swarm	TYPE:Plant	TEMPLATE:Plant|Mindless	TEMPLATE:Swarm|Extraplanar					CR:6	SOURCEPAGE:MM3		BONUS:VAR|RegenerationRate|5	BONUS:VAR|Maneuverability|4						
Drowned			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Common,Abyssal		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Move Silently|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Drowning Aura	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Unholy Toughness			ABILITY:Special Ability|AUTOMATIC|Drowned Skills					MONSTERCLASS:Undead:20	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead						CR:8	SOURCEPAGE:MM3		BONUS:VAR|FastHealing|5							
Dust Wight			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5			PREALIGN:CE	LANGAUTO:Terran		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-2					MONCSKILL:Hide|Listen|Move Silently|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Crumbling Touch|Petrifying Cloud	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Elemental Turning						DR:5/Adamantine		MONSTERCLASS:Undead:16	RACETYPE:Undead	RACESUBTYPE:Earth	TYPE:Undead	TEMPLATE:Undead		TEMPLATE:Earth		HITDICEADVANCEMENT:18,24		CR:7	SOURCEPAGE:MM3									
Elemental (Storm Small)	OUTPUTNAME:Storm Elemental, Small		STARTFEATS:1	SIZE:S	MOVE:Walk,20,Fly,40	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-6					MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple		AUTO:FEAT|Weapon Finesse				LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing								MONSTERCLASS:Elemental:2	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:3		CR:2	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|1	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|1	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|2	DEFINE:LightningDamageDie|6	
Elemental (Storm Medium)	OUTPUTNAME:Storm Elemental, Medium		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-6					MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple						LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing								MONSTERCLASS:Elemental:4	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:7		CR:4	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|2	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|2	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|4	DEFINE:LightningDamageDie|6	
Elemental (Storm Large)	OUTPUTNAME:Storm Elemental, Large		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,80	FACE:10	REACH:10	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|-4					MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple						LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing						DR:5/-		MONSTERCLASS:Elemental:8	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:15		CR:6	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|4	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|4	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|8	DEFINE:LightningDamageDie|6	
Elemental (Storm Huge)	OUTPUTNAME:Storm Elemental, Huge		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Fly,100	FACE:15	REACH:15	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12	BONUS:STAT|INT|-4					MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple						LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing						DR:5/-		MONSTERCLASS:Elemental:16	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:20		CR:8	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|8	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|8	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|16	DEFINE:LightningDamageDie|6	
Elemental (Storm Greater)	OUTPUTNAME:Storm Elemental, Greater		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Fly,100	FACE:15	REACH:15	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22		BONUS:STAT|CON|12	BONUS:STAT|INT|-2					MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple						LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*2,3d6		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing						DR:10/-		MONSTERCLASS:Elemental:21	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:23		CR:10	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|10	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|10	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|21	DEFINE:LightningDamageDie|6	
Elemental (Storm Elder)	OUTPUTNAME:Storm Elemental, Elder		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Fly,100	FACE:15	REACH:15	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|12						MONCSKILL:Listen|Spot			AUTO:WEAPONPROF|TYPE.Simple						LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Electricity,*2,3d6		ABILITY:Special Ability|AUTOMATIC|Shock|Thunder and Lightning	ABILITY:Special Ability|AUTOMATIC|Air Mastery|Electrical and Sonic Healing						DR:10/-		MONSTERCLASS:Elemental:24	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air		HITDICEADVANCEMENT:48		CR:12	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5	BONUS:VAR|ShockDice|12	DEFINE:ShockDamageDie|4	BONUS:VAR|ThunderDice|12	DEFINE:ThunderDamageDie|6	BONUS:VAR|LightningDice|24	DEFINE:LightningDamageDie|6	
Swarm (Ephemeral)	OUTPUTNAME:[NAME] Swarm		STARTFEATS:1	SIZE:T	MOVE:Fly,30	FACE:10	REACH:0	VISION:Darkvision (60')												BONUS:STAT|DEX|8		BONUS:STAT|INT|-8		BONUS:STAT|CHA|8			MONCSKILL:Listen|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,0d1		ABILITY:Special Ability|AUTOMATIC|Distraction|Strength Damage ~ Ephemeral Swarm					ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Undead:12	RACETYPE:Undead	RACESUBTYPE:Swarm	TYPE:Undead	TEMPLATE:Undead|Incorporeal	TEMPLATE:Swarm					CR:5	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|4							
Feral Yowler			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:CE	LANGAUTO:Goblin		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|6|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|16	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Trip|Yowl of Fear	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Immunity To Fear|Immunity To Negative Energy|Immunity To Energy Drain|Displacement (Minor)|Scent								MONSTERCLASS:Magical Beast:7	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:14,21		CR:5	SOURCEPAGE:MM3		BONUS:VAR|FastHealing|3							
Giant (Geriviar)	OUTPUTNAME:[NAME] Giant		STARTFEATS:1	SIZE:H	MOVE:Walk,70	FACE:15	REACH:15	VISION:Low-light			LANGAUTO:Giant		BONUS:COMBAT|AC|28|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|16		BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Climb|Escape Artist|Jump|Listen|Spot|Tumble|Use Rope	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Exploding Nodule|TYPE.Martial|TYPE.Simple	AUTO:EQUIP|Exploding Nodule					LEGS:2	HANDS:4	BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,3d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Batter|Exploding Nodules|Rock Throwing	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Fire|Immunity To Sonic|Leap|Regeneration|Rock Catching|Sprint					SR:28			MONSTERCLASS:Giant:26	RACETYPE:Giant		TYPE:Giant	TEMPLATE:Giant				HITDICEADVANCEMENT:40,78		CR:19	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Reverse Gravity|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Invisibility|Shout,14+CHA|Stone Shape	BONUS:VAR|RegenerationRate|8						
Giant (Death)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Fighter	STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	VISION:Low-light		PREALIGN:NE	LANGAUTO:Giant,Common		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|14			MONCSKILL:Concentration|Intimidate|Knowledge (Arcana)|Knowledge (History)|Knowledge (Religion)|Listen|Spellcraft|Spot|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|TYPE.Martial|TYPE.Simple						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Frightful Keening|Rock Throwing|Steal Soul	ABILITY:Special Ability|AUTOMATIC|Guardian Soul|Immunity To Fear|Immunity To Energy Drain|Rock Catching|Sold Soul|Soul Healing								MONSTERCLASS:Giant:23	RACETYPE:Giant		TYPE:Giant	TEMPLATE:Giant						CR:16	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=3|CASTERLEVEL=16|Dispel Magic (Greater)|Inflict Critical Wounds,14+CHA|Unholy Blight,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=16|Flame Strike,15+CHA							
