SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc
Mind Blank.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Prismatic Wall.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Protection from Spells.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Incendiary Cloud.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Maze.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Planar Binding (Greater).MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Summon Monster VIII.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Trap the Soul.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Discern Location.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Moment of Prescience.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Prying Eyes (Greater).MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Antipathy.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Binding.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Charm Monster (Mass).MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Demand.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Irresistible Dance.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Power Word Stun.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Symbol of Insanity.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Sympathy.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Unholy Aura.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Clenched Fist.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Polar Ray.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Shout (Greater).MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Sunburst.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Telekinetic Sphere.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Scintillating Pattern.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Screen.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Shadow Evocation (Greater).MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Clone.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Create Greater Undead.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Horrid Wilting.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Symbol of Death.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Form of the Dragon III.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Giant Form II.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Iron Body.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Polymorph Any Object.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Temporal Stasis.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
Freedom.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Imprisonment.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Mage's Disjunction.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Prismatic Sphere.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Gate.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Refuge.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Summon Monster IX.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Teleportation Circle.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Foresight.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Dominate Monster.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Hold Monster (Mass).MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Power Word Kill.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Crushing Hand.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Meteor Swarm.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Shades.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Weird.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Astral Projection.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Energy Drain.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Soul Bind.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Wail of the Banshee.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Etherealness.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Shapechange.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Time Stop.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
Wish.MOD	CLASSES:Sorcerer Bloodline=9	TYPE:Arcane
